,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,PRTD,Y/Ret,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,22.0,1.0,1.0,2024-09-08,MIN,@,NYG,"W, 28-6",,1,1,21,21.0,1,100.0,21.0,0,0,0,,0,0,0,,0,0,0,0,0,0,26,47.3,0,0.0,0,0.0
1,2.0,23.0,2.0,2.0,2024-09-15,MIN,,SFO,"W, 23-17",*,4,3,54,18.0,1,75.0,13.5,0,0,0,,0,0,0,,0,0,0,0,0,0,50,92.6,0,0.0,1,4.3
2,3.0,24.0,3.0,3.0,2024-09-22,MIN,,HOU,"W, 34-7",*,4,3,31,10.3,1,75.0,7.8,1,3,0,3.0,0,0,0,,0,0,0,0,0,0,54,85.7,0,0.0,0,0.0
3,4.0,25.0,4.0,4.0,2024-09-29,MIN,@,GNB,"W, 31-29",,2,1,31,31.0,0,50.0,15.5,1,0,0,0.0,1,0,0,0.0,1,1,0,0,0,0,14,20.6,0,0.0,2,6.9
4,5.0,26.0,5.0,5.0,2024-10-06,MIN,,NYJ,"W, 23-17",,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,0,0,0,41,56.2,0,0.0,0,0.0
5,6.0,27.0,6.0,7.0,2024-10-20,MIN,,DET,"L, 29-31",*,5,4,76,19.0,0,80.0,15.2,0,0,0,,0,0,0,,0,0,0,0,0,0,44,73.3,0,0.0,0,0.0
6,7.0,28.0,7.0,8.0,2024-10-24,MIN,@,LAR,"L, 20-30",,4,2,16,8.0,0,50.0,4.0,0,0,0,,0,0,0,,0,0,0,0,0,0,21,42.0,0,0.0,0,0.0
7,8.0,29.0,8.0,9.0,2024-11-03,MIN,,IND,"W, 21-13",,1,1,7,7.0,1,100.0,7.0,0,0,0,,0,0,0,,0,0,0,0,0,0,20,27.4,0,0.0,1,4.5
8,9.0,30.0,9.0,10.0,2024-11-10,MIN,@,JAX,"W, 12-7",,3,1,11,11.0,0,33.3,3.7,1,-7,0,-7.0,0,0,0,,0,0,0,0,0,0,42,50.0,0,0.0,0,0.0
9,10.0,31.0,10.0,11.0,2024-11-17,MIN,@,TEN,"W, 23-13",,2,0,0,,0,0.0,0.0,0,0,0,,0,0,0,,0,0,0,0,0,0,32,43.8,0,0.0,0,0.0
10,11.0,32.0,11.0,12.0,2024-11-24,MIN,@,CHI,"W, 30-27 (OT)",,2,1,5,5.0,1,50.0,2.5,0,0,0,,0,0,0,,0,0,0,0,0,0,28,39.4,0,0.0,2,6.5
11,12.0,33.0,12.0,13.0,2024-12-01,MIN,,ARI,"W, 23-22",*,2,1,18,18.0,0,50.0,9.0,0,0,0,,0,0,0,,0,0,0,0,0,0,31,58.5,0,0.0,0,0.0
12,13.0,34.0,13.0,14.0,2024-12-08,MIN,,ATL,"W, 42-21",*,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,0,0,0,24,40.0,0,0.0,0,0.0
13,14.0,35.0,14.0,15.0,2024-12-16,MIN,,CHI,"W, 30-12",*,1,1,5,5.0,0,100.0,5.0,0,0,0,,0,0,0,,0,0,0,0,0,0,41,53.2,0,0.0,1,3.7
14,15.0,36.0,15.0,16.0,2024-12-22,MIN,@,SEA,"W, 27-24",*,2,1,5,5.0,0,50.0,2.5,0,0,0,,0,0,0,,0,0,0,0,0,0,35,53.0,0,0.0,0,0.0
15,16.0,37.0,16.0,17.0,2024-12-29,MIN,,GNB,"W, 27-25",,5,5,81,16.2,1,100.0,16.2,0,0,0,,0,0,0,,0,0,1,0,0,0,38,52.8,0,0.0,0,0.0
16,17.0,38.0,17.0,18.0,2025-01-05,MIN,@,DET,"L, 9-31",,4,3,53,17.7,0,75.0,13.3,0,0,0,,0,0,0,,0,0,0,0,0,0,32,49.2,0,0.0,0,0.0
17,,,,,,,,,14-3,,42,28,414,14.8,6,66.7,9.9,3,-4,0,-1.3,1,0,0,0.0,1,1,1,0,0,0,573,51.3,0,0.0,7,1.6
