,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,PRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,9.0,1.0,1.0,2023-09-10,DAL,@,NYG,"W, 40-0",,1,0,0,,0,0.0,0.0,0,0,0,,0.0,1,1,0,0,0,0,0,0,0,0,0,0,16,27.6,0,0.0,15,62.5
1,2.0,10.0,2.0,2.0,2023-09-17,DAL,,NYJ,"W, 30-10",*,4,3,18,6.0,0,75.0,4.5,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,59,67.8,0,0.0,1,3.6
2,3.0,11.0,3.0,3.0,2023-09-24,DAL,@,ARI,"L, 16-28",,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,14,17.3,0,0.0,13,52.0
3,4.0,12.0,4.0,4.0,2023-10-01,DAL,,NWE,"W, 38-3",,4,4,53,13.3,0,100.0,13.3,0,0,0,,0.0,1,1,0,0,0,0,0,0,0,0,0,0,24,34.3,0,0.0,17,65.4
4,5.0,13.0,5.0,5.0,2023-10-08,DAL,@,SFO,"L, 10-42",*,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,22,44.9,0,0.0,18,66.7
5,6.0,14.0,6.0,6.0,2023-10-16,DAL,@,LAC,"W, 20-17",,0,0,0,,0,,,1,0,0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,15,23.4,0,0.0,21,84.0
6,7.0,15.0,7.0,8.0,2023-10-29,DAL,,LAR,"W, 43-20",,1,0,0,,0,0.0,0.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,29,44.6,0,0.0,21,70.0
7,8.0,16.0,8.0,9.0,2023-11-05,DAL,@,PHI,"L, 23-28",*,5,3,49,16.3,1,60.0,9.8,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,31,41.3,0,0.0,21,87.5
8,9.0,17.0,9.0,10.0,2023-11-12,DAL,,NYG,"W, 49-17",*,5,2,2,1.0,0,40.0,0.4,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,48,61.5,0,0.0,22,71.0
9,10.0,18.0,10.0,11.0,2023-11-19,DAL,@,CAR,"W, 33-10",,5,2,12,6.0,0,40.0,2.4,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,30,41.7,0,0.0,17,63.0
10,11.0,19.0,11.0,12.0,2023-11-23,DAL,,WAS,"W, 45-10",,3,2,49,24.5,0,66.7,16.3,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,20,37.0,0,0.0,17,68.0
11,12.0,20.0,12.0,13.0,2023-11-30,DAL,,SEA,"W, 41-35",*,1,1,17,17.0,0,100.0,17.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,32,36.0,0,0.0,21,75.0
12,13.0,21.0,13.0,14.0,2023-12-10,DAL,,PHI,"W, 33-13",,1,0,0,,0,0.0,0.0,0,0,0,,0.0,1,1,0,0,0,0,0,0,0,0,0,0,37,45.1,0,0.0,17,68.0
13,14.0,22.0,14.0,15.0,2023-12-17,DAL,@,BUF,"L, 10-31",,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,28,49.1,0,0.0,10,41.7
14,15.0,23.0,15.0,16.0,2023-12-24,DAL,@,MIA,"L, 20-22",,2,2,51,25.5,0,100.0,25.5,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,24,36.4,0,0.0,20,76.9
15,16.0,24.0,16.0,17.0,2023-12-30,DAL,,DET,"W, 20-19",,1,1,9,9.0,0,100.0,9.0,0,0,0,,0.0,1,1,0,0,0,0,0,0,0,0,0,0,25,38.5,0,0.0,14,53.8
16,17.0,25.0,17.0,18.0,2024-01-07,DAL,@,WAS,"W, 38-10",*,3,2,8,4.0,1,66.7,2.7,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23,31.9,0,0.0,14,63.6
17,,,,,,,,,12-5,,36,22,268,12.2,2,61.1,7.4,1,0,0,0.0,0.0,4,4,0,0,0,0,1,1,0,0,0,0,477,40.3,0,0.0,279,63.0
