,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2015-09-13,TAM,,TEN,"L, 14-42",*,16,33,48.5,210,2,2,6.4,4.85,64.0,4,29,6,18,0,3.0,2,0,0,2,-7,0,70,100.0,0,0.0,0,0.0
1,2.0,2.0,2.0,2.0,2015-09-20,TAM,@,NOR,"W, 26-19",*,14,21,66.7,207,1,0,9.9,10.81,114.6,3,13,6,23,1,3.8,1,1,0,0,0,0,66,100.0,0,0.0,0,0.0
2,3.0,3.0,3.0,3.0,2015-09-27,TAM,@,HOU,"L, 9-19",*,17,36,47.2,261,1,1,7.3,6.56,69.3,0,0,0,0,0,,0,0,0,0,0,0,59,100.0,0,0.0,0,0.0
3,4.0,4.0,4.0,4.0,2015-10-04,TAM,,CAR,"L, 23-37",*,26,43,60.5,287,2,4,6.7,3.42,57.0,2,17,4,12,0,3.0,0,0,0,0,0,0,79,100.0,0,0.0,0,0.0
4,5.0,5.0,5.0,5.0,2015-10-11,TAM,,JAX,"W, 38-31",*,13,19,68.4,209,1,0,11.0,12.05,122.5,2,23,4,9,0,2.3,0,0,0,0,0,0,67,100.0,0,0.0,0,0.0
5,6.0,6.0,6.0,7.0,2015-10-25,TAM,@,WAS,"L, 30-31",*,21,29,72.4,297,2,0,10.2,11.62,128.1,1,8,1,5,0,5.0,1,0,0,1,0,0,63,100.0,0,0.0,0,0.0
6,7.0,7.0,7.0,8.0,2015-11-01,TAM,@,ATL,"W, 23-20 (OT)",*,16,29,55.2,177,1,0,6.1,6.79,85.0,2,4,3,24,1,8.0,0,0,0,0,0,0,70,100.0,0,0.0,0,0.0
7,8.0,8.0,8.0,9.0,2015-11-08,TAM,,NYG,"L, 18-32",*,19,36,52.8,247,0,0,6.9,6.86,74.7,0,0,3,24,1,8.0,0,0,0,0,0,0,63,100.0,0,0.0,0,0.0
8,9.0,9.0,9.0,10.0,2015-11-15,TAM,,DAL,"W, 10-6",*,22,39,56.4,264,0,2,6.8,4.46,55.9,2,18,3,3,1,1.0,0,0,0,0,0,0,71,100.0,0,0.0,0,0.0
9,10.0,10.0,10.0,11.0,2015-11-22,TAM,@,PHI,"W, 45-17",*,19,29,65.5,246,5,0,8.5,11.93,131.6,1,8,4,0,0,0.0,1,0,0,0,0,0,78,100.0,0,0.0,0,0.0
10,11.0,11.0,11.0,12.0,2015-11-29,TAM,@,IND,"L, 12-25",*,20,36,55.6,245,1,1,6.8,6.11,74.4,5,33,3,27,0,9.0,0,0,0,0,0,0,67,100.0,0,0.0,0,0.0
11,12.0,12.0,12.0,13.0,2015-12-06,TAM,,ATL,"W, 23-19",*,18,27,66.7,227,1,1,8.4,7.48,89.6,1,5,5,15,1,3.0,0,0,0,0,0,0,71,100.0,0,0.0,0,0.0
12,13.0,13.0,13.0,14.0,2015-12-13,TAM,,NOR,"L, 17-24",*,18,32,56.3,182,1,0,5.7,6.31,83.1,1,6,3,24,0,8.0,0,0,0,0,0,0,55,100.0,0,0.0,0,0.0
13,14.0,14.0,14.0,15.0,2015-12-17,TAM,@,STL,"L, 23-31",*,29,50,58.0,363,2,1,7.3,7.16,85.7,0,0,2,5,0,2.5,1,1,0,0,-1,0,81,100.0,0,0.0,0,0.0
14,15.0,15.0,15.0,16.0,2015-12-27,TAM,,CHI,"L, 21-26",*,15,29,51.7,295,2,1,10.2,10.0,96.2,1,10,4,10,0,2.5,0,0,0,1,0,0,56,100.0,0,0.0,0,0.0
15,16.0,16.0,16.0,17.0,2016-01-03,TAM,@,CAR,"L, 10-38",*,29,47,61.7,325,0,2,6.9,5.0,64.6,2,16,3,14,1,4.7,0,0,0,0,0,0,74,100.0,0,0.0,0,0.0
16,,,,,,,,,6-10,,312,535,58.3,4042,22,15,7.6,7.12,84.2,27,190,54,213,6,3.9,6,2,0,4,-8,0,1090,100.0,0,0.0,0,0.0
