,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,33.0,1.0,2.0,2017-09-17,TAM,,CHI,"W, 29-7",*,18,30,60.0,204,1,0,6.8,7.47,91.5,2,10,1,3,0,3.0,0,0,0,0,0,0,65,91.5,0,0.0,0,0.0
1,2.0,34.0,2.0,3.0,2017-09-24,TAM,@,MIN,"L, 17-34",*,28,40,70.0,328,2,3,8.2,5.83,80.0,2,12,1,4,0,4.0,2,0,0,2,0,0,53,100.0,0,0.0,0,0.0
2,3.0,35.0,3.0,4.0,2017-10-01,TAM,,NYG,"W, 25-23",*,22,38,57.9,332,3,0,8.7,10.32,113.0,1,9,4,12,0,3.0,1,0,0,1,0,0,64,100.0,0,0.0,0,0.0
3,4.0,36.0,4.0,5.0,2017-10-05,TAM,,NWE,"L, 14-19",*,26,46,56.5,334,1,0,7.3,7.70,86.7,2,15,3,11,0,3.7,2,0,0,1,0,0,72,100.0,0,0.0,0,0.0
4,5.0,37.0,5.0,6.0,2017-10-15,TAM,@,ARI,"L, 33-38",*,5,10,50.0,61,0,0,6.1,6.10,69.2,0,0,0,0,0,,0,0,0,0,0,0,15,21.4,0,0.0,0,0.0
5,6.0,38.0,6.0,7.0,2017-10-22,TAM,@,BUF,"L, 27-30",*,32,44,72.7,384,3,1,8.7,9.07,112.3,1,6,1,0,0,0.0,2,1,0,1,-1,0,72,100.0,0,0.0,0,0.0
6,7.0,39.0,7.0,8.0,2017-10-29,TAM,,CAR,"L, 3-17",*,21,38,55.3,210,0,2,5.5,3.16,49.2,3,16,3,13,0,4.3,1,1,0,0,0,0,67,100.0,0,0.0,0,0.0
7,8.0,40.0,8.0,9.0,2017-11-05,TAM,@,NOR,"L, 10-30",*,7,13,53.8,67,0,0,5.2,5.15,68.4,2,12,2,8,0,4.0,0,0,0,0,0,0,29,49.2,0,0.0,0,0.0
8,8.0,,9.0,10.0,2017-11-12,TAM,,NYJ,"W, 15-10",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,8.0,,10.0,11.0,2017-11-19,TAM,@,MIA,"W, 30-20",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,8.0,,11.0,12.0,2017-11-26,TAM,@,ATL,"L, 20-34",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,9.0,41.0,12.0,13.0,2017-12-03,TAM,@,GNB,"L, 20-26 (OT)",*,21,32,65.6,270,2,0,8.4,9.69,112.8,7,40,5,18,0,3.6,2,1,0,2,-7,0,76,100.0,0,0.0,0,0.0
12,10.0,42.0,13.0,14.0,2017-12-10,TAM,,DET,"L, 21-24",*,26,38,68.4,285,2,2,7.5,6.18,86.0,3,18,2,10,0,5.0,1,1,0,0,0,0,71,100.0,0,0.0,0,0.0
13,11.0,43.0,14.0,15.0,2017-12-18,TAM,,ATL,"L, 21-24",*,27,35,77.1,299,3,0,8.5,10.26,130.5,2,10,3,18,0,6.0,1,0,0,0,0,0,59,100.0,0,0.0,0,0.0
14,12.0,44.0,15.0,16.0,2017-12-24,TAM,@,CAR,"L, 19-22",*,21,27,77.8,367,1,0,13.6,14.33,131.1,6,41,3,6,0,2.0,3,3,0,0,-1,0,64,100.0,0,0.0,0,0.0
15,13.0,45.0,16.0,17.0,2017-12-31,TAM,,NOR,"W, 31-24",*,28,51,54.9,363,1,3,7.1,4.86,59.5,2,18,5,32,1,6.4,0,0,0,0,0,0,83,100.0,0,0.0,0,0.0
16,,,,,,,,,3-10,,282,442,63.8,3504,19,11,7.9,7.67,92.2,33,207,33,135,1,4.1,15,7,0,7,-9,0,790,89.7,0,0.0,0,0.0
