,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1.0,2023-09-10,NOR,,TEN,"W, 16-15",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
1,,,2.0,2.0,2023-09-18,NOR,@,CAR,"W, 20-17",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,1.0,87.0,3.0,3.0,2023-09-24,NOR,@,GNB,"L, 17-18",,10,16,62.5,101,0,0,6.3,6.31,80.5,1,8,0,0,0,,23,37.7,0,0.0,0,0.0
3,2.0,88.0,4.0,4.0,2023-10-01,NOR,,TAM,"L, 9-26",,0,1,0.0,0,0,1,0.0,-45.00,0.0,0,0,0,0,0,,1,1.5,0,0.0,0,0.0
4,3.0,89.0,5.0,5.0,2023-10-08,NOR,@,NWE,"W, 34-0",,0,0,,0,0,0,,,,0,0,3,-4,0,-1.3,7,9.7,0,0.0,0,0.0
5,3.0,,6.0,6.0,2023-10-15,NOR,@,HOU,"L, 13-20",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,3.0,,7.0,7.0,2023-10-19,NOR,,JAX,"L, 24-31",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,3.0,,8.0,8.0,2023-10-29,NOR,@,IND,"W, 38-27",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,3.0,,9.0,9.0,2023-11-05,NOR,,CHI,"W, 24-17",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,4.0,90.0,10.0,10.0,2023-11-12,NOR,@,MIN,"L, 19-27",,13,25,52.0,122,2,2,4.9,2.88,59.1,1,5,0,0,0,,33,49.3,0,0.0,0,0.0
