,Season,Age,Team,Lg,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
0,2015,21,TAM,NFL,QB,16.0,16.0,6-10-0,312.0,535.0,58.3,4042.0,22.0,4.1,15.0,2.8,201.0,45.6,68.0,7.6,7.12,13.0,252.6,84.2,57.2,27.0,190.0,4.8,6.85,6.44,2.0,3.0,13.0,"PB,AP ORoY-2"
1,2016,22,TAM,NFL,QB,16.0,16.0,9-7-0,345.0,567.0,60.8,4090.0,28.0,4.9,18.0,3.2,216.0,47.8,45.0,7.2,6.77,11.9,255.6,86.1,59.5,35.0,239.0,5.81,6.4,5.98,1.0,3.0,12.0,
2,2017,23,TAM,NFL,QB,13.0,13.0,3-10-0,282.0,442.0,63.8,3504.0,19.0,4.3,11.0,2.5,185.0,49.7,70.0,7.9,7.67,12.4,269.5,92.2,52.1,33.0,207.0,6.95,6.94,6.7,2.0,2.0,10.0,
3,2018,24,TAM,NFL,QB,11.0,9.0,3-6-0,244.0,378.0,64.6,2992.0,19.0,5.0,14.0,3.7,152.0,50.6,64.0,7.9,7.25,12.3,272.0,90.2,66.2,27.0,157.0,6.67,7.0,6.38,0.0,1.0,9.0,
4,2019,25,TAM,NFL,QB,16.0,16.0,7-9-0,380.0,626.0,60.7,5109.0,33.0,5.3,30.0,4.8,243.0,46.7,71.0,8.2,7.06,13.4,319.3,84.3,55.7,47.0,282.0,6.98,7.17,6.15,2.0,2.0,15.0,
5,2020,26,NOR,NFL,QB,4.0,0.0,,7.0,11.0,63.6,75.0,0.0,0.0,0.0,0.0,5.0,38.5,19.0,6.8,6.82,10.7,18.8,83.5,12.0,2.0,11.0,15.38,4.92,4.92,0.0,0.0,0.0,
6,2021,27,NOR,NFL,QB,7.0,7.0,5-2-0,95.0,161.0,59.0,1170.0,14.0,8.7,3.0,1.9,56.0,44.8,72.0,7.3,8.17,12.3,167.1,102.8,69.8,11.0,69.0,6.4,6.4,7.24,0.0,1.0,5.0,
7,2022,28,NOR,NFL,QB,3.0,3.0,1-2-0,73.0,115.0,63.5,858.0,4.0,3.5,5.0,4.3,35.0,43.7,51.0,7.5,6.2,11.8,286.0,79.5,34.7,11.0,74.0,8.73,6.22,5.07,1.0,1.0,2.0,
8,2023,29,NOR,NFL,QB,7.0,0.0,,25.0,47.0,53.2,264.0,2.0,4.3,3.0,6.4,10.0,32.7,30.0,5.6,3.6,10.6,37.7,57.4,35.6,2.0,13.0,4.08,5.12,3.18,0.0,0.0,1.0,
9,2024,30,CLE,NFL,QB,12.0,7.0,2-5-0,181.0,296.0,61.1,2121.0,13.0,4.4,12.0,4.1,103.0,44.1,89.0,7.2,6.22,11.7,176.8,80.6,55.6,24.0,130.0,7.5,6.22,5.35,2.0,2.0,4.0,
10,10 Yrs,10 Yrs,10 Yrs,10 Yrs,,105.0,87.0,36-51-0,1944.0,3178.0,61.2,24225.0,154.0,4.8,111.0,3.5,1206.0,46.9,89.0,7.6,7.02,12.5,230.7,86.4,,219.0,1372.0,6.45,6.73,6.16,10.0,15.0,71.0,
11,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,14.0,36-51-0,315.0,515.0,61.2,3922.0,25.0,4.8,18.0,3.5,195.0,46.9,89.0,7.6,7.02,12.5,230.7,86.4,,35.0,222.0,6.45,6.73,6.16,2.0,2.0,11.0,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,TAM (5 Yrs),TAM (5 Yrs),TAM (5 Yrs),TAM (5 Yrs),,72.0,70.0,28-42-0,1563.0,2548.0,61.3,19737.0,121.0,4.7,88.0,3.5,997.0,47.8,71.0,7.7,7.14,12.6,274.1,86.9,,169.0,1075.0,6.22,6.87,6.3,7.0,11.0,59.0,
14,NOR (4 Yrs),NOR (4 Yrs),NOR (4 Yrs),NOR (4 Yrs),,21.0,10.0,6-4-0,200.0,334.0,59.9,2367.0,20.0,6.0,11.0,3.3,106.0,42.5,72.0,7.1,6.8,11.8,112.7,87.7,,26.0,167.0,7.22,6.11,5.85,1.0,2.0,8.0,
15,CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),,12.0,7.0,2-5-0,181.0,296.0,61.1,2121.0,13.0,4.4,12.0,4.1,103.0,44.1,89.0,7.2,6.22,11.7,176.8,80.6,,24.0,130.0,7.5,6.22,5.35,2.0,2.0,4.0,
