,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,92.0,1.0,1.0,2024-09-08,ARI,@,BUF,"L, 28-34",*,16,50,1,3.1,4,3,33,11.0,0,75.0,8.3,0,0,0,0,0,0,41,67.2,0,0.0,0,0.0
1,2.0,93.0,2.0,2.0,2024-09-15,ARI,,LAR,"W, 41-10",*,21,122,1,5.8,1,1,2,2.0,0,100.0,2.0,1,0,0,0,0,0,41,62.1,0,0.0,0,0.0
2,3.0,94.0,3.0,3.0,2024-09-22,ARI,,DET,"L, 13-20",*,9,17,0,1.9,1,1,8,8.0,0,100.0,8.0,0,0,0,0,0,0,44,74.6,0,0.0,0,0.0
3,4.0,95.0,4.0,4.0,2024-09-29,ARI,,WAS,"L, 14-42",*,18,104,1,5.8,1,1,9,9.0,0,100.0,9.0,0,0,0,0,0,0,34,57.6,0,0.0,0,0.0
4,5.0,96.0,5.0,5.0,2024-10-06,ARI,@,SFO,"W, 24-23",*,19,86,0,4.5,3,2,14,7.0,0,66.7,4.7,0,0,0,0,0,0,46,79.3,0,0.0,0,0.0
5,6.0,97.0,6.0,6.0,2024-10-13,ARI,@,GNB,"L, 13-34",*,7,24,0,3.4,5,4,22,5.5,0,80.0,4.4,1,1,0,0,0,0,16,27.6,0,0.0,0,0.0
6,7.0,98.0,7.0,7.0,2024-10-21,ARI,,LAC,"W, 17-15",*,19,101,0,5.3,4,2,51,25.5,0,50.0,12.8,1,0,1,0,0,0,48,84.2,0,0.0,0,0.0
7,8.0,99.0,8.0,8.0,2024-10-27,ARI,@,MIA,"W, 28-27",*,20,53,1,2.7,3,2,16,8.0,0,66.7,5.3,0,0,0,0,0,0,53,80.3,0,0.0,0,0.0
8,9.0,100.0,9.0,9.0,2024-11-03,ARI,,CHI,"W, 29-9",*,18,107,0,5.9,3,3,12,4.0,0,100.0,4.0,0,0,0,0,0,0,28,48.3,0,0.0,0,0.0
9,10.0,101.0,10.0,10.0,2024-11-10,ARI,,NYJ,"W, 31-6",*,12,33,1,2.8,5,5,80,16.0,0,100.0,16.0,0,0,0,0,0,0,32,54.2,0,0.0,0,0.0
10,11.0,102.0,11.0,12.0,2024-11-24,ARI,@,SEA,"L, 6-16",*,7,8,0,1.1,5,5,41,8.2,0,100.0,8.2,0,0,0,0,0,0,40,69.0,0,0.0,0,0.0
11,12.0,103.0,12.0,13.0,2024-12-01,ARI,@,MIN,"L, 22-23",*,17,68,0,4.0,4,3,13,4.3,0,75.0,3.3,0,0,0,0,0,0,48,58.5,0,0.0,0,0.0
12,13.0,104.0,13.0,14.0,2024-12-08,ARI,,SEA,"L, 18-30",*,18,90,0,5.0,4,4,32,8.0,1,100.0,8.0,1,0,0,0,0,0,55,77.5,0,0.0,0,0.0
13,14.0,105.0,14.0,15.0,2024-12-15,ARI,,NWE,"W, 30-17",*,16,110,2,6.9,5,5,28,5.6,0,100.0,5.6,0,0,0,1,0,0,50,71.4,0,0.0,0,0.0
14,15.0,106.0,15.0,16.0,2024-12-22,ARI,@,CAR,"L, 30-36 (OT)",*,15,117,1,7.8,4,4,49,12.3,0,100.0,12.3,0,0,0,0,0,0,31,44.3,0,0.0,0,0.0
15,16.0,107.0,16.0,17.0,2024-12-28,ARI,@,LAR,"L, 9-13",*,4,4,0,1.0,3,2,4,2.0,0,66.7,1.3,0,0,0,0,0,0,12,15.2,0,0.0,0,0.0
16,16.0,,17.0,18.0,2025-01-05,ARI,,SFO,"W, 47-24",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,,,,,,,,,7-9,,236,1094,8,4.6,55,47,414,8.8,1,85.5,7.5,4,1,1,1,0,0,619,60.0,0,0.0,0,0.0
