,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,34.0,1.0,1.0,2024-09-08,BUF,,ARI,"W, 34-28",*,19,71,0,3.7,3,3,32,10.7,0,100.0,10.7,0,0,0,0,0,0,38,61.3,0,0.0,0,0.0
1,2.0,35.0,2.0,2.0,2024-09-12,BUF,@,MIA,"W, 31-10",*,11,78,2,7.1,1,1,17,17.0,1,100.0,17.0,0,0,0,0,0,0,21,46.7,0,0.0,0,0.0
2,3.0,36.0,3.0,3.0,2024-09-23,BUF,,JAX,"W, 47-10",*,11,39,1,3.5,5,4,48,12.0,0,80.0,9.6,0,0,0,0,0,0,32,50.0,0,0.0,0,0.0
3,4.0,37.0,4.0,4.0,2024-09-29,BUF,@,BAL,"L, 10-35",*,9,39,0,4.3,1,1,9,9.0,0,100.0,9.0,0,0,0,0,0,0,33,55.9,0,0.0,0,0.0
4,5.0,38.0,5.0,5.0,2024-10-06,BUF,@,HOU,"L, 20-23",*,20,82,1,4.1,3,2,17,8.5,0,66.7,5.7,0,0,0,0,0,0,36,59.0,0,0.0,0,0.0
5,5.0,,6.0,6.0,2024-10-14,BUF,@,NYJ,"W, 23-20",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,6.0,39.0,7.0,7.0,2024-10-20,BUF,,TEN,"W, 34-10",*,12,32,1,2.7,0,0,0,,0,,,0,0,0,0,0,0,29,52.7,0,0.0,0,0.0
7,7.0,40.0,8.0,8.0,2024-10-27,BUF,@,SEA,"W, 31-10",*,17,111,2,6.5,3,3,22,7.3,0,100.0,7.3,0,0,0,0,0,0,42,55.3,0,0.0,0,0.0
8,8.0,41.0,9.0,9.0,2024-11-03,BUF,,MIA,"W, 30-27",*,10,44,0,4.4,6,5,25,5.0,0,83.3,4.2,0,0,0,0,0,0,36,54.5,0,0.0,0,0.0
9,9.0,42.0,10.0,10.0,2024-11-10,BUF,@,IND,"W, 30-20",*,19,80,1,4.2,3,1,5,5.0,0,33.3,1.7,0,0,0,0,0,0,41,55.4,0,0.0,0,0.0
10,10.0,43.0,11.0,11.0,2024-11-17,BUF,,KAN,"W, 30-21",*,9,20,2,2.2,6,5,7,1.4,0,83.3,1.2,0,0,0,0,0,0,27,37.0,0,0.0,0,0.0
11,11.0,44.0,12.0,13.0,2024-12-01,BUF,,SFO,"W, 35-10",*,14,107,1,7.6,1,1,13,13.0,0,100.0,13.0,0,0,0,0,0,0,26,44.8,0,0.0,0,0.0
12,12.0,45.0,13.0,14.0,2024-12-08,BUF,@,LAR,"L, 42-44",*,6,20,0,3.3,2,2,9,4.5,0,100.0,4.5,0,0,0,0,0,0,27,45.0,0,0.0,0,0.0
13,13.0,46.0,14.0,15.0,2024-12-15,BUF,@,DET,"W, 48-42",*,14,105,2,7.5,1,1,28,28.0,0,100.0,28.0,0,0,0,0,0,0,29,41.4,0,0.0,0,0.0
14,14.0,47.0,15.0,16.0,2024-12-22,BUF,,NWE,"W, 24-21",*,11,100,1,9.1,3,3,26,8.7,1,100.0,8.7,1,0,0,0,0,0,21,35.6,0,0.0,0,0.0
15,15.0,48.0,16.0,17.0,2024-12-29,BUF,,NYJ,"W, 40-14",*,15,53,1,3.5,0,0,0,,0,,,0,0,0,0,0,0,32,45.7,0,0.0,0,0.0
16,16.0,49.0,17.0,18.0,2025-01-05,BUF,@,NWE,"L, 16-23",*,10,28,1,2.8,0,0,0,,0,,,0,0,0,0,0,0,15,22.4,0,0.0,0,0.0
17,,,,,,,,,12-4,,207,1009,16,4.9,38,32,258,8.1,2,84.2,6.8,1,0,0,0,0,0,485,47.6,0,0.0,0,0.0
