,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.1,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,164.0,1.0,1.0,2020-09-13,NOR,,TAM,"W, 34-23",,7,5,80,16.0,0,71.4,11.4,0,0,0,0,0,0,44,64.7,0,0.0,0,0.0
1,2.0,165.0,2.0,2.0,2020-09-21,NOR,@,LVR,"L, 24-34",*,5,2,13,6.5,1,40.0,2.6,0,0,0,0,0,0,39,65.0,0,0.0,0,0.0
2,3.0,166.0,3.0,3.0,2020-09-27,NOR,,GNB,"L, 30-37",,3,2,21,10.5,0,66.7,7.0,0,0,0,0,0,0,21,34.4,0,0.0,0,0.0
3,3.0,,4.0,4.0,2020-10-04,NOR,@,DET,"W, 35-29",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,4.0,167.0,5.0,5.0,2020-10-12,NOR,,LAC,"W, 30-27 (OT)",,3,2,52,26.0,1,66.7,17.3,0,0,0,0,0,0,41,53.9,0,0.0,0,0.0
5,5.0,168.0,6.0,7.0,2020-10-25,NOR,,CAR,"W, 27-24",*,4,3,32,10.7,1,75.0,8.0,0,0,0,0,0,0,34,48.6,0,0.0,0,0.0
6,6.0,169.0,7.0,8.0,2020-11-01,NOR,@,CHI,"W, 26-23 (OT)",,7,5,51,10.2,1,71.4,7.3,0,0,0,0,0,0,40,54.1,0,0.0,0,0.0
7,7.0,170.0,8.0,9.0,2020-11-08,NOR,@,TAM,"W, 38-3",*,3,2,30,15.0,0,66.7,10.0,1,1,0,0,0,0,26,35.6,0,0.0,0,0.0
8,8.0,171.0,9.0,10.0,2020-11-15,NOR,,SFO,"W, 27-13",,2,0,0,,0,0.0,0.0,0,0,0,0,0,0,21,35.6,0,0.0,0,0.0
9,9.0,172.0,10.0,11.0,2020-11-22,NOR,,ATL,"W, 24-9",,1,1,6,6.0,0,100.0,6.0,0,0,0,0,0,0,25,37.3,0,0.0,0,0.0
10,10.0,173.0,11.0,12.0,2020-11-29,NOR,@,DEN,"W, 31-3",,2,0,0,,0,0.0,0.0,0,0,0,0,0,0,19,29.7,0,0.0,0,0.0
11,11.0,174.0,12.0,13.0,2020-12-06,NOR,@,ATL,"W, 21-16",*,5,3,28,9.3,1,60.0,5.6,0,0,0,0,0,0,28,35.9,0,0.0,0,0.0
12,12.0,175.0,13.0,14.0,2020-12-13,NOR,@,PHI,"L, 21-24",,4,3,37,12.3,1,75.0,9.3,0,0,0,0,0,0,36,57.1,0,0.0,0,0.0
13,13.0,176.0,14.0,15.0,2020-12-20,NOR,,KAN,"L, 29-32",*,5,2,29,14.5,0,40.0,5.8,0,0,0,0,0,0,32,58.2,0,0.0,0,0.0
14,14.0,177.0,15.0,16.0,2020-12-25,NOR,,MIN,"W, 52-33",,4,3,82,27.3,0,75.0,20.5,0,0,0,0,0,0,40,53.3,0,0.0,0,0.0
15,15.0,178.0,16.0,17.0,2021-01-03,NOR,@,CAR,"W, 33-7",,5,4,43,10.8,1,80.0,8.6,0,0,0,0,0,0,20,31.3,0,0.0,0,0.0
16,,,,,,,,,11-4,,60,37,504,13.6,7,61.7,8.4,1,1,0,0,0,0,466,46.3,0,0.0,0,0.0
