,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Tgt,Rec,Yds.3,Y/R,TD.2,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,118.0,1.0,1.0,2024-09-08,DET,,LAR,"W, 26-20 (OT)",*,18,28,64.3,217,1,1,7.8,6.86,85.0,2,17,1,7,0,7.0,0,0,0,,0,,,0,0,0,0,0,0,61,100.0,0,0.0,0,0.0
1,2.0,119.0,2.0,2.0,2024-09-15,DET,,TAM,"L, 16-20",*,34,55,61.8,307,0,2,5.6,3.95,61.7,0,0,2,5,0,2.5,0,0,0,,0,,,0,0,0,0,0,0,85,98.8,0,0.0,0,0.0
2,3.0,120.0,3.0,3.0,2024-09-22,DET,@,ARI,"W, 20-13",*,18,23,78.3,199,2,1,8.7,8.43,113.6,2,13,3,6,0,2.0,0,0,0,,0,,,0,0,0,0,0,0,68,100.0,0,0.0,0,0.0
3,4.0,121.0,4.0,4.0,2024-09-30,DET,,SEA,"W, 42-29",*,18,18,100.0,292,2,0,16.2,18.44,155.8,3,26,2,-2,0,-1.0,1,1,7,7.0,1,100.0,7.0,0,0,0,0,0,0,53,100.0,0,0.0,0,0.0
4,5.0,122.0,5.0,6.0,2024-10-13,DET,@,DAL,"W, 47-9",*,18,25,72.0,315,3,0,12.6,15.0,153.7,2,17,3,5,0,1.7,0,0,0,,0,,,0,0,0,0,0,0,57,83.8,0,0.0,0,0.0
5,6.0,123.0,6.0,7.0,2024-10-20,DET,@,MIN,"W, 31-29",*,22,25,88.0,280,2,0,11.2,12.8,140.0,4,33,2,-4,0,-2.0,0,0,0,,0,,,2,0,0,1,0,0,57,100.0,0,0.0,0,0.0
6,7.0,124.0,7.0,8.0,2024-10-27,DET,,TEN,"W, 52-14",*,12,15,80.0,85,3,0,5.7,9.67,129.9,4,33,1,1,0,1.0,0,0,0,,0,,,2,0,0,1,0,0,42,87.5,0,0.0,0,0.0
7,8.0,125.0,8.0,9.0,2024-11-03,DET,@,GNB,"W, 24-14",*,18,22,81.8,145,1,0,6.6,7.5,109.3,1,8,3,-2,0,-0.7,0,0,0,,0,,,0,0,0,0,0,0,57,100.0,0,0.0,0,0.0
8,9.0,126.0,9.0,10.0,2024-11-10,DET,@,HOU,"W, 26-23",*,15,30,50.0,240,2,5,8.0,1.83,59.7,0,0,1,2,0,2.0,0,0,0,,0,,,0,0,0,0,0,0,65,100.0,0,0.0,0,0.0
9,10.0,127.0,10.0,11.0,2024-11-17,DET,,JAX,"W, 52-6",*,24,29,82.8,412,4,0,14.2,16.97,158.3,0,0,4,21,0,5.3,0,0,0,,0,,,0,0,0,0,0,0,63,79.7,0,0.0,0,0.0
10,11.0,128.0,11.0,12.0,2024-11-24,DET,@,IND,"W, 24-6",*,26,36,72.2,269,0,0,7.5,7.47,93.4,3,16,2,0,0,0.0,0,0,0,,0,,,1,0,0,0,0,0,72,100.0,0,0.0,0,0.0
11,12.0,129.0,12.0,13.0,2024-11-28,DET,,CHI,"W, 23-20",*,21,34,61.8,221,2,0,6.5,7.68,100.2,1,9,1,1,0,1.0,0,0,0,,0,,,0,0,0,0,0,0,70,100.0,0,0.0,0,0.0
12,13.0,130.0,13.0,14.0,2024-12-05,DET,,GNB,"W, 34-31",*,32,41,78.0,283,3,1,6.9,7.27,109.7,1,3,4,7,0,1.8,0,0,0,,0,,,0,0,0,0,0,0,80,100.0,0,0.0,0,0.0
13,14.0,131.0,14.0,15.0,2024-12-15,DET,,BUF,"L, 42-48",*,38,59,64.4,494,5,0,8.4,10.07,118.9,3,21,2,13,0,6.5,0,0,0,,0,,,1,0,0,0,0,0,79,100.0,0,0.0,0,0.0
14,15.0,132.0,15.0,16.0,2024-12-22,DET,@,CHI,"W, 34-17",*,23,32,71.9,336,3,0,10.5,12.38,137.0,1,7,1,-1,0,-1.0,0,0,0,,0,,,0,0,0,0,0,0,65,100.0,0,0.0,0,0.0
15,16.0,133.0,16.0,17.0,2024-12-30,DET,@,SFO,"W, 40-34",*,26,34,76.5,303,3,0,8.9,10.68,132.4,2,16,3,-3,0,-1.0,0,0,0,,0,,,0,0,0,0,0,0,71,100.0,0,0.0,0,0.0
16,17.0,134.0,17.0,18.0,2025-01-05,DET,,MIN,"W, 31-9",*,27,33,81.8,231,1,2,7.0,4.88,80.7,2,15,0,0,0,,0,0,0,,0,,,0,0,0,0,0,0,68,100.0,0,0.0,0,0.0
17,,,,,,,,,15-2,,390,539,72.4,4629,37,12,8.6,8.96,111.8,31,234,35,56,0,1.6,1,1,7,7.0,1,100.0,7.0,6,0,0,2,0,0,1113,97.0,0,0.0,0,0.0
