,Season,Age,Team,Lg,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
0,2016,22,LAR,NFL,QB,7.0,7.0,0-7-0,112.0,205.0,54.6,1089.0,5.0,2.4,7.0,3.4,48.0,29.4,66.0,5.3,4.26,9.7,155.6,63.6,18.3,26.0,222.0,11.26,3.75,2.82,0.0,0.0,-2.0,
1,2017,23,LAR,NFL,QB,15.0,15.0,11-4-0,296.0,477.0,62.1,3804.0,28.0,5.9,7.0,1.5,177.0,46.6,94.0,8.0,8.49,12.9,253.6,100.5,56.3,25.0,172.0,4.98,7.24,7.72,1.0,1.0,15.0,PB
2,2018,24,LAR,NFL,QB,16.0,16.0,13-3-0,364.0,561.0,64.9,4688.0,32.0,5.7,12.0,2.1,233.0,50.7,70.0,8.4,8.53,12.9,293.0,101.1,63.6,33.0,223.0,5.56,7.52,7.69,4.0,4.0,18.0,PB
3,2019,25,LAR,NFL,QB,16.0,16.0,9-7-0,394.0,626.0,62.9,4638.0,22.0,3.5,16.0,2.6,220.0,47.7,66.0,7.4,6.96,11.8,289.9,86.5,50.6,22.0,170.0,3.4,6.9,6.46,1.0,2.0,12.0,
4,2020,26,LAR,NFL,QB,15.0,15.0,9-6-0,370.0,552.0,67.0,3952.0,20.0,3.6,13.0,2.4,194.0,51.8,56.0,7.2,6.82,10.7,263.5,90.0,50.8,23.0,161.0,4.0,6.59,6.27,0.0,1.0,10.0,
5,2021,27,DET,NFL,QB,14.0,14.0,3-10-1,332.0,494.0,67.2,3245.0,19.0,3.8,8.0,1.6,162.0,46.9,63.0,6.6,6.61,9.8,231.8,91.5,45.5,35.0,280.0,6.62,5.6,5.64,2.0,2.0,10.0,
6,2022,28,DET,NFL,QB,17.0,17.0,9-8-0,382.0,587.0,65.1,4438.0,29.0,4.9,7.0,1.2,227.0,50.3,81.0,7.6,8.01,11.6,261.1,99.3,63.3,23.0,156.0,3.77,7.02,7.45,3.0,3.0,16.0,"PB,AP CPoY-6"
7,2023,29,DET,NFL,QB,17.0,17.0,12-5-0,407.0,605.0,67.3,4575.0,30.0,5.0,12.0,2.0,227.0,50.9,70.0,7.6,7.66,11.2,269.1,97.9,60.3,30.0,197.0,4.72,6.89,6.99,2.0,3.0,16.0,
8,2024,30,DET,NFL,QB,17.0,17.0,15-2-0,390.0,539.0,72.4,4629.0,37.0,6.9,12.0,2.2,236.0,54.7,82.0,8.6,8.96,11.9,272.3,111.8,68.4,31.0,234.0,5.44,7.71,8.06,4.0,4.0,18.0,"PB,AP MVP-5,AP OPoY-9"
9,9 Yrs,9 Yrs,9 Yrs,9 Yrs,,134.0,134.0,81-52-1,3047.0,4646.0,65.6,35058.0,222.0,4.8,94.0,2.0,1724.0,49.0,94.0,7.5,7.59,11.5,261.6,95.7,,248.0,1815.0,5.07,6.79,6.84,17.0,20.0,113.0,
10,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,17.0,81-52-1,387.0,589.0,65.6,4448.0,28.0,4.8,12.0,2.0,219.0,49.0,94.0,7.5,7.59,11.5,261.6,95.7,,31.0,230.0,5.07,6.79,6.84,2.0,3.0,14.0,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,LAR (5 Yrs),LAR (5 Yrs),LAR (5 Yrs),LAR (5 Yrs),,69.0,69.0,42-27-0,1536.0,2421.0,63.4,18171.0,107.0,4.4,55.0,2.3,872.0,47.5,94.0,7.5,7.37,11.8,263.3,91.5,,129.0,948.0,5.06,6.75,6.62,6.0,8.0,53.0,
13,DET (4 Yrs),DET (4 Yrs),DET (4 Yrs),DET (4 Yrs),,65.0,65.0,39-25-1,1511.0,2225.0,67.9,16887.0,115.0,5.2,39.0,1.8,852.0,50.8,82.0,7.6,7.83,11.2,259.8,100.2,,119.0,867.0,5.08,6.83,7.07,11.0,12.0,60.0,
