,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.1,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2021-09-12,SFO,@,DET,"W, 41-33",,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,10.9,0,0.0,6,19.4
1,2.0,2.0,2.0,2.0,2021-09-19,SFO,@,PHI,"W, 17-11",,2,2,17,8.5,1,100.0,8.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,8.6,0,0.0,3,14.3
2,3.0,3.0,3.0,3.0,2021-09-26,SFO,,GNB,"L, 28-30",,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.3,0,0.0,1,3.7
3,4.0,4.0,4.0,4.0,2021-10-03,SFO,,SEA,"L, 21-28",,1,1,14,14.0,0,100.0,14.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,8,10.5,0,0.0,0,0.0
4,4.0,,5.0,5.0,2021-10-10,SFO,@,ARI,"L, 10-17",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,5.0,5.0,6.0,7.0,2021-10-24,SFO,,IND,"L, 18-30",,2,0,0,,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,9,16.1,0,0.0,1,3.6
6,6.0,6.0,7.0,8.0,2021-10-31,SFO,@,CHI,"W, 33-22",,1,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,12.5,0,0.0,0,0.0
7,7.0,7.0,8.0,9.0,2021-11-07,SFO,,ARI,"L, 17-31",,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,8.5,0,0.0,4,15.4
8,8.0,8.0,9.0,10.0,2021-11-15,SFO,,LAR,"W, 31-10",*,2,1,3,3.0,0,50.0,1.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,32,47.1,0,0.0,3,13.0
9,9.0,9.0,10.0,11.0,2021-11-21,SFO,@,JAX,"W, 30-10",,1,1,4,4.0,0,100.0,4.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,33,47.8,0,0.0,3,13.0
10,10.0,10.0,11.0,12.0,2021-11-28,SFO,,MIN,"W, 34-26",,3,2,24,12.0,1,66.7,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,26,37.1,0,0.0,3,10.7
11,11.0,11.0,12.0,13.0,2021-12-05,SFO,@,SEA,"L, 23-30",,1,1,8,8.0,0,100.0,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,29,50.0,0,0.0,1,3.4
12,12.0,12.0,13.0,14.0,2021-12-12,SFO,@,CIN,"W, 26-23 (OT)",,5,3,46,15.3,0,60.0,9.2,0.0,0,0,0,0,0,0,1,0,0,1,0,0,47,66.2,0,0.0,0,0.0
13,13.0,13.0,14.0,15.0,2021-12-19,SFO,,ATL,"W, 31-13",,6,3,28,9.3,1,50.0,4.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,25,43.9,0,0.0,0,0.0
14,14.0,14.0,15.0,16.0,2021-12-23,SFO,@,TEN,"L, 17-20",,5,2,19,9.5,0,40.0,3.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,27,45.8,0,0.0,0,0.0
15,15.0,15.0,16.0,17.0,2022-01-02,SFO,,HOU,"W, 23-7",,2,2,25,12.5,0,100.0,12.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,30,48.4,0,0.0,0,0.0
16,16.0,16.0,17.0,18.0,2022-01-09,SFO,@,LAR,"W, 27-24 (OT)",,7,6,94,15.7,2,85.7,13.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,44,62.9,0,0.0,0,0.0
17,,,,,,,,,10-6,,38,24,282,11.8,5,63.2,7.4,0.0,1,1,0,0,0,0,1,0,0,2,0,0,337,32.8,0,0.0,25,5.8
