,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2023-09-10,SEA,,LAR,"L, 13-30",,5,3,13,4.3,0,60.0,2.6,30,58.8,0,0.0,0,0.0
1,2.0,2.0,2.0,2.0,2023-09-17,SEA,@,DET,"W, 37-31 (OT)",,6,5,34,6.8,0,83.3,5.7,40,55.6,0,0.0,0,0.0
2,3.0,3.0,3.0,3.0,2023-09-24,SEA,,CAR,"W, 37-27",,3,1,10,10.0,0,33.3,3.3,33,44.0,0,0.0,0,0.0
3,4.0,4.0,4.0,4.0,2023-10-02,SEA,@,NYG,"W, 24-3",,6,3,5,1.7,0,50.0,0.8,29,52.7,0,0.0,0,0.0
4,5.0,5.0,5.0,6.0,2023-10-15,SEA,@,CIN,"L, 13-17",,5,4,48,12.0,0,80.0,9.6,53,71.6,0,0.0,0,0.0
5,6.0,6.0,6.0,7.0,2023-10-22,SEA,,ARI,"W, 20-10",*,7,4,63,15.8,1,57.1,9.0,38,63.3,0,0.0,0,0.0
6,7.0,7.0,7.0,8.0,2023-10-29,SEA,,CLE,"W, 24-20",,4,3,36,12.0,1,75.0,9.0,38,65.5,0,0.0,0,0.0
7,8.0,8.0,8.0,9.0,2023-11-05,SEA,@,BAL,"L, 3-37",,7,6,63,10.5,0,85.7,9.0,40,81.6,0,0.0,0,0.0
8,9.0,9.0,9.0,10.0,2023-11-12,SEA,,WAS,"W, 29-26",*,5,4,53,13.3,0,80.0,10.6,50,61.7,0,0.0,0,0.0
9,10.0,10.0,10.0,11.0,2023-11-19,SEA,@,LAR,"L, 16-17",,6,3,40,13.3,0,50.0,6.7,44,67.7,0,0.0,0,0.0
10,11.0,11.0,11.0,12.0,2023-11-23,SEA,,SFO,"L, 13-31",,3,2,41,20.5,0,66.7,13.7,42,75.0,0,0.0,0,0.0
11,12.0,12.0,12.0,13.0,2023-11-30,SEA,@,DAL,"L, 35-41",,11,7,62,8.9,0,63.6,5.6,46,66.7,0,0.0,0,0.0
12,13.0,13.0,13.0,14.0,2023-12-10,SEA,@,SFO,"L, 16-28",*,7,4,25,6.3,0,57.1,3.6,42,71.2,0,0.0,0,0.0
13,14.0,14.0,14.0,15.0,2023-12-18,SEA,,PHI,"W, 20-17",,4,4,48,12.0,1,100.0,12.0,42,68.9,0,0.0,0,0.0
14,15.0,15.0,15.0,16.0,2023-12-24,SEA,@,TEN,"W, 20-17",,7,6,61,10.2,0,85.7,8.7,39,62.9,0,0.0,0,0.0
15,16.0,16.0,16.0,17.0,2023-12-31,SEA,,PIT,"L, 23-30",,2,1,12,12.0,1,50.0,6.0,33,67.3,0,0.0,0,0.0
16,17.0,17.0,17.0,18.0,2024-01-07,SEA,@,ARI,"W, 21-20",,5,3,14,4.7,0,60.0,2.8,36,65.5,0,0.0,0,0.0
17,,,,,,,,,9-8,,93,63,628,10.0,4,67.7,6.8,675,64.2,0,0.0,0,0.0
