,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Cmp,Att.1,Cmp%,Yds.2,TD.2,Int,Y/A.1,AY/A,Rate,Sk,Yds.3,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,18.0,1.0,1.0,2024-09-08,SEA,,DEN,"W, 26-20",*,2,2,19,9.5,0,100.0,9.5,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,53,79.1,0,0.0,0,0.0
1,2.0,19.0,2.0,2.0,2024-09-15,SEA,@,NWE,"W, 23-20 (OT)",*,16,12,117,9.8,0,75.0,7.3,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,58,82.9,0,0.0,0,0.0
2,3.0,20.0,3.0,3.0,2024-09-22,SEA,,MIA,"W, 24-3",*,3,3,39,13.0,0,100.0,13.0,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,56,87.5,0,0.0,0,0.0
3,4.0,21.0,4.0,4.0,2024-09-30,SEA,@,DET,"L, 29-42",*,12,8,51,6.4,0,66.7,4.3,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,76,84.4,0,0.0,0,0.0
4,5.0,22.0,5.0,5.0,2024-10-06,SEA,,NYG,"L, 20-29",*,7,4,31,7.8,1,57.1,4.4,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,51,87.9,0,0.0,0,0.0
5,6.0,23.0,6.0,6.0,2024-10-10,SEA,,SFO,"L, 24-36",*,9,5,53,10.6,0,55.6,5.9,0,0,0,,0,0,,0,0,0,,,,0,0,1,0,0,0,0,0,73,93.6,0,0.0,0,0.0
6,7.0,24.0,7.0,7.0,2024-10-20,SEA,@,ATL,"W, 34-14",*,6,3,9,3.0,0,50.0,1.5,0,0,0,,1,1,100.0,35,0,0,35.0,35.0,118.7,0,0,0,0,0,0,0,0,51,85.0,0,0.0,0,0.0
7,8.0,25.0,8.0,8.0,2024-10-27,SEA,,BUF,"L, 10-31",*,7,6,69,11.5,0,85.7,9.9,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,42,82.4,0,0.0,0,0.0
8,9.0,26.0,9.0,9.0,2024-11-03,SEA,,LAR,"L, 20-26 (OT)",*,13,7,180,25.7,2,53.8,13.8,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,71,88.8,0,0.0,0,0.0
9,10.0,27.0,10.0,11.0,2024-11-17,SEA,@,SFO,"W, 20-17",,11,10,110,11.0,0,90.9,10.0,1,8,0,8.0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,50,83.3,0,0.0,0,0.0
10,11.0,28.0,11.0,12.0,2024-11-24,SEA,,ARI,"W, 16-6",*,7,6,77,12.8,1,85.7,11.0,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,42,65.6,0,0.0,0,0.0
11,12.0,29.0,12.0,13.0,2024-12-01,SEA,@,NYJ,"W, 26-21",*,4,4,74,18.5,0,100.0,18.5,1,5,0,5.0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,49,76.6,0,0.0,0,0.0
12,13.0,30.0,13.0,14.0,2024-12-08,SEA,@,ARI,"W, 30-18",*,5,5,82,16.4,1,100.0,16.4,1,4,0,4.0,0,0,,0,0,0,,,,0,0,0,0,0,1,0,0,62,96.9,0,0.0,0,0.0
13,14.0,31.0,14.0,15.0,2024-12-15,SEA,,GNB,"L, 13-30",*,12,10,83,8.3,0,83.3,6.9,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,56,94.9,0,0.0,0,0.0
14,15.0,32.0,15.0,16.0,2024-12-22,SEA,,MIN,"L, 24-27",*,12,8,95,11.9,1,66.7,7.9,1,5,0,5.0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,56,87.5,0,0.0,0,0.0
15,16.0,33.0,16.0,17.0,2024-12-26,SEA,@,CHI,"W, 6-3",*,6,3,32,10.7,0,50.0,5.3,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,50,96.2,0,0.0,0,0.0
16,17.0,34.0,17.0,18.0,2025-01-05,SEA,@,LAR,"W, 30-25",*,5,4,9,2.3,0,80.0,1.8,1,4,0,4.0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,52,94.5,0,0.0,0,0.0
17,,,,,,,,,10-7,,137,100,1130,11.3,6,73.0,8.2,5,26,0,5.2,1,1,100.0,35,0,0,35.0,35.0,118.7,0,0,1,0,0,1,0,0,948,86.2,0,0.0,0,0.0
