,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,PRTD,Y/Ret,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2023-09-10,GNB,@,CHI,"W, 38-20",*,5,2,48,24.0,0,40.0,9.6,1,-2,0,-2.0,3,54,0,18.0,0,0,0,0,0,0,32,53.3,0,0.0,5,17.9
1,2.0,2.0,2.0,2.0,2023-09-17,GNB,@,ATL,"L, 24-25",,8,4,37,9.3,2,50.0,4.6,0,0,0,,0,0,0,,0,0,0,0,0,0,28,56.0,0,0.0,1,3.7
2,3.0,3.0,3.0,3.0,2023-09-24,GNB,,NOR,"W, 18-17",*,7,3,63,21.0,0,42.9,9.0,0,0,0,,2,4,0,2.0,0,0,0,0,0,0,52,65.8,0,0.0,4,16.0
3,4.0,4.0,4.0,4.0,2023-09-28,GNB,,DET,"L, 20-34",*,5,3,55,18.3,0,60.0,11.0,0,0,0,,1,0,0,0.0,1,0,0,0,0,0,38,66.7,0,0.0,3,10.0
4,5.0,5.0,5.0,5.0,2023-10-09,GNB,@,LVR,"L, 13-17",*,2,1,7,7.0,0,50.0,3.5,0,0,0,,0,0,0,,0,0,0,0,0,0,29,50.0,0,0.0,4,16.7
5,6.0,6.0,6.0,7.0,2023-10-22,GNB,@,DEN,"L, 17-19",*,4,3,21,7.0,1,75.0,5.3,0,0,0,,0,0,0,,0,0,0,0,0,0,31,48.4,0,0.0,1,4.0
6,7.0,7.0,7.0,8.0,2023-10-29,GNB,,MIN,"L, 10-24",*,6,4,83,20.8,0,66.7,13.8,0,0,0,,0,0,0,,0,0,0,0,0,0,53,77.9,0,0.0,1,4.3
7,8.0,8.0,8.0,9.0,2023-11-05,GNB,,LAR,"W, 20-3",*,3,3,19,6.3,0,100.0,6.3,1,21,0,21.0,1,22,0,22.0,0,0,0,0,0,0,28,38.9,0,0.0,3,13.0
8,9.0,9.0,9.0,10.0,2023-11-12,GNB,@,PIT,"L, 19-23",,5,5,84,16.8,1,100.0,16.8,0,0,0,,1,0,0,0.0,1,0,0,1,0,0,35,51.5,0,0.0,2,6.9
9,10.0,10.0,10.0,11.0,2023-11-19,GNB,,LAC,"W, 23-20",*,6,4,46,11.5,0,66.7,7.7,3,46,1,15.3,1,7,0,7.0,0,0,0,0,0,0,50,69.4,0,0.0,3,11.5
10,11.0,11.0,11.0,12.0,2023-11-23,GNB,@,DET,"W, 29-22",*,8,4,34,8.5,1,50.0,4.3,2,16,0,8.0,0,0,0,,0,0,0,0,0,0,41,73.2,0,0.0,3,13.0
11,12.0,12.0,12.0,13.0,2023-12-03,GNB,,KAN,"W, 27-19",*,5,4,16,4.0,0,80.0,3.2,0,0,0,,0,0,0,,0,0,0,0,0,0,30,46.9,0,0.0,0,0.0
12,13.0,13.0,13.0,14.0,2023-12-11,GNB,@,NYG,"L, 22-24",*,10,8,27,3.4,0,80.0,2.7,4,38,1,9.5,2,7,0,3.5,0,0,0,0,0,0,47,69.1,0,0.0,5,18.5
13,14.0,14.0,14.0,15.0,2023-12-17,GNB,,TAM,"L, 20-34",,8,6,52,8.7,1,75.0,6.5,0,0,0,,0,0,0,,0,0,0,0,0,0,25,41.7,0,0.0,1,4.0
14,14.0,,15.0,16.0,2023-12-24,GNB,@,CAR,"W, 33-30",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,15.0,15.0,16.0,17.0,2023-12-31,GNB,@,MIN,"W, 33-10",*,8,6,89,14.8,2,75.0,11.1,0,0,0,,0,0,0,,0,0,0,0,0,0,23,31.1,0,0.0,3,12.5
16,16.0,16.0,17.0,18.0,2024-01-07,GNB,,CHI,"W, 17-9",*,4,4,112,28.0,0,100.0,28.0,0,0,0,,0,0,0,,0,0,0,0,0,0,36,60.0,0,0.0,3,16.7
17,,,,,,,,,8-8,,94,64,793,12.4,8,68.1,8.4,11,119,2,10.8,11,94,0,8.5,2,0,0,1,0,0,578,56.1,0,0.0,42,10.5
