,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Ret,Yds.2,KRTD,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,17.0,1.0,1.0,2023-09-10,PIT,,SFO,"L, 7-30",,3,6,0,2.0,6,5,12,2.4,0,83.3,2.0,0,0,0,0,0,0,0,0,0,25,39.7,0,0.0,7,26.9
1,2.0,18.0,2.0,2.0,2023-09-18,PIT,,CLE,"W, 26-22",,6,20,0,3.3,6,4,66,16.5,0,66.7,11.0,0,0,0,0,0,0,0,0,0,23,42.6,0,0.0,5,16.1
2,3.0,19.0,3.0,3.0,2023-09-24,PIT,@,LVR,"W, 23-18",,8,29,0,3.6,4,3,23,7.7,0,75.0,5.8,0,0,0,0,0,0,0,0,0,28,45.2,0,0.0,3,10.3
3,4.0,20.0,4.0,4.0,2023-10-01,PIT,@,HOU,"L, 6-30",,8,29,0,3.6,6,6,26,4.3,0,100.0,4.3,0,0,0,1,0,0,0,0,0,29,49.2,0,0.0,6,24.0
4,5.0,21.0,5.0,5.0,2023-10-08,PIT,,BAL,"W, 17-10",,9,40,0,4.4,3,3,39,13.0,0,100.0,13.0,0,0,0,0,0,0,0,0,0,32,48.5,0,0.0,4,16.0
5,6.0,22.0,6.0,7.0,2023-10-22,PIT,@,LAR,"W, 24-17",,6,32,1,5.3,2,1,-1,-1.0,0,50.0,-0.5,0,0,0,0,0,0,0,0,0,27,45.8,0,0.0,4,15.4
6,7.0,23.0,7.0,8.0,2023-10-29,PIT,,JAX,"L, 10-20",,5,19,0,3.8,5,4,19,4.8,0,80.0,3.8,0,0,0,0,0,0,0,0,0,33,49.3,0,0.0,6,23.1
7,8.0,24.0,8.0,9.0,2023-11-02,PIT,,TEN,"W, 20-16",,11,88,0,8.0,3,3,25,8.3,0,100.0,8.3,0,0,0,0,0,0,0,0,0,26,40.0,0,0.0,4,16.7
8,9.0,25.0,9.0,10.0,2023-11-12,PIT,,GNB,"W, 23-19",,15,101,1,6.7,4,2,9,4.5,0,50.0,2.3,0,0,0,0,0,0,0,0,0,33,50.8,0,0.0,0,0.0
9,10.0,26.0,10.0,11.0,2023-11-19,PIT,@,CLE,"L, 10-13",,9,129,1,14.3,3,3,16,5.3,0,100.0,5.3,0,0,0,0,0,0,0,0,0,26,44.8,0,0.0,0,0.0
10,11.0,27.0,11.0,12.0,2023-11-26,PIT,@,CIN,"W, 16-10",,13,49,0,3.8,3,3,13,4.3,0,100.0,4.3,0,0,0,1,1,0,0,0,0,34,47.9,0,0.0,1,4.2
11,12.0,28.0,12.0,13.0,2023-12-03,PIT,,ARI,"L, 10-24",,9,59,0,6.6,3,1,-4,-4.0,0,33.3,-1.3,0,0,0,0,0,0,0,0,0,26,42.6,0,0.0,5,20.8
12,13.0,29.0,13.0,14.0,2023-12-07,PIT,,NWE,"L, 18-21",,7,11,0,1.6,5,4,29,7.3,0,80.0,5.8,0,0,0,0,0,0,0,0,0,37,52.9,0,0.0,4,14.3
13,14.0,30.0,14.0,15.0,2023-12-16,PIT,@,IND,"L, 13-30",,10,40,0,4.0,6,5,28,5.6,0,83.3,4.7,0,0,0,0,0,0,0,0,0,40,69.0,0,0.0,7,26.9
14,15.0,31.0,15.0,16.0,2023-12-23,PIT,,CIN,"W, 34-11",,8,24,0,3.0,6,5,30,6.0,0,83.3,5.0,0,0,0,0,0,0,0,0,0,34,57.6,0,0.0,3,12.5
15,16.0,32.0,16.0,17.0,2023-12-31,PIT,@,SEA,"W, 30-23",,13,75,1,5.8,4,4,23,5.8,0,100.0,5.8,0,0,0,0,0,0,0,0,0,39,54.2,0,0.0,5,17.9
16,17.0,33.0,17.0,18.0,2024-01-06,PIT,@,BAL,"W, 17-10",,9,33,0,3.7,5,5,17,3.4,0,100.0,3.4,0,0,0,2,1,0,0,0,0,27,43.5,0,0.0,2,7.4
17,,,,,,,,,10-7,,149,784,4,5.3,74,61,370,6.1,0,82.4,5.0,0,0,0,4,2,0,0,0,0,519,48.5,0,0.0,66,14.6
