,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,17.0,1.0,1.0,2020-09-13,SFO,,ARI,"L, 20-24",,0,0,0,,0,0,0,,0,,,0,0,0,0,0,0,0,0.0,0,0.0,5,17.9
1,2.0,18.0,2.0,2.0,2020-09-20,SFO,@,NYJ,"W, 31-13",,2,3,0,1.5,0,0,0,,0,,,0,0,0,0,0,0,5,8.2,0,0.0,17,63.0
2,3.0,19.0,3.0,3.0,2020-09-27,SFO,@,NYG,"W, 36-9",,12,15,1,1.3,3,3,54,18.0,1,100.0,18.0,0,0,0,0,0,0,23,29.1,0,0.0,4,17.4
3,4.0,20.0,4.0,4.0,2020-10-04,SFO,,PHI,"L, 20-25",,3,6,0,2.0,1,1,13,13.0,0,100.0,13.0,0,0,0,0,0,0,6,8.2,0,0.0,10,41.7
4,5.0,21.0,5.0,5.0,2020-10-11,SFO,,MIA,"L, 17-43",,4,27,0,6.8,1,0,0,,0,0.0,0.0,0,0,0,1,0,0,15,23.4,0,0.0,10,31.3
5,5.0,,6.0,6.0,2020-10-18,SFO,,LAR,"W, 24-16",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,6.0,22.0,7.0,7.0,2020-10-25,SFO,@,NWE,"W, 33-6",*,17,112,3,6.6,2,2,8,4.0,0,100.0,4.0,0,0,0,0,0,0,37,56.1,0,0.0,0,0.0
7,6.0,,8.0,8.0,2020-11-01,SFO,@,SEA,"L, 27-37",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
8,6.0,,9.0,9.0,2020-11-05,SFO,,GNB,"L, 17-34",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
9,6.0,,10.0,10.0,2020-11-15,SFO,@,NOR,"L, 13-27",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
10,7.0,23.0,11.0,12.0,2020-11-29,SFO,@,LAR,"W, 23-20",,12,40,0,3.3,0,0,0,,0,,,1,1,0,0,0,0,25,34.7,0,0.0,0,0.0
11,8.0,24.0,12.0,13.0,2020-12-07,SFO,,BUF,"L, 24-34",,7,47,0,6.7,5,2,12,6.0,0,40.0,2.4,0,0,0,0,0,0,28,45.9,0,0.0,0,0.0
12,9.0,25.0,13.0,14.0,2020-12-13,SFO,,WAS,"L, 15-23",,11,31,1,2.8,3,1,13,13.0,0,33.3,4.3,1,1,0,0,0,0,39,48.1,0,0.0,0,0.0
13,10.0,26.0,14.0,15.0,2020-12-20,SFO,@,DAL,"L, 33-41",,16,60,1,3.8,4,0,0,,0,0.0,0.0,0,0,0,0,0,0,39,46.4,0,0.0,0,0.0
14,11.0,27.0,15.0,16.0,2020-12-26,SFO,@,ARI,"W, 20-12",*,22,183,0,8.3,2,1,21,21.0,1,50.0,10.5,0,0,0,0,0,0,39,69.6,0,0.0,0,0.0
15,12.0,28.0,16.0,17.0,2021-01-03,SFO,,SEA,"L, 23-26",*,20,76,1,3.8,7,3,12,4.0,1,42.9,1.7,0,0,0,0,0,0,55,83.3,0,0.0,0,0.0
16,,,,,,,,,5-7,,126,600,7,4.8,28,13,133,10.2,3,46.4,4.8,2,2,0,1,0,0,311,37.7,0,0.0,46,13.5
