,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Ret,Yds.2,KRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,43.0,1.0,1.0,2017-09-11,MIN,,NOR,"W, 29-19",,3,5,0,1.7,3,3,32,10.7,0,100.0,10.7,4,108,0,27.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,11,16.9,0,0.0,15,51.7
1,2.0,44.0,2.0,2.0,2017-09-17,MIN,@,PIT,"L, 9-26",,3,16,0,5.3,5,3,9,3.0,0,60.0,1.8,2,52,0,26.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,22,33.8,0,0.0,10,32.3
2,3.0,45.0,3.0,3.0,2017-09-24,MIN,,TAM,"W, 34-17",,2,5,0,2.5,2,2,-1,-0.5,0,100.0,-0.5,1,20,0,20.0,0.0,1,0,1,0,0.0,0,0,0,0,0,0,0,14,18.9,0,0.0,18,64.3
3,4.0,46.0,4.0,4.0,2017-10-01,MIN,,DET,"L, 7-14",,2,0,0,0.0,2,0,0,,0,0.0,0.0,3,81,0,27.0,0.0,0,0,0,0,0.0,0,1,1,0,0,0,0,10,17.9,0,0.0,12,52.2
4,5.0,47.0,5.0,5.0,2017-10-09,MIN,@,CHI,"W, 20-17",,16,95,1,5.9,6,6,51,8.5,0,100.0,8.5,2,51,0,25.5,0.0,0,0,0,0,,0,1,0,0,0,0,0,47,67.1,0,0.0,3,10.7
5,6.0,48.0,6.0,6.0,2017-10-15,MIN,,GNB,"W, 23-10",,15,69,1,4.6,6,5,30,6.0,1,83.3,5.0,0,0,0,,0.0,0,0,0,0,,0,1,1,0,0,0,0,44,57.1,0,0.0,0,0.0
6,7.0,49.0,7.0,7.0,2017-10-22,MIN,,BAL,"W, 24-16",,14,47,0,3.4,3,3,10,3.3,0,100.0,3.3,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,35,53.0,0,0.0,0,0.0
7,8.0,50.0,8.0,8.0,2017-10-29,MIN,@,CLE,"W, 33-16",,14,50,1,3.6,10,6,72,12.0,0,60.0,7.2,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,54,63.5,0,0.0,0,0.0
8,9.0,51.0,9.0,10.0,2017-11-12,MIN,@,WAS,"W, 38-30",,10,32,0,3.2,2,2,15,7.5,0,100.0,7.5,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,31,50.8,0,0.0,0,0.0
9,10.0,52.0,10.0,11.0,2017-11-19,MIN,,LAR,"W, 24-7",,14,48,0,3.4,7,5,12,2.4,0,71.4,1.7,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,45,57.7,0,0.0,0,0.0
10,11.0,53.0,11.0,12.0,2017-11-23,MIN,@,DET,"W, 30-23",,13,23,0,1.8,3,1,31,31.0,0,33.3,10.3,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,34,45.9,0,0.0,0,0.0
11,12.0,54.0,12.0,13.0,2017-12-03,MIN,@,ATL,"W, 14-9",,9,24,0,2.7,5,5,28,5.6,1,100.0,5.6,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,36,54.5,0,0.0,6,26.1
12,13.0,55.0,13.0,14.0,2017-12-10,MIN,@,CAR,"L, 24-31",,7,46,0,6.6,3,2,9,4.5,0,66.7,3.0,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,42,56.8,0,0.0,1,3.2
13,14.0,56.0,14.0,15.0,2017-12-17,MIN,,CIN,"W, 34-7",,9,24,0,2.7,8,7,114,16.3,0,87.5,14.3,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,33,50.8,0,0.0,1,3.4
14,15.0,57.0,15.0,16.0,2017-12-23,MIN,@,GNB,"W, 16-0",,7,42,0,6.0,2,1,9,9.0,0,50.0,4.5,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,25,38.5,0,0.0,0,0.0
15,16.0,58.0,16.0,17.0,2017-12-31,MIN,,CHI,"W, 23-10",*,12,44,0,3.7,1,0,0,,0,0.0,0.0,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,44,58.7,0,0.0,4,13.8
16,,,,,,,,,13-3,,150,570,3,3.8,68,51,421,8.3,2,75.0,6.2,12,312,0,26.0,0.0,1,0,1,0,0.0,0,3,2,0,0,0,0,527,47.2,0,0.0,70,15.6
