,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Fmb,FF,FR,Yds.2,FRTD
0,1.0,33.0,1.0,1.0,1987-09-13,SFO,@,PIT,"L, 17-30",*,12,8,106,13.3,1,66.7,8.8,0,0,0,,0,0,0,0,0
1,2.0,34.0,2.0,2.0,1987-09-20,SFO,@,CIN,"W, 27-26",*,9,4,86,21.5,2,44.4,9.6,1,4,0,4.0,0,0,0,0,0
2,3.0,35.0,6.0,7.0,1987-10-25,SFO,@,NOR,"W, 24-22",*,7,6,89,14.8,1,85.7,12.7,0,0,0,,0,0,0,0,0
3,4.0,36.0,7.0,8.0,1987-11-01,SFO,@,RAM,"W, 31-10",*,6,3,70,23.3,1,50.0,11.7,1,2,0,2.0,0,0,0,0,0
4,5.0,37.0,8.0,9.0,1987-11-08,SFO,,HOU,"W, 27-20",*,11,7,77,11.0,1,63.6,7.0,0,0,0,,0,0,0,0,0
5,6.0,38.0,9.0,10.0,1987-11-15,SFO,,NOR,"L, 24-26",*,6,4,108,27.0,2,66.7,18.0,2,22,0,11.0,0,0,0,0,0
6,7.0,39.0,10.0,11.0,1987-11-22,SFO,@,TAM,"W, 24-10",*,12,7,103,14.7,3,58.3,8.6,1,10,0,10.0,0,0,0,0,0
7,8.0,40.0,11.0,12.0,1987-11-29,SFO,,CLE,"W, 38-24",*,10,7,126,18.0,3,70.0,12.6,0,0,0,,0,0,0,0,0
8,9.0,41.0,12.0,13.0,1987-12-06,SFO,@,GNB,"W, 23-12",*,7,4,90,22.5,1,57.1,12.9,0,0,0,,0,0,0,0,0
9,10.0,42.0,13.0,14.0,1987-12-14,SFO,,CHI,"W, 41-0",*,13,8,75,9.4,3,61.5,5.8,1,12,0,12.0,1,0,0,0,0
10,11.0,43.0,14.0,15.0,1987-12-20,SFO,,ATL,"W, 35-7",*,13,4,58,14.5,2,30.8,4.5,1,5,1,5.0,0,0,0,0,0
11,12.0,44.0,15.0,16.0,1987-12-27,SFO,,RAM,"W, 48-0",*,6,3,90,30.0,2,50.0,15.0,1,-4,0,-4.0,1,0,1,0,0
12,,,,,,,,,10-2,,112,65,1078,16.6,22,58.0,9.6,8,51,1,6.4,2,0,1,0,0
