,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Cmp,Att.1,Cmp%,Yds.2,TD.2,Int,Y/A.1,AY/A,Rate,Sk,Yds.3,Fmb,FF,FR,Yds.4,FRTD
0,1.0,45.0,1.0,1.0,1988-09-04,SFO,@,NOR,"W, 34-33",*,6,2,41,20.5,0,33.3,6.8,2,29,0,14.5,0,0,,0,0,0,,,,0,,0,0,0,0,0
1,2.0,46.0,2.0,2.0,1988-09-11,SFO,@,NYG,"W, 20-17",*,9,4,109,27.3,1,44.4,12.1,0,0,0,,0,1,0.0,0,0,0,0.0,0.0,39.6,0,0.0,0,0,0,0,0
2,3.0,47.0,3.0,3.0,1988-09-18,SFO,,ATL,"L, 17-34",*,14,8,163,20.4,0,57.1,11.6,2,20,0,10.0,0,1,0.0,0,0,1,0.0,-45.0,0.0,0,0.0,0,0,0,0,0
3,4.0,48.0,4.0,4.0,1988-09-25,SFO,@,SEA,"W, 38-7",*,8,6,163,27.2,3,75.0,20.4,0,0,0,,0,0,,0,0,0,,,,0,,0,0,0,0,0
4,5.0,49.0,5.0,5.0,1988-10-02,SFO,,DET,"W, 20-13",*,3,2,35,17.5,0,66.7,11.7,1,11,1,11.0,0,0,,0,0,0,,,,0,,0,0,0,0,0
5,6.0,50.0,6.0,6.0,1988-10-09,SFO,,DEN,"L, 13-16 (OT)",*,7,3,78,26.0,0,42.9,11.1,2,27,0,13.5,0,0,,0,0,0,,,,0,,0,0,0,0,0
6,7.0,51.0,7.0,7.0,1988-10-16,SFO,@,RAM,"W, 24-21",*,5,4,65,16.3,0,80.0,13.0,0,0,0,,0,0,,0,0,0,,,,0,,0,0,0,0,0
7,8.0,52.0,8.0,8.0,1988-10-24,SFO,@,CHI,"L, 9-10",*,6,4,86,21.5,1,66.7,14.3,2,8,0,4.0,0,0,,0,0,0,,,,0,,0,0,0,0,0
8,9.0,53.0,9.0,9.0,1988-10-30,SFO,,MIN,"W, 24-21",*,4,1,22,22.0,0,25.0,5.5,0,0,0,,0,0,,0,0,0,,,,0,,0,0,0,0,0
9,10.0,54.0,10.0,10.0,1988-11-06,SFO,@,PHO,"L, 23-24",*,8,3,37,12.3,0,37.5,4.6,1,5,0,5.0,0,0,,0,0,0,,,,0,,0,0,0,0,0
10,11.0,55.0,11.0,11.0,1988-11-13,SFO,,RAI,"L, 3-9",*,10,5,61,12.2,0,50.0,6.1,2,-2,0,-1.0,0,0,,0,0,0,,,,0,,1,0,0,0,0
11,12.0,56.0,12.0,12.0,1988-11-21,SFO,,WAS,"W, 37-21",*,5,3,105,35.0,1,60.0,21.0,0,0,0,,0,0,,0,0,0,,,,0,,0,0,0,0,0
12,13.0,57.0,13.0,13.0,1988-11-27,SFO,@,SDG,"W, 48-10",*,10,6,171,28.5,2,60.0,17.1,0,0,0,,0,0,,0,0,0,,,,0,,1,0,1,0,0
13,14.0,58.0,14.0,14.0,1988-12-04,SFO,@,ATL,"W, 13-3",*,11,5,63,12.6,1,45.5,5.7,1,9,0,9.0,1,1,100.0,14,0,0,14.0,14.0,118.7,0,0.0,0,0,0,0,0
14,15.0,59.0,15.0,15.0,1988-12-11,SFO,,NOR,"W, 30-17",*,11,6,78,13.0,0,54.5,7.1,0,0,0,,0,0,,0,0,0,,,,0,,0,0,0,0,0
15,16.0,60.0,16.0,16.0,1988-12-18,SFO,,RAM,"L, 16-38",*,4,2,29,14.5,0,50.0,7.3,0,0,0,,0,0,,0,0,0,,,,0,,0,0,0,0,0
16,,,,,,,,,10-6,,121,64,1306,20.4,9,52.9,10.8,13,107,1,8.2,1,3,33.3,14,0,1,4.7,-10.33,9.7,0,0.0,2,0,1,0,0
