,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.1,FRTD
0,1.0,191.0,1.0,1.0,1998-09-06,SFO,,NYJ,"W, 36-30 (OT)",*,11,6,86,14.3,1,54.5,7.8,0,0,0,0,0,0
1,2.0,192.0,2.0,2.0,1998-09-14,SFO,@,WAS,"W, 45-10",*,6,4,82,20.5,0,66.7,13.7,0,0,0,0,0,0
2,3.0,193.0,3.0,4.0,1998-09-27,SFO,,ATL,"W, 31-20",*,14,8,162,20.3,2,57.1,11.6,0,0,0,0,0,0
3,4.0,194.0,4.0,5.0,1998-10-04,SFO,@,BUF,"L, 21-26",*,7,3,54,18.0,0,42.9,7.7,0,0,0,0,0,0
4,5.0,195.0,5.0,6.0,1998-10-11,SFO,@,NOR,"W, 31-0",*,14,6,79,13.2,0,42.9,5.6,0,0,0,0,0,0
5,6.0,196.0,6.0,7.0,1998-10-18,SFO,,IND,"W, 34-31",*,9,4,36,9.0,0,44.4,4.0,0,0,0,0,0,0
6,7.0,197.0,7.0,8.0,1998-10-25,SFO,@,STL,"W, 28-10",*,6,4,64,16.0,1,66.7,10.7,0,0,0,0,0,0
7,8.0,198.0,8.0,9.0,1998-11-01,SFO,@,GNB,"L, 22-36",*,10,7,60,8.6,1,70.0,6.0,0,0,0,0,0,0
8,9.0,199.0,9.0,10.0,1998-11-08,SFO,,CAR,"W, 25-23",*,10,6,87,14.5,0,60.0,8.7,1,1,0,0,0,0
9,10.0,200.0,10.0,11.0,1998-11-15,SFO,@,ATL,"L, 19-31",*,19,10,169,16.9,1,52.6,8.9,0,0,0,0,0,0
10,11.0,201.0,11.0,12.0,1998-11-22,SFO,,NOR,"W, 31-20",*,6,3,27,9.0,1,50.0,4.5,0,0,0,0,0,0
11,12.0,202.0,12.0,13.0,1998-11-30,SFO,,NYG,"W, 31-7",*,10,3,25,8.3,0,30.0,2.5,0,0,0,0,0,0
12,13.0,203.0,13.0,14.0,1998-12-06,SFO,@,CAR,"W, 31-28 (OT)",*,10,5,36,7.2,0,50.0,3.6,0,0,0,0,0,0
13,14.0,204.0,14.0,15.0,1998-12-14,SFO,,DET,"W, 35-13",*,6,4,26,6.5,0,66.7,4.3,0,0,0,0,0,0
14,15.0,205.0,15.0,16.0,1998-12-20,SFO,@,NWE,"L, 21-24",*,6,5,115,23.0,1,83.3,19.2,1,1,0,0,0,0
15,16.0,206.0,16.0,17.0,1998-12-27,SFO,,STL,"W, 38-19",*,7,4,49,12.3,1,57.1,7.0,0,0,0,0,0,0
16,,,,,,,,,12-4,,151,82,1157,14.1,9,54.3,7.7,2,2,0,0,0,0
