,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,90.0,1.0,1.0,2016-09-11,SEA,,MIA,"W, 12-10",,1,1,11,11.0,0,100.0,11.0,0,0,0,,0,0,0,0,0,0,17,20.7,0,0.0,0,0.0
1,2.0,91.0,2.0,2.0,2016-09-18,SEA,@,LAR,"L, 3-9",*,4,3,42,14.0,0,75.0,10.5,0,0,0,,0,0,0,0,0,0,55,82.1,0,0.0,0,0.0
2,3.0,92.0,3.0,3.0,2016-09-25,SEA,,SFO,"W, 37-18",*,9,6,100,16.7,1,66.7,11.1,0,0,0,,1,1,0,0,0,0,47,67.1,0,0.0,2,6.5
3,4.0,93.0,4.0,4.0,2016-10-02,SEA,@,NYJ,"W, 27-17",*,8,6,113,18.8,0,75.0,14.1,0,0,0,,0,0,0,0,0,0,40,66.7,0,0.0,1,3.6
4,5.0,94.0,5.0,6.0,2016-10-16,SEA,,ATL,"W, 26-24",*,9,6,89,14.8,0,66.7,9.9,0,0,0,,0,0,0,0,0,0,63,95.5,0,0.0,0,0.0
5,6.0,95.0,6.0,7.0,2016-10-23,SEA,@,ARI,"T, 6-6 (OT)",*,10,5,53,10.6,0,50.0,5.3,0,0,0,,0,0,0,0,0,0,61,96.8,0,0.0,0,0.0
6,7.0,96.0,7.0,8.0,2016-10-30,SEA,@,NOR,"L, 20-25",*,5,3,34,11.3,0,60.0,6.8,0,0,0,,0,0,0,0,0,0,49,90.7,0,0.0,0,0.0
7,8.0,97.0,8.0,9.0,2016-11-07,SEA,,BUF,"W, 31-25",*,8,8,103,12.9,2,100.0,12.9,0,0,0,,0,0,0,0,0,0,42,89.4,0,0.0,0,0.0
8,9.0,98.0,9.0,10.0,2016-11-13,SEA,@,NWE,"W, 31-24",*,4,4,48,12.0,0,100.0,12.0,0,0,0,,0,0,0,0,0,0,67,95.7,0,0.0,0,0.0
9,10.0,99.0,10.0,11.0,2016-11-20,SEA,,PHI,"W, 26-15",*,5,3,46,15.3,1,60.0,9.2,0,0,0,,0,0,0,0,0,0,50,74.6,0,0.0,1,3.4
10,11.0,100.0,11.0,12.0,2016-11-27,SEA,@,TAM,"L, 5-14",*,7,6,67,11.2,0,85.7,9.6,0,0,0,,1,1,0,0,0,0,63,100.0,0,0.0,0,0.0
11,12.0,101.0,12.0,13.0,2016-12-04,SEA,,CAR,"W, 40-7",*,9,6,63,10.5,1,66.7,7.0,0,0,0,,0,0,0,0,0,0,53,74.6,0,0.0,0,0.0
12,13.0,102.0,13.0,14.0,2016-12-11,SEA,@,GNB,"L, 10-38",*,4,1,16,16.0,0,25.0,4.0,0,0,0,,0,0,0,0,0,0,41,57.7,0,0.0,0,0.0
13,14.0,103.0,14.0,15.0,2016-12-15,SEA,,LAR,"W, 24-3",*,2,1,31,31.0,0,50.0,15.5,1,0,0,0.0,0,0,0,0,0,0,37,60.7,0,0.0,0,0.0
14,15.0,104.0,15.0,16.0,2016-12-24,SEA,,ARI,"L, 31-34",*,3,2,43,21.5,1,66.7,14.3,0,0,0,,0,0,0,0,0,0,68,81.9,0,0.0,0,0.0
15,16.0,105.0,16.0,17.0,2017-01-01,SEA,@,SFO,"W, 25-23",*,7,4,64,16.0,0,57.1,9.1,0,0,0,,0,0,0,0,0,0,37,57.8,0,0.0,1,3.1
16,,,,,,,,,10-5-1,,95,65,923,14.2,6,68.4,9.7,1,0,0,0.0,2,2,0,0,0,0,790,74.6,0,0.0,5,1.1
