,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Sk.1,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,11.0,1.0,1.0,2021-09-12,CIN,,MIN,"W, 27-24 (OT)",*,20,27,74.1,261,2,0,9.7,11.15,128.8,5,44,1,2,0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,69,100.0,0,0.0,0,0.0
1,2.0,12.0,2.0,2.0,2021-09-19,CIN,@,CHI,"L, 17-20",*,19,30,63.3,207,2,3,6.9,3.73,66.2,5,28,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,55,100.0,0,0.0,0,0.0
2,3.0,13.0,3.0,3.0,2021-09-26,CIN,@,PIT,"W, 24-10",*,14,18,77.8,172,3,1,9.6,10.39,122.9,0,0,5,7,0,1.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,47,100.0,0,0.0,0,0.0
3,4.0,14.0,4.0,4.0,2021-09-30,CIN,,JAX,"W, 24-21",*,25,32,78.1,348,2,0,10.9,12.13,132.8,1,6,3,4,0,1.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,58,100.0,0,0.0,0,0.0
4,5.0,15.0,5.0,5.0,2021-10-10,CIN,,GNB,"L, 22-25 (OT)",*,26,38,68.4,281,2,2,7.4,6.08,85.5,3,17,3,11,0,3.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,67,100.0,0,0.0,0,0.0
5,6.0,16.0,6.0,6.0,2021-10-17,CIN,@,DET,"W, 34-11",*,19,29,65.5,271,3,1,9.3,9.86,115.7,2,22,5,20,0,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,59,81.9,0,0.0,0,0.0
6,7.0,17.0,7.0,7.0,2021-10-24,CIN,@,BAL,"W, 41-17",*,23,38,60.5,416,3,1,10.9,11.34,113.5,1,7,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,56,88.9,0,0.0,0,0.0
7,8.0,18.0,8.0,8.0,2021-10-31,CIN,@,NYJ,"L, 31-34",*,21,34,61.8,259,3,1,7.6,8.06,102.5,3,28,1,-1,0,-1.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,55,100.0,0,0.0,0,0.0
8,9.0,19.0,9.0,9.0,2021-11-07,CIN,,CLE,"L, 16-41",*,28,40,70.0,282,0,2,7.1,4.80,69.0,5,25,2,1,0,0.5,0.0,0,0,0,0,0,0,1,0,0,0,0,0,69,92.0,0,0.0,0,0.0
9,10.0,20.0,10.0,11.0,2021-11-21,CIN,@,LVR,"W, 32-13",*,20,29,69.0,148,1,0,5.1,5.79,92.3,3,19,3,11,0,3.7,0.0,0,0,0,0,0,0,1,1,0,0,0,0,74,100.0,0,0.0,0,0.0
10,11.0,21.0,11.0,12.0,2021-11-28,CIN,,PIT,"W, 41-10",*,20,24,83.3,190,1,1,7.9,6.88,96.2,2,18,1,8,1,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,58,85.3,0,0.0,0,0.0
11,12.0,22.0,12.0,13.0,2021-12-05,CIN,,LAC,"L, 22-41",*,24,40,60.0,300,1,2,7.5,5.75,70.8,6,40,1,6,1,6.0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,76,100.0,0,0.0,0,0.0
12,13.0,23.0,13.0,14.0,2021-12-12,CIN,,SFO,"L, 23-26 (OT)",*,25,34,73.5,348,2,0,10.2,11.41,125.6,5,37,2,3,0,1.5,0.0,0,0,0,0,0,0,1,0,0,1,0,0,67,100.0,0,0.0,0,0.0
13,14.0,24.0,14.0,15.0,2021-12-19,CIN,@,DEN,"W, 15-10",*,15,22,68.2,157,1,0,7.1,8.05,103.8,3,21,5,25,0,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,53,100.0,0,0.0,0,0.0
14,15.0,25.0,15.0,16.0,2021-12-26,CIN,,BAL,"W, 41-21",*,37,46,80.4,525,4,0,11.4,13.15,143.2,3,27,2,11,0,5.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,76,100.0,0,0.0,0,0.0
15,16.0,26.0,16.0,17.0,2022-01-02,CIN,,KAN,"W, 34-31",*,30,39,76.9,446,4,0,11.4,13.49,148.0,4,31,5,10,0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,68,97.1,0,0.0,0,0.0
16,16.0,,17.0,18.0,2022-01-09,CIN,@,CLE,"L, 16-21",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,,,,,,,,10-6,,366,520,70.4,4611,34,14,8.9,8.96,108.3,51,370,40,118,2,3.0,0.0,1,1,0,0,0,0,5,2,0,1,0,0,1007,96.4,0,0.0,0,0.0
