,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,43.0,1.0,1.0,2023-09-10,CIN,@,CLE,"L, 3-24",*,14,31,45.2,82,0,0,2.6,2.65,52.2,2,15,1,-1,0,-1.0,0,0,0,0,0,0,52,92.9,0,0.0,0,0.0
1,2.0,44.0,2.0,2.0,2023-09-17,CIN,,BAL,"L, 24-27",*,27,41,65.9,222,2,1,5.4,5.29,85.6,1,6,1,5,0,5.0,0,0,0,0,0,0,60,100.0,0,0.0,0,0.0
2,3.0,45.0,3.0,3.0,2023-09-25,CIN,,LAR,"W, 19-16",*,26,49,53.1,259,0,1,5.3,4.37,59.8,2,17,3,-2,0,-0.7,0,0,0,0,0,0,77,100.0,0,0.0,0,0.0
3,4.0,46.0,4.0,4.0,2023-10-01,CIN,@,TEN,"L, 3-27",*,20,30,66.7,165,0,0,5.5,5.50,80.6,3,26,3,1,0,0.3,1,1,0,0,0,0,53,100.0,0,0.0,0,0.0
4,5.0,47.0,5.0,5.0,2023-10-08,CIN,@,ARI,"W, 34-20",*,36,46,78.3,317,3,1,6.9,7.22,108.1,3,30,4,7,0,1.8,0,0,0,0,0,0,82,100.0,0,0.0,0,0.0
5,6.0,48.0,6.0,6.0,2023-10-15,CIN,,SEA,"W, 17-13",*,24,35,68.6,185,2,1,5.3,5.14,88.4,3,17,2,4,0,2.0,0,0,0,0,0,0,54,100.0,0,0.0,0,0.0
6,7.0,49.0,7.0,8.0,2023-10-29,CIN,@,SFO,"W, 31-17",*,28,32,87.5,283,3,0,8.8,10.72,134.8,3,17,6,43,0,7.2,0,0,0,0,0,0,63,100.0,0,0.0,0,0.0
7,8.0,50.0,8.0,9.0,2023-11-05,CIN,,BUF,"W, 24-18",*,31,44,70.5,348,2,0,7.9,8.82,108.9,1,5,5,4,0,0.8,0,0,0,0,0,0,70,100.0,0,0.0,0,0.0
8,9.0,51.0,9.0,10.0,2023-11-12,CIN,,HOU,"L, 27-30",*,27,40,67.5,347,2,2,8.7,7.43,90.3,4,33,5,20,0,4.0,1,0,0,0,0,0,64,100.0,0,0.0,0,0.0
9,10.0,52.0,10.0,11.0,2023-11-16,CIN,@,BAL,"L, 20-34",*,11,17,64.7,101,1,0,5.9,7.12,100.4,2,14,1,7,0,7.0,0,0,0,0,0,0,27,44.3,0,0.0,0,0.0
10,10.0,,11.0,12.0,2023-11-26,CIN,,PIT,"L, 10-16",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,10.0,,12.0,13.0,2023-12-04,CIN,@,JAX,"W, 34-31 (OT)",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,10.0,,13.0,14.0,2023-12-10,CIN,,IND,"W, 34-14",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,10.0,,14.0,15.0,2023-12-16,CIN,,MIN,"W, 27-24 (OT)",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,10.0,,15.0,16.0,2023-12-23,CIN,@,PIT,"L, 11-34",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,10.0,,16.0,17.0,2023-12-31,CIN,@,KAN,"L, 17-25",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,10.0,,17.0,18.0,2024-01-07,CIN,,CLE,"W, 31-14",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,,,,,,,,,5-5,,244,365,66.8,2309,15,6,6.3,6.41,91.0,24,180,31,88,0,2.8,2,1,0,0,0,0,602,94.1,0,0.0,0,0.0
