,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,97.0,1.0,1.0,2014-09-07,BAL,,CIN,"L, 16-23",*,35,62,56.5,345,1,1,5.6,5.16,71.0,3,16,3,7,0,2.3,0,0,0,0,0,0,88,100.0,0,0.0,0,0.0
1,2.0,98.0,2.0,2.0,2014-09-11,BAL,,PIT,"W, 26-6",*,21,29,72.4,166,2,0,5.7,7.1,109.3,0,0,5,3,0,0.6,0,0,0,0,0,0,68,100.0,0,0.0,0,0.0
2,3.0,99.0,3.0,3.0,2014-09-21,BAL,@,CLE,"W, 23-21",*,19,31,61.3,217,1,1,7.0,6.19,79.6,0,0,4,6,0,1.5,0,0,0,0,0,0,66,100.0,0,0.0,0,0.0
3,4.0,100.0,4.0,4.0,2014-09-28,BAL,,CAR,"W, 38-10",*,22,31,71.0,327,3,0,10.5,12.48,137.4,0,0,1,3,0,3.0,1,0,0,1,0,0,63,100.0,0,0.0,0,0.0
4,5.0,101.0,5.0,5.0,2014-10-05,BAL,@,IND,"L, 13-20",*,22,38,57.9,235,0,1,6.2,5.0,65.1,4,38,0,0,0,,0,0,0,0,0,0,60,100.0,0,0.0,0,0.0
5,6.0,102.0,6.0,6.0,2014-10-12,BAL,@,TAM,"W, 48-17",*,21,28,75.0,306,5,0,10.9,14.5,149.7,0,0,0,0,0,,0,0,0,0,0,0,61,91.0,0,0.0,0,0.0
6,7.0,103.0,7.0,7.0,2014-10-19,BAL,,ATL,"W, 29-7",*,16,25,64.0,258,2,2,10.3,8.32,91.7,1,10,1,4,0,4.0,0,0,0,0,0,0,67,100.0,0,0.0,0,0.0
7,8.0,104.0,8.0,8.0,2014-10-26,BAL,@,CIN,"L, 24-27",*,17,34,50.0,195,0,2,5.7,3.09,43.1,1,8,2,12,0,6.0,0,0,0,0,0,0,65,100.0,0,0.0,0,0.0
8,9.0,105.0,9.0,9.0,2014-11-02,BAL,@,PIT,"L, 23-43",*,30,45,66.7,303,2,1,6.7,6.62,91.2,4,34,1,2,0,2.0,0,0,0,0,0,0,71,100.0,0,0.0,0,0.0
9,10.0,106.0,10.0,10.0,2014-11-09,BAL,,TEN,"W, 21-7",*,16,27,59.3,169,1,0,6.3,7.0,89.9,1,8,3,-2,0,-0.7,1,0,0,1,-5,0,62,100.0,0,0.0,0,0.0
10,11.0,107.0,11.0,12.0,2014-11-24,BAL,@,NOR,"W, 34-27",*,18,24,75.0,243,1,0,10.1,10.96,120.7,1,9,2,2,0,1.0,0,0,0,0,0,0,59,100.0,0,0.0,0,0.0
11,12.0,108.0,12.0,13.0,2014-11-30,BAL,,SDG,"L, 33-34",*,19,31,61.3,225,2,0,7.3,8.55,104.9,0,0,2,3,1,1.5,0,0,0,0,0,0,71,100.0,0,0.0,0,0.0
12,13.0,109.0,13.0,14.0,2014-12-07,BAL,@,MIA,"W, 28-13",*,25,33,75.8,269,2,1,8.2,8.0,106.8,1,5,7,16,1,2.3,0,0,0,0,0,0,65,100.0,0,0.0,0,0.0
13,14.0,110.0,14.0,15.0,2014-12-14,BAL,,JAX,"W, 20-12",*,20,30,66.7,221,1,0,7.4,8.03,99.4,0,0,4,8,0,2.0,0,0,0,0,0,0,62,100.0,0,0.0,0,0.0
14,15.0,111.0,15.0,16.0,2014-12-21,BAL,@,HOU,"L, 13-25",*,21,50,42.0,195,2,3,3.9,2.0,41.7,2,17,1,5,0,5.0,1,0,0,0,0,0,73,100.0,0,0.0,0,0.0
15,16.0,112.0,16.0,17.0,2014-12-28,BAL,,CLE,"W, 20-10",*,22,36,61.1,312,2,0,8.7,9.78,107.6,1,22,3,1,0,0.3,2,0,0,1,0,0,67,100.0,0,0.0,0,0.0
16,,,,,,,,,10-6,,344,554,62.1,3986,27,12,7.2,7.19,91.0,19,167,39,70,2,1.8,5,0,0,3,-5,0,1068,99.4,0,0.0,0,0.0
