,Season,Age,Team,Lg,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
0,2008,23,BAL,NFL,QB,16.0,16.0,11-5-0,257.0,428.0,60.0,2971.0,14.0,3.3,12.0,2.8,143.0,40.4,70.0,6.9,6.33,11.6,185.7,80.3,47.1,32.0,276.0,6.96,5.86,5.29,1.0,1.0,12.0,
1,2009,24,BAL,NFL,QB,16.0,16.0,9-7-0,315.0,499.0,63.1,3613.0,21.0,4.2,12.0,2.4,184.0,46.4,72.0,7.2,7.0,11.5,225.8,88.9,58.5,36.0,218.0,6.73,6.35,6.12,1.0,2.0,13.0,
2,2010,25,BAL,NFL,QB,16.0,16.0,12-4-0,306.0,489.0,62.6,3622.0,25.0,5.1,10.0,2.0,174.0,44.0,67.0,7.4,7.51,11.8,226.4,93.6,59.1,40.0,294.0,7.56,6.29,6.39,2.0,4.0,12.0,
3,2011,26,BAL,NFL,QB,16.0,16.0,12-4-0,312.0,542.0,57.6,3610.0,20.0,3.7,12.0,2.2,180.0,42.1,74.0,6.7,6.4,11.6,225.6,80.9,63.7,31.0,203.0,5.41,5.95,5.7,2.0,3.0,12.0,
4,2012,27,BAL,NFL,QB,16.0,16.0,10-6-0,317.0,531.0,59.7,3817.0,22.0,4.1,10.0,1.9,178.0,43.1,61.0,7.2,7.17,12.0,238.6,87.7,51.1,35.0,227.0,6.18,6.34,6.33,3.0,3.0,13.0,
5,2013,28,BAL,NFL,QB,16.0,16.0,8-8-0,362.0,614.0,59.0,3912.0,19.0,3.1,22.0,3.6,191.0,38.5,74.0,6.4,5.38,10.8,244.5,73.1,48.0,48.0,324.0,7.25,5.42,4.5,2.0,4.0,8.0,
6,2014,29,BAL,NFL,QB,16.0,16.0,10-6-0,344.0,554.0,62.1,3986.0,27.0,4.9,12.0,2.2,194.0,47.8,80.0,7.2,7.19,11.6,249.1,91.0,68.6,19.0,167.0,3.32,6.66,6.66,2.0,2.0,13.0,
7,2015,30,BAL,NFL,QB,10.0,10.0,3-7-0,266.0,413.0,64.4,2791.0,14.0,3.4,12.0,2.9,125.0,45.7,50.0,6.8,6.13,10.5,279.1,83.1,50.8,16.0,124.0,3.73,6.22,5.61,3.0,3.0,5.0,
8,2016,31,BAL,NFL,QB,16.0,16.0,8-8-0,436.0,672.0,64.9,4317.0,20.0,3.0,15.0,2.2,204.0,43.0,95.0,6.4,6.01,9.9,269.8,83.5,52.5,33.0,243.0,4.68,5.78,5.39,2.0,2.0,9.0,
9,2017,32,BAL,NFL,QB,16.0,16.0,9-7-0,352.0,549.0,64.1,3141.0,18.0,3.3,13.0,2.4,163.0,40.6,66.0,5.7,5.31,8.9,196.3,80.4,47.1,27.0,205.0,4.69,5.1,4.71,0.0,0.0,9.0,
