,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2017-09-10,CIN,,BAL,"L, 0-20",,8,9,0,1.1,3,3,15,5.0,0,100.0,5.0,0,0,0,0,0,0,22,36.1,0,0.0,0,0.0
1,2.0,2.0,2.0,2.0,2017-09-14,CIN,,HOU,"L, 9-13",,9,36,0,4.0,1,1,5,5.0,0,100.0,5.0,0,0,0,0,0,0,16,25.0,0,0.0,4,13.3
2,3.0,3.0,3.0,3.0,2017-09-24,CIN,@,GNB,"L, 24-27 (OT)",,18,62,0,3.4,3,3,39,13.0,0,100.0,13.0,0,0,0,0,0,0,34,55.7,0,0.0,5,15.2
3,4.0,4.0,4.0,4.0,2017-10-01,CIN,@,CLE,"W, 31-7",,17,29,0,1.7,4,4,19,4.8,0,100.0,4.8,0,0,0,0,0,0,31,48.4,0,0.0,1,4.0
4,5.0,5.0,5.0,5.0,2017-10-08,CIN,,BUF,"W, 20-16",,15,51,1,3.4,0,0,0,,0,,,0,0,0,0,0,0,36,54.5,0,0.0,5,17.2
5,6.0,6.0,6.0,7.0,2017-10-22,CIN,@,PIT,"L, 14-29",,7,48,0,6.9,3,3,20,6.7,0,100.0,6.7,1,0,0,1,0,0,22,43.1,0,0.0,0,0.0
6,7.0,7.0,7.0,8.0,2017-10-29,CIN,,IND,"W, 24-23",,11,18,0,1.6,3,3,91,30.3,0,100.0,30.3,1,1,0,0,0,0,35,62.5,0,0.0,0,0.0
7,8.0,8.0,8.0,9.0,2017-11-05,CIN,@,JAX,"L, 7-23",*,13,31,1,2.4,4,3,15,5.0,0,75.0,3.8,0,0,0,0,0,0,28,71.8,0,0.0,0,0.0
8,9.0,9.0,9.0,10.0,2017-11-12,CIN,@,TEN,"L, 20-24",*,9,37,1,4.1,3,1,3,3.0,0,33.3,1.0,0,0,0,0,0,0,31,60.8,0,0.0,0,0.0
9,10.0,10.0,10.0,11.0,2017-11-19,CIN,@,DEN,"W, 20-17",*,20,49,0,2.5,2,2,0,0.0,0,100.0,0.0,0,0,0,0,0,0,35,63.6,0,0.0,0,0.0
10,11.0,11.0,11.0,12.0,2017-11-26,CIN,,CLE,"W, 30-16",*,23,114,1,5.0,3,3,51,17.0,0,100.0,17.0,0,0,0,0,0,0,46,75.4,0,0.0,0,0.0
11,12.0,12.0,12.0,13.0,2017-12-04,CIN,,PIT,"L, 20-23",*,7,34,0,4.9,1,1,8,8.0,0,100.0,8.0,0,0,0,0,0,0,17,26.6,0,0.0,0,0.0
12,12.0,,13.0,14.0,2017-12-10,CIN,,CHI,"L, 7-33",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,12.0,,14.0,15.0,2017-12-17,CIN,@,MIN,"L, 7-34",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,13.0,13.0,15.0,16.0,2017-12-24,CIN,,DET,"W, 26-17",*,3,12,0,4.0,3,2,20,10.0,0,66.7,6.7,0,0,0,0,0,0,6,7.1,0,0.0,0,0.0
15,14.0,14.0,16.0,17.0,2017-12-31,CIN,@,BAL,"W, 31-27",*,18,96,0,5.3,1,1,1,1.0,0,100.0,1.0,1,1,0,0,0,0,25,31.6,0,0.0,0,0.0
16,,,,,,,,,7-7,,178,626,4,3.5,34,30,287,9.6,0,88.2,8.4,3,2,0,1,0,0,384,44.9,0,0.0,15,3.8
