,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2017,21,CIN,NFL,RB,14.0,7.0,178.0,626.0,4.0,39.0,41.0,25.0,3.5,44.7,12.7,34.0,30.0,287.0,9.6,0.0,10.0,55.9,67.0,2.1,20.5,88.2,8.4,208.0,4.4,913.0,4.0,3.0,7.0,
1,2018,22,CIN,NFL,RB,14.0,13.0,237.0,1168.0,8.0,60.0,48.5,51.0,4.9,83.4,16.9,55.0,43.0,296.0,6.9,1.0,14.0,50.9,21.0,3.1,21.1,78.2,5.4,280.0,5.2,1464.0,9.0,0.0,11.0,
2,2019,23,CIN,NFL,RB,16.0,15.0,278.0,1137.0,5.0,56.0,45.3,41.0,4.1,71.1,17.4,45.0,35.0,287.0,8.2,3.0,14.0,51.1,33.0,2.2,17.9,77.8,6.4,313.0,4.5,1424.0,8.0,0.0,7.0,
3,2020,24,CIN,NFL,RB,6.0,6.0,119.0,428.0,3.0,20.0,46.2,34.0,3.6,71.3,19.8,26.0,21.0,138.0,6.6,1.0,5.0,46.2,19.0,3.5,23.0,80.8,5.3,140.0,4.0,566.0,4.0,1.0,3.0,
4,2021,25,CIN,NFL,RB,16.0,16.0,292.0,1205.0,13.0,60.0,49.7,32.0,4.1,75.3,18.3,48.0,42.0,314.0,7.5,3.0,11.0,43.8,52.0,2.6,19.6,87.5,6.5,334.0,4.5,1519.0,16.0,2.0,10.0,PB
5,2022,26,CIN,NFL,RB,14.0,14.0,210.0,814.0,7.0,47.0,52.4,40.0,3.9,58.1,15.0,75.0,60.0,441.0,7.4,2.0,17.0,50.7,35.0,4.3,31.5,80.0,5.9,270.0,4.6,1255.0,9.0,0.0,9.0,
6,2023,27,CIN,NFL,RB,17.0,17.0,257.0,1034.0,9.0,59.0,49.4,44.0,4.0,60.8,15.1,64.0,52.0,376.0,7.2,3.0,14.0,54.7,45.0,3.1,22.1,81.3,5.9,309.0,4.6,1410.0,12.0,0.0,10.0,
7,2024,28,HOU,NFL,RB,14.0,14.0,245.0,1016.0,11.0,52.0,42.4,59.0,4.1,72.6,17.5,52.0,36.0,309.0,8.6,1.0,12.0,53.8,37.0,2.6,22.1,69.2,5.9,281.0,4.7,1325.0,12.0,0.0,8.0,PB
8,8 Yrs,8 Yrs,8 Yrs,8 Yrs,,111.0,102.0,1816.0,7428.0,60.0,393.0,47.1,59.0,4.1,66.9,16.4,399.0,319.0,2448.0,7.7,14.0,97.0,51.1,67.0,2.9,22.1,79.9,6.1,2135.0,4.6,9876.0,74.0,6.0,65.0,
9,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,16.0,278.0,1138.0,9.0,60.0,47.1,59.0,4.1,66.9,16.4,61.0,49.0,375.0,7.7,2.0,15.0,51.1,67.0,2.9,22.1,79.9,6.1,327.0,0.7,1513.0,11.0,1.0,10.0,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,CIN (7 Yrs),CIN (7 Yrs),CIN (7 Yrs),CIN (7 Yrs),,97.0,88.0,1571.0,6412.0,49.0,341.0,47.8,51.0,4.1,66.1,16.2,347.0,283.0,2139.0,7.6,13.0,85.0,50.7,67.0,2.9,22.1,81.6,6.2,1854.0,4.6,8551.0,62.0,6.0,57.0,
12,HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,14.0,14.0,245.0,1016.0,11.0,52.0,42.4,59.0,4.1,72.6,17.5,52.0,36.0,309.0,8.6,1.0,12.0,53.8,37.0,2.6,22.1,69.2,5.9,281.0,4.7,1325.0,12.0,0.0,8.0,
