,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2017-09-10,TEN,,OAK,"L, 16-26",*,1,0,0,,0,0.0,0.0,23,35.9,0,0.0,6,20.0
1,2.0,2.0,2.0,2.0,2017-09-17,TEN,@,JAX,"W, 37-16",*,3,2,30,15.0,1,66.7,10.0,37,54.4,0,0.0,2,7.1
2,3.0,3.0,3.0,3.0,2017-09-24,TEN,,SEA,"W, 33-27",*,2,1,24,24.0,1,50.0,12.0,48,65.8,0,0.0,11,30.6
3,4.0,4.0,4.0,4.0,2017-10-01,TEN,@,HOU,"L, 14-57",*,0,0,0,,0,,,22,53.7,0,0.0,12,36.4
4,5.0,5.0,5.0,5.0,2017-10-08,TEN,@,MIA,"L, 10-16",*,5,5,21,4.2,0,100.0,4.2,36,61.0,0,0.0,4,12.9
5,6.0,6.0,6.0,6.0,2017-10-16,TEN,,IND,"W, 36-22",,1,1,10,10.0,0,100.0,10.0,43,61.4,0,0.0,6,18.8
6,7.0,7.0,7.0,7.0,2017-10-22,TEN,@,CLE,"W, 12-9 (OT)",*,4,2,22,11.0,0,50.0,5.5,49,68.1,0,0.0,4,16.0
7,8.0,8.0,8.0,9.0,2017-11-05,TEN,,BAL,"W, 23-20",*,1,0,0,,0,0.0,0.0,30,57.7,0,0.0,4,13.8
8,9.0,9.0,9.0,10.0,2017-11-12,TEN,,CIN,"W, 24-20",*,5,2,20,10.0,0,40.0,4.0,47,52.2,0,0.0,8,27.6
9,10.0,10.0,10.0,11.0,2017-11-16,TEN,@,PIT,"L, 17-40",,1,0,0,,0,0.0,0.0,38,58.5,0,0.0,11,35.5
10,11.0,11.0,11.0,12.0,2017-11-26,TEN,@,IND,"W, 20-16",*,0,0,0,,0,,,34,58.6,0,0.0,6,22.2
11,12.0,12.0,12.0,13.0,2017-12-03,TEN,,HOU,"W, 24-13",*,1,0,0,,0,0.0,0.0,35,64.8,0,0.0,4,15.4
12,13.0,13.0,13.0,14.0,2017-12-10,TEN,@,ARI,"L, 7-12",*,0,0,0,,0,,,28,46.7,0,0.0,6,22.2
13,14.0,14.0,14.0,15.0,2017-12-17,TEN,@,SFO,"L, 23-25",,1,1,5,5.0,0,100.0,5.0,16,25.4,0,0.0,7,25.0
14,15.0,15.0,15.0,16.0,2017-12-24,TEN,,LAR,"L, 23-27",*,2,1,13,13.0,0,50.0,6.5,25,36.8,0,0.0,5,16.1
15,16.0,16.0,16.0,17.0,2017-12-31,TEN,,JAX,"W, 15-10",*,3,3,12,4.0,0,100.0,4.0,41,63.1,0,0.0,3,9.7
16,,,,,,,,,9-7,,30,18,157,8.7,2,60.0,5.2,552,54.0,0,0.0,99,20.9
