,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,46.0,1.0,1.0,2020-09-14,TEN,@,DEN,"W, 16-14",*,7,4,36,9.0,1,57.1,5.1,0,0,0,,59,72.8,0,0.0,0,0.0
1,2.0,47.0,2.0,2.0,2020-09-20,TEN,,JAX,"W, 33-30",*,5,4,84,21.0,2,80.0,16.8,0,0,0,,54,87.1,0,0.0,0,0.0
2,3.0,48.0,3.0,3.0,2020-09-27,TEN,@,MIN,"W, 31-30",*,8,5,61,12.2,0,62.5,7.6,0,0,0,,66,88.0,0,0.0,0,0.0
3,4.0,49.0,4.0,5.0,2020-10-13,TEN,,BUF,"W, 42-16",*,7,5,40,8.0,2,71.4,5.7,0,0,0,,57,86.4,0,0.0,6,24.0
4,5.0,50.0,5.0,6.0,2020-10-18,TEN,,HOU,"W, 42-36 (OT)",*,2,1,13,13.0,0,50.0,6.5,0,0,0,,29,38.7,0,0.0,0,0.0
5,6.0,51.0,6.0,7.0,2020-10-25,TEN,,PIT,"L, 24-27",*,4,1,9,9.0,0,25.0,2.3,0,0,0,,40,70.2,0,0.0,0,0.0
6,7.0,52.0,7.0,8.0,2020-11-01,TEN,@,CIN,"L, 20-31",*,2,2,29,14.5,0,100.0,14.5,0,0,0,,50,79.4,0,0.0,0,0.0
7,8.0,53.0,8.0,9.0,2020-11-08,TEN,,CHI,"W, 24-17",*,2,2,32,16.0,1,100.0,16.0,0,0,0,,52,94.5,0,0.0,3,9.1
8,9.0,54.0,9.0,10.0,2020-11-12,TEN,,IND,"L, 17-34",*,6,2,14,7.0,0,33.3,2.3,1,1,1,1.0,47,72.3,0,0.0,0,0.0
9,10.0,55.0,10.0,11.0,2020-11-22,TEN,@,BAL,"W, 30-24 (OT)",*,6,4,20,5.0,1,66.7,3.3,0,0,0,,52,74.3,0,0.0,0,0.0
10,11.0,56.0,11.0,12.0,2020-11-29,TEN,@,IND,"W, 45-26",,0,0,0,,0,,,0,0,0,,54,75.0,0,0.0,2,6.3
11,11.0,,12.0,13.0,2020-12-06,TEN,,CLE,"L, 35-41",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,12.0,57.0,13.0,14.0,2020-12-13,TEN,@,JAX,"W, 31-10",*,2,2,20,10.0,0,100.0,10.0,1,3,0,3.0,41,62.1,0,0.0,0,0.0
13,13.0,58.0,14.0,15.0,2020-12-20,TEN,,DET,"W, 46-25",*,5,5,52,10.4,0,100.0,10.4,0,0,0,,63,92.6,0,0.0,1,3.8
14,14.0,59.0,15.0,16.0,2020-12-27,TEN,@,GNB,"L, 14-40",*,7,3,30,10.0,1,42.9,4.3,0,0,0,,40,72.7,0,0.0,0,0.0
15,15.0,60.0,16.0,17.0,2021-01-03,TEN,@,HOU,"W, 41-38",*,2,1,8,8.0,0,50.0,4.0,0,0,0,,41,57.7,0,0.0,0,0.0
16,,,,,,,,,11-4,,65,41,448,10.9,8,63.1,6.9,2,4,1,2.0,745,74.4,0,0.0,12,2.9
