,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,61.0,1.0,1.0,2021-09-12,NWE,,MIA,"L, 16-17",*,5,5,42,8.4,0,100.0,8.4,1,6,0,6.0,1,0,0,1,0,0,55,73.3,0,0.0,0,0.0
1,2.0,62.0,2.0,2.0,2021-09-19,NWE,@,NYJ,"W, 25-6",,5,4,28,7.0,0,80.0,5.6,0,0,0,,0,0,0,0,0,0,29,49.2,0,0.0,1,4.0
2,3.0,63.0,3.0,3.0,2021-09-26,NWE,,NOR,"L, 13-28",*,6,1,4,4.0,0,16.7,0.7,0,0,0,,0,0,0,0,0,0,30,41.7,0,0.0,0,0.0
3,4.0,64.0,4.0,4.0,2021-10-03,NWE,,TAM,"L, 17-19",,5,3,14,4.7,1,60.0,2.8,0,0,0,,0,0,0,0,0,0,28,47.5,0,0.0,0,0.0
4,5.0,65.0,5.0,5.0,2021-10-10,NWE,@,HOU,"W, 25-22",*,2,2,27,13.5,0,100.0,13.5,1,5,0,5.0,0,0,0,0,0,0,40,62.5,0,0.0,0,0.0
5,6.0,66.0,6.0,6.0,2021-10-17,NWE,,DAL,"L, 29-35 (OT)",*,2,1,9,9.0,0,50.0,4.5,0,0,0,,0,0,0,0,0,0,39,72.2,0,0.0,0,0.0
6,7.0,67.0,7.0,7.0,2021-10-24,NWE,,NYJ,"W, 54-13",*,5,2,52,26.0,0,40.0,10.4,1,5,0,5.0,0,0,0,0,0,0,17,22.4,0,0.0,0,0.0
7,8.0,68.0,8.0,8.0,2021-10-31,NWE,@,LAC,"W, 27-24",*,2,2,13,6.5,0,100.0,6.5,0,0,0,,0,0,0,0,0,0,49,63.6,0,0.0,0,0.0
8,9.0,69.0,9.0,9.0,2021-11-07,NWE,@,CAR,"W, 24-6",*,2,1,4,4.0,0,50.0,2.0,1,4,0,4.0,0,0,0,0,0,0,28,45.2,0,0.0,0,0.0
9,9.0,,10.0,10.0,2021-11-14,NWE,,CLE,"W, 45-7",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,10.0,70.0,11.0,11.0,2021-11-18,NWE,@,ATL,"W, 25-0",*,2,1,17,17.0,0,50.0,8.5,0,0,0,,0,0,0,0,0,0,33,51.6,0,0.0,0,0.0
11,11.0,71.0,12.0,12.0,2021-11-28,NWE,,TEN,"W, 36-13",*,4,3,49,16.3,0,75.0,12.3,1,9,0,9.0,0,0,0,0,0,0,34,56.7,0,0.0,3,10.7
12,12.0,72.0,13.0,13.0,2021-12-06,NWE,@,BUF,"W, 14-10",*,1,1,12,12.0,0,100.0,12.0,1,-1,0,-1.0,0,0,0,0,0,0,39,76.5,0,0.0,0,0.0
13,13.0,73.0,14.0,15.0,2021-12-18,NWE,@,IND,"L, 17-27",,3,1,3,3.0,0,33.3,1.0,1,2,0,2.0,0,0,0,1,0,0,17,25.0,0,0.0,0,0.0
14,14.0,74.0,15.0,16.0,2021-12-26,NWE,,BUF,"L, 21-33",*,0,0,0,,0,,,0,0,0,,0,0,0,0,0,0,21,32.8,0,0.0,6,27.3
15,15.0,75.0,16.0,17.0,2022-01-02,NWE,,JAX,"W, 50-10",,1,1,20,20.0,0,100.0,20.0,1,5,0,5.0,0,0,0,0,0,0,42,58.3,0,0.0,0,0.0
16,16.0,76.0,17.0,18.0,2022-01-09,NWE,@,MIA,"L, 24-33",,0,0,0,,0,,,1,5,0,5.0,0,0,0,0,0,0,25,40.3,0,0.0,0,0.0
17,,,,,,,,,9-7,,45,28,294,10.5,1,62.2,6.5,9,40,0,4.4,1,0,0,2,0,0,526,50.6,0,0.0,10,2.4
