,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,18.0,1.0,1.0,2024-09-08,MIN,@,NYG,"W, 28-6",*,4,3,35,11.7,0,75.0,8.8,0,0,0,,28,50.9,0,0.0,0,0.0
1,1.0,,2.0,2.0,2024-09-15,MIN,,SFO,"W, 23-17",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,1.0,,3.0,3.0,2024-09-22,MIN,,HOU,"W, 34-7",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2.0,19.0,4.0,4.0,2024-09-29,MIN,@,GNB,"W, 31-29",*,4,3,72,24.0,1,75.0,18.0,1,7,1,7.0,45,66.2,0,0.0,1,3.4
4,3.0,20.0,5.0,5.0,2024-10-06,MIN,,NYJ,"W, 23-17",*,8,3,36,12.0,0,37.5,4.5,0,0,0,,65,89.0,0,0.0,0,0.0
5,4.0,21.0,6.0,7.0,2024-10-20,MIN,,DET,"L, 29-31",*,4,3,66,22.0,0,75.0,16.5,0,0,0,,51,85.0,0,0.0,0,0.0
6,5.0,22.0,7.0,8.0,2024-10-24,MIN,@,LAR,"L, 20-30",*,3,2,22,11.0,0,66.7,7.3,0,0,0,,46,92.0,0,0.0,0,0.0
7,6.0,23.0,8.0,9.0,2024-11-03,MIN,,IND,"W, 21-13",*,5,5,42,8.4,1,100.0,8.4,1,9,0,9.0,67,91.8,0,0.0,0,0.0
8,7.0,24.0,9.0,10.0,2024-11-10,MIN,@,JAX,"W, 12-7",*,5,2,25,12.5,0,40.0,5.0,1,4,0,4.0,62,73.8,0,0.0,0,0.0
9,8.0,25.0,10.0,11.0,2024-11-17,MIN,@,TEN,"W, 23-13",*,8,3,61,20.3,1,37.5,7.6,0,0,0,,44,60.3,0,0.0,0,0.0
10,9.0,26.0,11.0,12.0,2024-11-24,MIN,@,CHI,"W, 30-27 (OT)",*,9,8,162,20.3,1,88.9,18.0,0,0,0,,67,94.4,0,0.0,0,0.0
11,10.0,27.0,12.0,13.0,2024-12-01,MIN,,ARI,"W, 23-22",*,6,4,54,13.5,0,66.7,9.0,0,0,0,,50,94.3,0,0.0,0,0.0
12,11.0,28.0,13.0,14.0,2024-12-08,MIN,,ATL,"W, 42-21",*,12,8,133,16.6,3,66.7,11.1,0,0,0,,45,75.0,0,0.0,0,0.0
13,12.0,29.0,14.0,15.0,2024-12-16,MIN,,CHI,"W, 30-12",*,9,7,63,9.0,0,77.8,7.0,0,0,0,,66,85.7,0,0.0,0,0.0
14,13.0,30.0,15.0,16.0,2024-12-22,MIN,@,SEA,"W, 27-24",*,8,5,35,7.0,1,62.5,4.4,0,0,0,,59,89.4,0,0.0,0,0.0
15,14.0,31.0,16.0,17.0,2024-12-29,MIN,,GNB,"W, 27-25",*,8,6,69,11.5,1,75.0,8.6,0,0,0,,65,90.3,0,0.0,0,0.0
16,15.0,32.0,17.0,18.0,2025-01-05,MIN,@,DET,"L, 9-31",*,6,1,0,0.0,0,16.7,0.0,0,0,0,,58,89.2,0,0.0,0,0.0
17,,,,,,,,,12-3,,99,63,875,13.9,9,63.6,8.8,3,20,1,6.7,818,81.8,0,0.0,1,0.2
