,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Tgt,Rec,Yds.3,Y/R,TD.2,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,29.0,1.0,1.0,2020-09-13,BUF,,NYJ,"W, 27-17",*,33,46,71.7,312,2,0,6.8,7.65,104.6,3,6,14,57,1,4.1,0,0,0,,0,,,2,2,0,0,0,0,87,100.0,0,0.0,0,0.0
1,2.0,30.0,2.0,2.0,2020-09-20,BUF,@,MIA,"W, 31-28",*,24,35,68.6,415,4,0,11.9,14.14,146.7,1,4,4,19,0,4.8,0,0,0,,0,,,0,0,0,0,0,0,61,100.0,0,0.0,0,0.0
2,3.0,31.0,3.0,3.0,2020-09-27,BUF,,LAR,"W, 35-32",*,24,33,72.7,311,4,1,9.4,10.48,128.9,4,37,4,8,1,2.0,0,0,0,,0,,,1,1,0,0,0,0,62,100.0,0,0.0,0,0.0
3,4.0,32.0,4.0,4.0,2020-10-04,BUF,@,LVR,"W, 30-23",*,24,34,70.6,288,2,0,8.5,9.65,115.8,1,14,3,-1,1,-0.3,0,0,0,,0,,,0,0,0,0,0,0,61,100.0,0,0.0,0,0.0
4,5.0,33.0,5.0,5.0,2020-10-13,BUF,@,TEN,"L, 16-42",*,26,41,63.4,263,2,2,6.4,5.2,77.6,1,10,4,18,0,4.5,0,0,0,,0,,,0,0,0,0,0,0,65,90.3,0,0.0,0,0.0
5,6.0,34.0,6.0,6.0,2020-10-19,BUF,,KAN,"L, 17-26",*,14,27,51.9,122,2,1,4.5,4.33,73.4,0,0,8,42,0,5.3,0,0,0,,0,,,0,0,0,0,0,0,53,100.0,0,0.0,0,0.0
6,7.0,35.0,7.0,7.0,2020-10-25,BUF,@,NYJ,"W, 18-10",*,30,43,69.8,307,0,0,7.1,7.14,90.0,2,11,11,61,0,5.5,0,0,0,,0,,,1,1,0,0,0,0,74,100.0,0,0.0,0,0.0
7,8.0,36.0,8.0,8.0,2020-11-01,BUF,,NWE,"W, 24-21",*,11,18,61.1,154,0,1,8.6,6.06,65.5,1,5,10,23,1,2.3,0,0,0,,0,,,0,0,0,0,0,0,58,100.0,0,0.0,0,0.0
8,9.0,37.0,9.0,9.0,2020-11-08,BUF,,SEA,"W, 44-34",*,31,38,81.6,415,3,0,10.9,12.5,138.5,7,29,7,14,1,2.0,0,0,0,,0,,,0,0,0,0,0,0,68,100.0,0,0.0,0,0.0
9,10.0,38.0,10.0,10.0,2020-11-15,BUF,@,ARI,"L, 30-32",*,32,49,65.3,284,2,2,5.8,4.78,77.3,0,0,7,38,0,5.4,1,1,12,12.0,1,100.0,12.0,0,0,0,0,0,0,73,100.0,0,0.0,0,0.0
10,11.0,39.0,11.0,12.0,2020-11-29,BUF,,LAC,"W, 27-17",*,18,24,75.0,157,1,1,6.5,5.5,88.4,2,10,9,32,1,3.6,0,0,0,,0,,,1,1,0,0,-2,0,61,98.4,0,0.0,0,0.0
11,12.0,40.0,12.0,13.0,2020-12-07,BUF,@,SFO,"W, 34-24",*,32,40,80.0,375,4,0,9.4,11.38,139.1,1,7,6,11,0,1.8,0,0,0,,0,,,2,1,0,0,0,0,73,100.0,0,0.0,0,0.0
12,13.0,41.0,13.0,14.0,2020-12-13,BUF,,PIT,"W, 26-15",*,24,43,55.8,238,2,1,5.5,5.42,77.5,1,8,6,28,0,4.7,0,0,0,,0,,,1,0,0,0,0,0,75,100.0,0,0.0,0,0.0
13,14.0,42.0,14.0,15.0,2020-12-19,BUF,@,DEN,"W, 48-19",*,28,40,70.0,359,2,0,9.0,9.98,114.5,1,7,3,33,2,11.0,0,0,0,,0,,,1,0,0,1,0,0,72,98.6,0,0.0,0,0.0
14,15.0,43.0,15.0,16.0,2020-12-28,BUF,@,NWE,"W, 38-9",*,27,36,75.0,320,4,0,8.9,11.11,138.7,0,0,4,35,0,8.8,0,0,0,,0,,,0,0,0,0,0,0,57,79.2,0,0.0,0,0.0
15,16.0,44.0,16.0,17.0,2021-01-03,BUF,,MIA,"W, 56-26",*,18,25,72.0,224,3,1,9.0,9.56,122.3,1,11,2,3,0,1.5,0,0,0,,0,,,0,0,0,0,0,0,35,54.7,0,0.0,0,0.0
16,,,,,,,,,13-3,,396,572,69.2,4544,37,10,7.9,8.45,107.2,26,159,102,421,8,4.1,1,1,12,12.0,1,100.0,12.0,9,6,0,1,-2,0,1035,95.1,0,0.0,0,0.0
