,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,KRTD,Y/Ret,Ret.1,Yds.2,PRTD,Y/Ret.1,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2023-09-10,IND,,JAX,"L, 21-31",*,7,3,30,10.0,0,42.9,4.3,0,0,0,,0,0,0,,57,79.2,0,0.0,0,0.0
1,2.0,2.0,2.0,2.0,2023-09-17,IND,@,HOU,"W, 31-20",,5,4,37,9.3,0,80.0,7.4,0,0,0,,0,0,0,,43,75.4,0,0.0,0,0.0
2,3.0,3.0,3.0,3.0,2023-09-24,IND,@,BAL,"W, 22-19 (OT)",*,12,8,57,7.1,0,66.7,4.8,0,0,0,,0,0,0,,67,79.8,0,0.0,0,0.0
3,4.0,4.0,4.0,4.0,2023-10-01,IND,,LAR,"L, 23-29 (OT)",,3,2,34,17.0,0,66.7,11.3,0,0,0,,0,0,0,,47,73.4,0,0.0,0,0.0
4,5.0,5.0,5.0,5.0,2023-10-08,IND,,TEN,"W, 23-16",*,6,6,97,16.2,0,100.0,16.2,0,0,0,,0,0,0,,47,71.2,0,0.0,0,0.0
5,6.0,6.0,6.0,6.0,2023-10-15,IND,@,JAX,"L, 20-37",*,8,5,21,4.2,1,62.5,2.6,0,0,0,,0,0,0,,61,78.2,0,0.0,0,0.0
6,7.0,7.0,7.0,7.0,2023-10-22,IND,,CLE,"L, 38-39",*,6,5,125,25.0,1,83.3,20.8,0,0,0,,0,0,0,,50,71.4,0,0.0,0,0.0
7,8.0,8.0,8.0,8.0,2023-10-29,IND,,NOR,"L, 27-38",*,9,7,72,10.3,0,77.8,8.0,0,0,0,,0,0,0,,57,80.3,0,0.0,0,0.0
8,9.0,9.0,9.0,9.0,2023-11-05,IND,@,CAR,"W, 27-13",,1,1,10,10.0,0,100.0,10.0,0,0,0,,0,0,0,,12,19.7,0,0.0,0,0.0
9,10.0,10.0,10.0,10.0,2023-11-12,IND,@,NWE,"W, 10-6",,3,2,40,20.0,0,66.7,13.3,0,0,0,,0,0,0,,14,24.6,0,0.0,0,0.0
10,11.0,11.0,11.0,12.0,2023-11-26,IND,,TAM,"W, 27-20",*,13,5,43,8.6,0,38.5,3.3,0,0,0,,0,0,0,,50,68.5,0,0.0,0,0.0
11,12.0,12.0,12.0,13.0,2023-12-03,IND,@,TEN,"W, 31-28 (OT)",,5,3,14,4.7,0,60.0,2.8,0,0,0,,0,0,0,,48,67.6,0,0.0,0,0.0
12,13.0,13.0,13.0,14.0,2023-12-10,IND,@,CIN,"L, 14-34",,3,3,32,10.7,0,100.0,10.7,0,0,0,,0,0,0,,50,78.1,0,0.0,0,0.0
13,14.0,14.0,14.0,15.0,2023-12-16,IND,,PIT,"W, 30-13",,3,3,19,6.3,0,100.0,6.3,0,0,0,,3,38,0,12.7,39,58.2,0,0.0,7,26.9
14,15.0,15.0,15.0,16.0,2023-12-24,IND,@,ATL,"L, 10-29",,9,6,39,6.5,0,66.7,4.3,0,0,0,,0,0,0,,66,93.0,0,0.0,10,35.7
15,16.0,16.0,16.0,17.0,2023-12-31,IND,,LVR,"W, 23-20",*,2,2,53,26.5,0,100.0,26.5,0,0,0,,0,0,0,,35,62.5,0,0.0,11,36.7
16,17.0,17.0,17.0,18.0,2024-01-06,IND,,HOU,"L, 19-23",*,3,3,48,16.0,0,100.0,16.0,2,24,0,12.0,3,25,0,8.3,45,68.2,0,0.0,12,40.0
17,,,,,,,,,9-8,,98,68,771,11.3,2,69.4,7.9,2,24,0,12.0,6,63,0,10.5,788,68.6,0,0.0,40,8.0
