,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2019,21,OAK,NFL,RB,13.0,13.0,242.0,1150.0,7.0,53.0,49.6,51.0,4.8,88.5,18.6,27.0,20.0,166.0,8.3,0.0,8.0,51.9,28.0,1.5,12.8,74.1,6.1,262.0,5.0,1316.0,7.0,1.0,8.0,AP ORoY-2
1,2020,22,LVR,NFL,RB,15.0,15.0,273.0,1065.0,12.0,61.0,50.2,28.0,3.9,71.0,18.2,45.0,33.0,238.0,7.2,0.0,9.0,46.7,29.0,2.2,15.9,73.3,5.3,306.0,4.3,1303.0,12.0,2.0,8.0,PB
2,2021,23,LVR,NFL,RB,15.0,14.0,217.0,872.0,9.0,45.0,53.0,28.0,4.0,58.1,14.5,64.0,54.0,348.0,6.4,0.0,14.0,51.6,29.0,3.6,23.2,84.4,5.4,271.0,4.5,1220.0,9.0,2.0,7.0,
3,2022,24,LVR,NFL,RB,17.0,17.0,340.0,1653.0,12.0,93.0,57.4,86.0,4.9,97.2,20.0,64.0,53.0,400.0,7.5,0.0,16.0,50.0,43.0,3.1,23.5,82.8,6.3,393.0,5.2,2053.0,12.0,3.0,15.0,"PB,AP-1,AP OPoY-5"
4,2023,25,LVR,NFL,RB,13.0,13.0,233.0,805.0,6.0,34.0,45.9,63.0,3.5,61.9,17.9,54.0,37.0,296.0,8.0,0.0,15.0,55.6,21.0,2.8,22.8,68.5,5.5,270.0,4.1,1101.0,6.0,3.0,6.0,
5,2024,26,GNB,NFL,RB,17.0,17.0,301.0,1329.0,15.0,73.0,52.2,38.0,4.4,78.2,17.7,43.0,36.0,342.0,9.5,1.0,15.0,53.5,49.0,2.1,20.1,83.7,8.0,337.0,5.0,1671.0,16.0,4.0,12.0,"PB,AP OPoY-11"
6,2025,27,GNB,NFL,RB,3.0,3.0,58.0,180.0,2.0,9.0,43.1,15.0,3.1,60.0,19.3,10.0,6.0,48.0,8.0,0.0,2.0,30.0,31.0,2.0,16.0,60.0,4.8,64.0,3.6,228.0,2.0,1.0,,
7,7 Yrs,7 Yrs,7 Yrs,7 Yrs,,93.0,92.0,1664.0,7054.0,63.0,368.0,51.4,86.0,4.2,75.8,17.9,307.0,239.0,1838.0,7.7,1.0,79.0,50.8,49.0,2.6,19.8,77.9,6.0,1903.0,4.7,8892.0,64.0,16.0,56.0,
8,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,17.0,304.0,1289.0,12.0,67.0,51.4,86.0,4.2,75.8,17.9,56.0,44.0,336.0,7.7,0.0,14.0,50.8,49.0,2.6,19.8,77.9,6.0,348.0,4.7,1625.0,12.0,3.0,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,OAK (5 Yrs),OAK (5 Yrs),OAK (5 Yrs),OAK (5 Yrs),,73.0,72.0,1305.0,5545.0,46.0,286.0,51.6,86.0,4.2,76.0,17.9,254.0,197.0,1448.0,7.4,0.0,62.0,51.2,43.0,2.7,19.8,77.6,5.7,1502.0,4.7,6993.0,46.0,11.0,44.0,
11,GNB (2 Yrs),GNB (2 Yrs),GNB (2 Yrs),GNB (2 Yrs),,20.0,20.0,359.0,1509.0,17.0,82.0,50.7,38.0,4.2,75.5,18.0,53.0,42.0,390.0,9.3,1.0,17.0,49.1,49.0,2.1,19.5,79.2,7.4,401.0,4.7,1899.0,18.0,5.0,12.0,
