,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2019-09-09,OAK,,DEN,"W, 24-16",*,23,85,2,3.7,1,1,28,28.0,0,100.0,28.0,0,0,0,0,0,0,40,72.7,0,0.0,0,0.0
1,2.0,2.0,2.0,2.0,2019-09-15,OAK,,KAN,"L, 10-28",*,12,99,0,8.3,0,0,0,,0,,,0,0,0,0,0,0,30,48.4,0,0.0,0,0.0
2,3.0,3.0,3.0,3.0,2019-09-22,OAK,@,MIN,"L, 14-34",*,10,44,0,4.4,2,0,0,,0,0.0,0.0,0,0,0,0,0,0,25,42.4,0,0.0,0,0.0
3,4.0,4.0,4.0,4.0,2019-09-29,OAK,@,IND,"W, 31-24",*,17,79,0,4.6,2,2,29,14.5,0,100.0,14.5,0,0,0,0,0,0,34,53.1,0,0.0,0,0.0
4,5.0,5.0,5.0,5.0,2019-10-06,OAK,,CHI,"W, 24-21",*,26,123,2,4.7,3,3,20,6.7,0,100.0,6.7,0,0,0,0,0,0,49,68.1,0,0.0,0,0.0
5,6.0,6.0,6.0,7.0,2019-10-20,OAK,@,GNB,"L, 24-42",*,21,124,0,5.9,3,3,10,3.3,0,100.0,3.3,0,0,0,0,0,0,37,56.1,0,0.0,0,0.0
6,7.0,7.0,7.0,8.0,2019-10-27,OAK,@,HOU,"L, 24-27",*,15,66,0,4.4,2,2,15,7.5,0,100.0,7.5,0,0,0,0,0,0,30,54.5,0,0.0,0,0.0
7,8.0,8.0,8.0,9.0,2019-11-03,OAK,,DET,"W, 31-24",*,28,120,2,4.3,2,0,0,,0,0.0,0.0,0,0,0,0,0,0,42,60.0,0,0.0,0,0.0
8,9.0,9.0,9.0,10.0,2019-11-07,OAK,,LAC,"W, 26-24",*,16,71,1,4.4,5,3,30,10.0,0,60.0,6.0,0,0,0,0,0,0,30,51.7,0,0.0,0,0.0
9,10.0,10.0,10.0,11.0,2019-11-17,OAK,,CIN,"W, 17-10",*,23,112,0,4.9,3,3,12,4.0,0,100.0,4.0,1,1,0,0,0,0,43,61.4,0,0.0,0,0.0
10,11.0,11.0,11.0,12.0,2019-11-24,OAK,@,NYJ,"L, 3-34",*,10,34,0,3.4,1,1,2,2.0,0,100.0,2.0,0,0,0,0,0,0,23,39.7,0,0.0,0,0.0
11,12.0,12.0,12.0,13.0,2019-12-01,OAK,@,KAN,"L, 9-40",*,17,104,0,6.1,0,0,0,,0,,,0,0,0,1,0,0,34,57.6,0,0.0,0,0.0
12,12.0,,13.0,14.0,2019-12-08,OAK,,TEN,"L, 21-42",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,13.0,13.0,14.0,15.0,2019-12-15,OAK,,JAX,"L, 16-20",*,24,89,0,3.7,3,2,20,10.0,0,66.7,6.7,0,0,0,0,0,0,43,57.3,0,0.0,0,0.0
14,13.0,,15.0,16.0,2019-12-22,OAK,@,LAC,"W, 24-17",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,13.0,,16.0,17.0,2019-12-29,OAK,@,DEN,"L, 15-16",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,,,,,,,,,6-7,,242,1150,7,4.8,27,20,166,8.3,0,74.1,6.1,1,1,0,1,0,0,460,55.9,0,0.0,0,0.0
