,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2017,22,LAR,NFL,WR,16.0,1.0,24.0,11.0,104.0,9.5,1.0,8.0,33.3,28.0,0.7,6.5,45.8,4.3,0.0,0.0,0.0,0.0,,,,0.0,0.0,11.0,9.5,104.0,1.0,0.0,1.0,
1,2018,23,LAR,NFL,WR,16.0,8.0,53.0,29.0,402.0,13.9,5.0,23.0,47.2,33.0,1.8,25.1,54.7,7.6,2.0,8.0,0.0,1.0,50.0,10.0,4.0,0.5,0.1,31.0,13.2,410.0,5.0,0.0,4.0,
2,2019,24,LAR,NFL,WR,16.0,2.0,43.0,21.0,326.0,15.5,1.0,15.0,41.9,31.0,1.3,20.4,48.8,7.6,5.0,23.0,0.0,2.0,60.0,12.0,4.6,1.4,0.3,26.0,13.4,349.0,1.0,0.0,3.0,
3,2020,25,LAR,NFL,WR,16.0,13.0,81.0,52.0,618.0,11.9,2.0,31.0,56.8,40.0,3.3,38.6,64.2,7.6,1.0,5.0,0.0,0.0,100.0,5.0,5.0,0.3,0.1,53.0,11.8,623.0,2.0,2.0,4.0,
4,2021,26,2TM,NFL,WR,12.0,5.0,49.0,29.0,396.0,13.7,2.0,21.0,53.1,39.0,2.4,33.0,59.2,8.1,0.0,0.0,0.0,0.0,,,,0.0,0.0,29.0,13.7,396.0,2.0,0.0,4.0,
5,2021,26,TEN,NFL,WR,5.0,0.0,13.0,10.0,90.0,9.0,0.0,6.0,69.2,12.0,2.0,18.0,76.9,6.9,0.0,0.0,0.0,0.0,,,,0.0,0.0,10.0,9.0,90.0,0.0,0.0,1.0,
6,2021,26,DET,NFL,WR,7.0,5.0,36.0,19.0,306.0,16.1,2.0,15.0,47.2,39.0,2.7,43.7,52.8,8.5,0.0,0.0,0.0,0.0,,,,0.0,0.0,19.0,16.1,306.0,2.0,0.0,3.0,
7,2022,27,DET,NFL,WR,14.0,11.0,59.0,38.0,479.0,12.6,3.0,25.0,61.0,31.0,2.7,34.2,64.4,8.1,0.0,0.0,0.0,0.0,,,,0.0,0.0,38.0,12.6,479.0,3.0,0.0,5.0,
8,2023,28,DET,NFL,WR,17.0,13.0,64.0,40.0,608.0,15.2,5.0,32.0,56.3,33.0,2.4,35.8,62.5,9.5,0.0,0.0,0.0,0.0,,,,0.0,0.0,40.0,15.2,608.0,5.0,1.0,6.0,
9,2024,29,2TM,NFL,WR,9.0,2.0,24.0,13.0,194.0,14.9,1.0,8.0,45.8,49.0,1.4,21.6,54.2,8.1,0.0,0.0,0.0,0.0,,,,0.0,0.0,13.0,14.9,194.0,1.0,0.0,2.0,
