,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,49.0,1.0,1.0,2020-09-13,LAR,,DAL,"W, 20-17",*,1,1,17,17.0,0,100.0,17.0,0,0,0,,0,0,0,0,0,0,37,50.7,0,0.0,1,3.8
1,2.0,50.0,2.0,2.0,2020-09-20,LAR,@,PHI,"W, 37-19",*,2,2,33,16.5,0,100.0,16.5,0,0,0,,0,0,0,0,0,0,42,60.9,0,0.0,1,4.0
2,3.0,51.0,3.0,3.0,2020-09-27,LAR,@,BUF,"L, 32-35",*,5,4,60,15.0,0,80.0,12.0,0,0,0,,1,1,0,2,-2,0,62,89.9,0,0.0,0,0.0
3,4.0,52.0,4.0,4.0,2020-10-04,LAR,,NYG,"W, 17-9",,4,3,25,8.3,0,75.0,6.3,0,0,0,,1,0,0,0,0,0,30,52.6,0,0.0,0,0.0
4,5.0,53.0,5.0,5.0,2020-10-11,LAR,@,WAS,"W, 30-10",*,4,2,46,23.0,0,50.0,11.5,0,0,0,,0,0,0,0,0,0,49,72.1,0,0.0,1,3.2
5,6.0,54.0,6.0,6.0,2020-10-18,LAR,@,SFO,"L, 16-24",*,5,2,45,22.5,1,40.0,9.0,0,0,0,,0,0,0,0,0,0,50,83.3,0,0.0,0,0.0
6,7.0,55.0,7.0,7.0,2020-10-26,LAR,,CHI,"W, 24-10",,8,4,52,13.0,1,50.0,6.5,0,0,0,,0,0,0,0,0,0,53,73.6,0,0.0,0,0.0
7,8.0,56.0,8.0,8.0,2020-11-01,LAR,@,MIA,"L, 17-28",*,9,4,44,11.0,0,44.4,4.9,0,0,0,,0,0,0,0,0,0,77,81.1,0,0.0,1,3.0
8,9.0,57.0,9.0,10.0,2020-11-15,LAR,,SEA,"W, 23-16",*,10,8,94,11.8,0,80.0,9.4,0,0,0,,0,0,0,0,0,0,56,80.0,0,0.0,0,0.0
9,10.0,58.0,10.0,11.0,2020-11-23,LAR,@,TAM,"W, 27-24",*,6,3,32,10.7,0,50.0,5.3,0,0,0,,0,0,0,0,0,0,65,90.3,0,0.0,0,0.0
10,11.0,59.0,11.0,12.0,2020-11-29,LAR,,SFO,"L, 20-23",*,6,5,40,8.0,0,83.3,6.7,0,0,0,,0,0,0,0,0,0,61,98.4,0,0.0,0,0.0
11,12.0,60.0,12.0,13.0,2020-12-06,LAR,@,ARI,"W, 38-28",*,1,1,21,21.0,0,100.0,21.0,0,0,0,,0,0,0,0,0,0,37,45.1,0,0.0,0,0.0
12,13.0,61.0,13.0,14.0,2020-12-10,LAR,,NWE,"W, 24-3",*,2,1,6,6.0,0,50.0,3.0,0,0,0,,0,0,0,0,0,0,35,55.6,0,0.0,1,4.2
13,14.0,62.0,14.0,15.0,2020-12-20,LAR,,NYJ,"L, 20-23",*,2,2,9,4.5,0,100.0,4.5,0,0,0,,0,0,0,0,0,0,45,76.3,0,0.0,0,0.0
14,15.0,63.0,15.0,16.0,2020-12-27,LAR,@,SEA,"L, 9-20",,10,6,65,10.8,0,60.0,6.5,1,5,0,5.0,0,0,0,0,0,0,48,64.0,0,0.0,0,0.0
15,16.0,64.0,16.0,17.0,2021-01-03,LAR,,ARI,"W, 18-7",*,6,4,29,7.3,0,66.7,4.8,0,0,0,,0,0,0,0,0,0,55,75.3,0,0.0,0,0.0
16,,,,,,,,,10-6,,81,52,618,11.9,2,64.2,7.6,1,5,0,5.0,2,1,0,2,-2,0,802,71.7,0,0.0,5,1.1
