,Season,Age,Team,Lg,Pos,G,GS,Cmp,Att,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Plays,Yds,PassAtt,PassYds,RushAtt,RushYds,PassAtt.1,PassYds.1,Awards
0,2018,23,PIT,NFL,QB,5.0,0.0,6.0,12.0,59.0,4.9,24.0,4.0,2.0,19.0,3.2,0.0,0.0,0.0,0.0,0.0,2.0,16.7,,,2.5,2.0,1.0,1.0,2.0,14.3,2.0,7.5,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2020,25,PIT,NFL,QB,1.0,0.0,4.0,5.0,0.0,0.0,-11.0,-2.8,-2.2,13.0,3.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,100.0,1.5,0.0,0.0,1.0,1.0,20.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2022,27,TEN,NFL,QB,2.0,2.0,40.0,68.0,525.0,7.7,198.0,5.0,2.9,213.0,5.3,2.0,3.0,0.0,3.0,4.6,14.0,21.5,43.0,66.2,2.5,25.0,11.0,16.0,33.0,42.9,3.0,7.7,12.0,94.0,7.0,70.0,4.0,24.0,16.0,125.0,
5,2023,28,2TM,NFL,QB,13.0,12.0,262.0,417.0,3307.0,7.9,1452.0,5.5,3.5,1012.0,3.9,9.0,13.0,0.0,15.0,3.7,67.0,16.6,283.0,70.0,2.6,121.0,23.0,58.0,111.0,23.0,36.0,9.2,40.0,355.0,32.0,284.0,7.0,71.0,86.0,485.0,
6,2023,28,ARI,NFL,QB,8.0,8.0,167.0,266.0,2185.0,8.2,911.0,5.5,3.4,658.0,3.9,7.0,6.0,0.0,8.0,3.1,49.0,18.8,174.0,66.9,2.5,72.0,10.0,35.0,62.0,20.9,14.0,13.1,34.0,327.0,27.0,258.0,6.0,69.0,45.0,283.0,
7,2023,28,MIN,NFL,QB,5.0,4.0,95.0,151.0,1122.0,7.4,541.0,5.7,3.6,354.0,3.7,2.0,7.0,0.0,7.0,4.9,18.0,12.5,109.0,75.7,2.7,49.0,13.0,23.0,49.0,26.3,22.0,6.8,6.0,28.0,5.0,26.0,1.0,2.0,41.0,202.0,
8,2024,29,SFO,NFL,QB,2.0,1.0,32.0,47.0,367.0,7.8,260.0,8.1,5.5,101.0,3.2,0.0,0.0,1.0,1.0,2.2,9.0,19.6,34.0,73.9,2.2,10.0,6.0,2.0,10.0,18.9,4.0,5.8,6.0,31.0,3.0,25.0,2.0,6.0,3.0,36.0,
9,5 Yrs,5 Yrs,5 Yrs,5 Yrs,,23.0,15.0,344.0,549.0,4258.0,7.8,1923.0,5.6,3.5,1358.0,3.9,11.0,17.0,1.0,19.0,3.6,92.0,17.3,364.0,68.5,2.3,158.0,41.0,78.0,157.0,24.8,45.0,8.7,58.0,480.0,42.0,379.0,13.0,101.0,105.0,646.0,
10,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,11.0,254.0,406.0,3147.0,7.8,1421.0,5.6,3.5,1004.0,3.9,8.0,13.0,1.0,14.0,3.6,68.0,17.3,,,2.3,117.0,30.0,58.0,116.0,24.8,33.0,8.7,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PIT (2 Yrs),PIT (2 Yrs),PIT (2 Yrs),PIT (2 Yrs),,6.0,0.0,10.0,17.0,59.0,3.5,13.0,1.3,0.8,32.0,3.2,0.0,1.0,0.0,0.0,0.0,2.0,12.5,4.0,25.0,2.0,2.0,1.0,2.0,3.0,15.8,2.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13,ARI (1 Yr),ARI (1 Yr),ARI (1 Yr),ARI (1 Yr),,8.0,8.0,167.0,266.0,2185.0,8.2,911.0,5.5,3.4,658.0,3.9,7.0,6.0,0.0,8.0,3.1,49.0,18.8,174.0,66.9,2.5,72.0,10.0,35.0,62.0,20.9,14.0,13.1,34.0,327.0,27.0,258.0,6.0,69.0,45.0,283.0,
14,MIN (1 Yr),MIN (1 Yr),MIN (1 Yr),MIN (1 Yr),,5.0,4.0,95.0,151.0,1122.0,7.4,541.0,5.7,3.6,354.0,3.7,2.0,7.0,0.0,7.0,4.9,18.0,12.5,109.0,75.7,2.7,49.0,13.0,23.0,49.0,26.3,22.0,6.8,6.0,28.0,5.0,26.0,1.0,2.0,41.0,202.0,
15,TEN (1 Yr),TEN (1 Yr),TEN (1 Yr),TEN (1 Yr),,2.0,2.0,40.0,68.0,525.0,7.7,198.0,5.0,2.9,213.0,5.3,2.0,3.0,0.0,3.0,4.6,14.0,21.5,43.0,66.2,2.5,25.0,11.0,16.0,33.0,42.9,3.0,7.7,12.0,94.0,7.0,70.0,4.0,24.0,16.0,125.0,
16,SFO (1 Yr),SFO (1 Yr),SFO (1 Yr),SFO (1 Yr),,2.0,1.0,32.0,47.0,367.0,7.8,260.0,8.1,5.5,101.0,3.2,0.0,0.0,1.0,1.0,2.2,9.0,19.6,34.0,73.9,2.2,10.0,6.0,2.0,10.0,18.9,4.0,5.8,6.0,31.0,3.0,25.0,2.0,6.0,3.0,36.0,
