,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,59.0,1.0,1.0,2021-09-12,PIT,@,BUF,"W, 23-16",*,8,4,52,13.0,0,50.0,6.5,0,0,0,,53,91.4,0,0.0,1,3.4
1,2.0,60.0,2.0,2.0,2021-09-19,PIT,,LVR,"L, 17-26",*,7,6,41,6.8,0,85.7,5.9,1,3,1,3.0,54,96.4,0,0.0,0,0.0
2,3.0,61.0,3.0,3.0,2021-09-26,PIT,,CIN,"L, 10-24",*,4,3,25,8.3,0,75.0,6.3,0,0,0,,33,39.8,0,0.0,0,0.0
3,4.0,62.0,4.0,4.0,2021-10-03,PIT,@,GNB,"L, 17-27",*,8,2,11,5.5,0,25.0,1.4,0,0,0,,57,95.0,0,0.0,0,0.0
4,5.0,63.0,5.0,5.0,2021-10-10,PIT,,DEN,"W, 27-19",*,1,0,0,,0,0.0,0.0,2,6,0,3.0,25,38.5,0,0.0,0,0.0
5,5.0,,6.0,6.0,2021-10-17,PIT,,SEA,"W, 23-20 (OT)",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,5.0,,7.0,8.0,2021-10-31,PIT,@,CLE,"W, 15-10",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,5.0,,8.0,9.0,2021-11-08,PIT,,CHI,"W, 29-27",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,5.0,,9.0,10.0,2021-11-14,PIT,,DET,"T, 16-16 (OT)",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,5.0,,10.0,11.0,2021-11-21,PIT,@,LAC,"L, 37-41",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,5.0,,11.0,12.0,2021-11-28,PIT,@,CIN,"L, 10-41",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,5.0,,12.0,13.0,2021-12-05,PIT,,BAL,"W, 20-19",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,5.0,,13.0,14.0,2021-12-09,PIT,@,MIN,"L, 28-36",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,5.0,,14.0,15.0,2021-12-19,PIT,,TEN,"W, 19-13",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,5.0,,15.0,16.0,2021-12-26,PIT,@,KAN,"L, 10-36",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,5.0,,16.0,17.0,2022-01-03,PIT,,CLE,"W, 26-14",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,5.0,,17.0,18.0,2022-01-09,PIT,@,BAL,"W, 16-13 (OT)",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,,,,,,,,,2-3,,28,15,129,8.6,0,53.6,4.6,3,9,1,3.0,222,68.9,0,0.0,1,0.8
