,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.1,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,64.0,1.0,1.0,2022-09-11,KAN,@,ARI,"W, 44-21",*,8,6,79,13.2,0,75.0,9.9,0.0,0,0,0,0,0,0,2,1,0,0,0,0,46,65.7,0,0.0,0,0.0
1,2.0,65.0,2.0,2.0,2022-09-15,KAN,,LAC,"W, 27-24",*,3,3,10,3.3,0,100.0,3.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,42,73.7,0,0.0,0,0.0
2,3.0,66.0,3.0,3.0,2022-09-25,KAN,@,IND,"L, 17-20",*,8,5,89,17.8,0,62.5,11.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,44,69.8,0,0.0,0,0.0
3,4.0,67.0,4.0,4.0,2022-10-02,KAN,@,TAM,"W, 41-31",*,8,5,46,9.2,0,62.5,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,50,62.5,0,0.0,0,0.0
4,5.0,68.0,5.0,5.0,2022-10-10,KAN,,LVR,"W, 30-29",*,8,3,33,11.0,0,37.5,4.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,62,86.1,0,0.0,0,0.0
5,6.0,69.0,6.0,6.0,2022-10-16,KAN,,BUF,"L, 20-24",*,5,5,113,22.6,1,100.0,22.6,0.0,1,1,0,0,0,0,0,0,0,0,0,0,59,88.1,0,0.0,0,0.0
6,7.0,70.0,7.0,7.0,2022-10-23,KAN,@,SFO,"W, 44-23",*,8,7,124,17.7,1,87.5,15.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,35,54.7,0,0.0,0,0.0
7,8.0,71.0,8.0,9.0,2022-11-06,KAN,,TEN,"W, 20-17 (OT)",*,12,10,88,8.8,0,83.3,7.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,83,83.0,0,0.0,0,0.0
8,9.0,72.0,9.0,10.0,2022-11-13,KAN,,JAX,"W, 27-17",*,4,2,33,16.5,0,50.0,8.3,0.0,1,0,1,0,0,0,0,0,0,0,0,0,24,38.1,0,0.0,0,0.0
9,9.0,,10.0,11.0,2022-11-20,KAN,@,LAC,"W, 30-27",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,10.0,73.0,11.0,12.0,2022-11-27,KAN,,LAR,"W, 26-10",,3,3,38,12.7,0,100.0,12.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,29,38.2,0,0.0,0,0.0
11,11.0,74.0,12.0,13.0,2022-12-04,KAN,@,CIN,"L, 24-27",*,4,3,35,11.7,0,75.0,8.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,42,76.4,0,0.0,0,0.0
12,12.0,75.0,13.0,14.0,2022-12-11,KAN,@,DEN,"W, 34-28",*,11,9,74,8.2,1,81.8,6.7,0.0,1,1,0,0,0,0,0,0,0,0,0,0,55,80.9,0,0.0,0,0.0
13,13.0,76.0,14.0,15.0,2022-12-18,KAN,@,HOU,"W, 30-24 (OT)",*,10,10,88,8.8,0,100.0,8.8,0.0,1,0,1,0,0,0,1,1,0,0,0,0,68,88.3,0,0.0,0,0.0
14,14.0,77.0,15.0,16.0,2022-12-24,KAN,,SEA,"W, 24-10",,4,3,27,9.0,0,75.0,6.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,44,83.0,0,0.0,0,0.0
15,15.0,78.0,16.0,17.0,2023-01-01,KAN,,DEN,"W, 27-24",*,3,2,21,10.5,0,66.7,7.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,39,65.0,0,0.0,0,0.0
16,16.0,79.0,17.0,18.0,2023-01-07,KAN,@,LVR,"W, 31-13",*,2,2,35,17.5,0,100.0,17.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,43,72.9,0,0.0,0,0.0
17,,,,,,,,,13-3,,101,78,933,12.0,3,77.2,9.2,0.0,4,2,2,0,0,0,3,2,0,0,0,0,765,70.6,0,0.0,0,0.0
