,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Fmb,FL,FF,FR,Yds.2,FRTD
0,1.0,1.0,1.0,1.0,2011-09-11,ATL,@,CHI,"L, 12-30",*,6,5,71,14.2,0,83.3,11.8,0,0,0,,0,0,0,0,0,0
1,2.0,2.0,2.0,2.0,2011-09-18,ATL,,PHI,"W, 35-31",*,8,2,29,14.5,0,25.0,3.6,0,0,0,,0,0,0,0,0,0
2,3.0,3.0,3.0,3.0,2011-09-25,ATL,@,TAM,"L, 13-16",*,7,6,115,19.2,0,85.7,16.4,1,-9,0,-9.0,0,0,0,0,0,0
3,4.0,4.0,4.0,4.0,2011-10-02,ATL,@,SEA,"W, 30-28",*,17,11,127,11.5,0,64.7,7.5,0,0,0,,0,0,0,0,0,0
4,5.0,5.0,5.0,5.0,2011-10-09,ATL,,GNB,"L, 14-25",*,4,1,16,16.0,0,25.0,4.0,1,17,0,17.0,0,0,0,0,0,0
5,5.0,,6.0,6.0,2011-10-16,ATL,,CAR,"W, 31-17",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,5.0,,7.0,7.0,2011-10-23,ATL,@,DET,"W, 23-16",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,6.0,6.0,8.0,9.0,2011-11-06,ATL,@,IND,"W, 31-7",*,4,3,131,43.7,2,75.0,32.8,2,33,0,16.5,0,0,0,0,0,0
8,7.0,7.0,9.0,10.0,2011-11-13,ATL,,NOR,"L, 23-26 (OT)",*,5,2,9,4.5,0,40.0,1.8,0,0,0,,0,0,0,0,0,0
9,7.0,,10.0,11.0,2011-11-20,ATL,,TEN,"W, 23-17",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,8.0,8.0,11.0,12.0,2011-11-27,ATL,,MIN,"W, 24-14",*,0,0,0,,0,,,0,0,0,,0,0,0,0,0,0
11,9.0,9.0,12.0,13.0,2011-12-04,ATL,@,HOU,"L, 10-17",*,11,4,68,17.0,0,36.4,6.2,0,0,0,,0,0,0,0,0,0
12,10.0,10.0,13.0,14.0,2011-12-11,ATL,@,CAR,"W, 31-23",*,8,3,104,34.7,2,37.5,13.0,0,0,0,,0,0,0,0,0,0
13,11.0,11.0,14.0,15.0,2011-12-15,ATL,,JAX,"W, 41-14",*,6,5,85,17.0,1,83.3,14.2,1,6,0,6.0,0,0,0,0,0,0
14,12.0,12.0,15.0,16.0,2011-12-26,ATL,@,NOR,"L, 16-45",*,14,8,128,16.0,1,57.1,9.1,0,0,0,,1,1,0,0,0,0
15,13.0,13.0,16.0,17.0,2012-01-01,ATL,,TAM,"W, 45-24",*,5,4,76,19.0,2,80.0,15.2,1,9,0,9.0,0,0,0,0,0,0
16,,,,,,,,,7-6,,95,54,959,17.8,8,56.8,10.1,6,56,0,9.3,1,1,0,0,0,0
