,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,146.0,1.0,1.0,2022-09-11,TAM,@,DAL,"W, 19-3",,5,3,69,23.0,0,60.0,13.8,2,17,0,8.5,0.0,0,0,0,0,0,0,32,51.6,0,0.0,0,0.0
1,1.0,,2.0,2.0,2022-09-18,TAM,@,NOR,"W, 20-10",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,1.0,,3.0,3.0,2022-09-25,TAM,,GNB,"L, 12-14",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2.0,147.0,4.0,4.0,2022-10-02,TAM,,KAN,"L, 31-41",*,2,1,7,7.0,0,50.0,3.5,0,0,0,,0.0,0,0,0,0,0,0,18,28.1,0,0.0,0,0.0
4,2.0,,5.0,5.0,2022-10-09,TAM,,ATL,"W, 21-15",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,2.0,,6.0,6.0,2022-10-16,TAM,@,PIT,"L, 18-20",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,2.0,,7.0,7.0,2022-10-23,TAM,@,CAR,"L, 3-21",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,3.0,148.0,8.0,8.0,2022-10-27,TAM,,BAL,"L, 22-27",*,4,2,21,10.5,1,50.0,5.3,1,0,0,0.0,0.0,0,0,0,0,0,0,39,57.4,0,0.0,0,0.0
8,4.0,149.0,9.0,9.0,2022-11-06,TAM,,LAR,"W, 16-13",,5,2,28,14.0,0,40.0,5.6,0,0,0,,0.0,0,0,0,0,0,0,30,35.7,0,0.0,0,0.0
9,5.0,150.0,10.0,10.0,2022-11-13,TAM,,SEA,"W, 21-16",,5,3,53,17.7,1,60.0,10.6,0,0,0,,0.0,1,1,0,0,0,0,38,50.7,0,0.0,1,4.8
10,6.0,151.0,11.0,12.0,2022-11-27,TAM,@,CLE,"L, 17-23 (OT)",,4,3,40,13.3,0,75.0,10.0,1,15,0,15.0,0.0,0,0,0,0,0,0,43,62.3,0,0.0,0,0.0
11,7.0,152.0,12.0,13.0,2022-12-05,TAM,,NOR,"W, 17-16",*,6,3,28,9.3,0,50.0,4.7,0,0,0,,0.0,0,0,0,0,0,0,52,65.0,0,0.0,0,0.0
12,8.0,153.0,13.0,14.0,2022-12-11,TAM,@,SFO,"L, 7-35",,8,5,38,7.6,0,62.5,4.8,0,0,0,,0.0,0,0,0,0,0,0,55,72.4,0,0.0,0,0.0
13,8.0,,14.0,15.0,2022-12-18,TAM,,CIN,"L, 23-34",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,9.0,154.0,15.0,16.0,2022-12-25,TAM,@,ARI,"W, 19-16 (OT)",*,2,1,5,5.0,0,50.0,2.5,0,0,0,,0.0,0,0,0,0,0,0,22,27.2,0,0.0,0,0.0
15,10.0,155.0,16.0,17.0,2023-01-01,TAM,,CAR,"W, 30-24",*,2,1,10,10.0,0,50.0,5.0,1,13,0,13.0,0.0,0,0,0,0,0,0,22,28.2,0,0.0,1,3.2
16,10.0,,17.0,18.0,2023-01-08,TAM,@,ATL,"L, 17-30",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,,,,,,,,6-4,,43,24,299,12.5,2,55.8,7.0,5,45,0,9.0,0.0,1,1,0,0,0,0,351,47.6,0,0.0,2,0.7
