,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Ret,Yds.2,KRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,29.0,1.0,1.0,2022-09-11,BAL,@,NYJ,"W, 24-9",,2,4,0,2.0,2,2,7,3.5,0,100.0,3.5,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,11,19.6,0,0.0,14,51.9
1,2.0,30.0,2.0,2.0,2022-09-18,BAL,,MIA,"L, 38-42",,3,16,0,5.3,0,0,0,,0,,,0,0,0,,0.0,1,1,0,0,0,0,0,0,0,0,0,0,21,35.6,0,0.0,18,60.0
2,3.0,31.0,3.0,3.0,2022-09-25,BAL,@,NWE,"W, 37-26",,6,60,0,10.0,0,0,0,,0,,,0,0,0,,0.0,1,1,0,0,0,0,0,0,0,0,0,0,28,46.7,0,0.0,12,44.4
3,4.0,32.0,4.0,4.0,2022-10-02,BAL,,BUF,"L, 20-23",,8,45,0,5.6,2,2,12,6.0,0,100.0,6.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,25,35.7,0,0.0,5,20.0
4,4.0,,5.0,5.0,2022-10-09,BAL,,CIN,"W, 19-17",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,4.0,,6.0,6.0,2022-10-16,BAL,@,NYG,"L, 20-24",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,5.0,33.0,7.0,7.0,2022-10-23,BAL,,CLE,"W, 23-20",,5,26,0,5.2,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,1,1,0,0,0,0,20,31.3,0,0.0,15,55.6
7,6.0,34.0,8.0,8.0,2022-10-27,BAL,@,TAM,"W, 27-22",,4,28,0,7.0,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,16,21.1,0,0.0,18,58.1
8,7.0,35.0,9.0,9.0,2022-11-07,BAL,@,NOR,"W, 27-13",,4,11,0,2.8,1,1,8,8.0,0,100.0,8.0,1,9,0,9.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,17,25.0,0,0.0,14,53.8
9,8.0,36.0,10.0,11.0,2022-11-20,BAL,,CAR,"W, 13-3",,7,30,0,4.3,3,3,8,2.7,0,100.0,2.7,0,0,0,,0.0,1,1,0,0,0,0,0,0,0,0,0,0,28,40.6,0,0.0,14,60.9
10,9.0,37.0,11.0,12.0,2022-11-27,BAL,@,JAX,"L, 27-28",,1,3,0,3.0,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,14,19.4,0,0.0,16,59.3
11,10.0,38.0,12.0,13.0,2022-12-04,BAL,,DEN,"W, 10-9",,1,2,0,2.0,2,2,4,2.0,0,100.0,2.0,0,0,0,,0.0,1,1,0,0,0,0,1,0,0,0,0,0,17,23.6,0,0.0,19,73.1
12,11.0,39.0,13.0,14.0,2022-12-11,BAL,@,PIT,"W, 16-14",,0,0,0,,0,0,0,,0,,,2,39,0,19.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.3,0,0.0,13,61.9
13,12.0,40.0,14.0,15.0,2022-12-17,BAL,@,CLE,"L, 3-13",,1,3,0,3.0,1,1,15,15.0,0,100.0,15.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,24,38.1,0,0.0,10,55.6
14,13.0,41.0,15.0,16.0,2022-12-24,BAL,,ATL,"W, 17-9",,0,0,0,,1,1,4,4.0,0,100.0,4.0,3,65,0,21.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,13.5,0,0.0,12,57.1
15,14.0,42.0,16.0,17.0,2023-01-01,BAL,,PIT,"L, 13-16",,0,0,0,,0,0,0,,0,,,2,83,0,41.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,17,32.7,0,0.0,14,60.9
16,15.0,43.0,17.0,18.0,2023-01-08,BAL,@,CIN,"L, 16-27",,7,34,0,4.9,0,0,0,,0,,,2,51,0,25.5,0.0,1,1,0,0,0,0,0,0,0,0,0,0,17,21.8,0,0.0,20,66.7
17,,,,,,,,,9-6,,49,262,0,5.3,12,12,58,4.8,0,100.0,4.8,10,247,0,24.7,0.0,6,6,0,0,0,0,2,1,0,0,0,0,264,27.2,0,0.0,214,56.0
