,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2021-09-12,CHI,@,LAR,"L, 14-34",,2,2,100.0,10,0,0,5.0,5.00,87.5,0,0,1,3,1,3.0,0,0,0,0,0,0,5,7.2,0,0.0,0,0.0
1,2.0,2.0,2.0,2.0,2021-09-19,CHI,,CIN,"W, 20-17",,6,13,46.2,60,0,1,4.6,1.15,27.7,2,25,10,31,0,3.1,1,0,0,1,0,0,42,64.6,0,0.0,0,0.0
2,3.0,3.0,3.0,3.0,2021-09-26,CHI,@,CLE,"L, 6-26",*,6,20,30.0,68,0,0,3.4,3.40,41.2,9,67,3,12,0,4.0,0,0,0,0,0,0,45,100.0,0,0.0,0,0.0
3,4.0,4.0,4.0,4.0,2021-10-03,CHI,,DET,"W, 24-14",*,11,17,64.7,209,0,1,12.3,9.65,82.7,1,24,3,9,0,3.0,1,0,0,1,0,0,58,100.0,0,0.0,0,0.0
4,5.0,5.0,5.0,5.0,2021-10-10,CHI,@,LVR,"W, 20-9",*,12,20,60.0,111,1,0,5.6,6.55,91.9,2,10,3,4,0,1.3,1,0,0,0,0,0,61,95.3,0,0.0,0,0.0
5,6.0,6.0,6.0,6.0,2021-10-17,CHI,,GNB,"L, 14-24",*,16,27,59.3,174,1,1,6.4,5.52,75.2,4,37,6,43,0,7.2,0,0,0,0,-4,0,61,100.0,0,0.0,0,0.0
6,7.0,7.0,7.0,7.0,2021-10-24,CHI,@,TAM,"L, 3-38",*,22,32,68.8,184,0,3,5.8,1.53,44.3,4,16,8,38,0,4.8,3,2,0,1,-2,0,66,100.0,0,0.0,0,0.0
7,8.0,8.0,8.0,8.0,2021-10-31,CHI,,SFO,"L, 22-33",*,19,27,70.4,175,1,1,6.5,5.56,84.6,4,27,10,103,1,10.3,2,0,0,0,-5,0,70,100.0,0,0.0,0,0.0
8,9.0,9.0,9.0,9.0,2021-11-08,CHI,@,PIT,"L, 27-29",*,17,29,58.6,291,1,1,10.0,9.17,89.9,3,13,8,45,0,5.6,0,0,0,0,0,0,62,100.0,0,0.0,0,0.0
9,10.0,10.0,10.0,11.0,2021-11-21,CHI,,BAL,"L, 13-16",*,4,11,36.4,79,0,0,7.2,7.18,62.3,2,1,4,23,0,5.8,1,1,0,0,0,0,30,50.8,0,0.0,0,0.0
10,10.0,,11.0,12.0,2021-11-25,CHI,@,DET,"W, 16-14",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,10.0,,12.0,13.0,2021-12-05,CHI,,ARI,"L, 22-33",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,11.0,11.0,13.0,14.0,2021-12-12,CHI,@,GNB,"L, 30-45",*,18,33,54.5,224,2,2,6.8,5.27,70.8,2,14,9,74,0,8.2,1,1,0,0,0,0,62,100.0,0,0.0,0,0.0
13,12.0,12.0,14.0,15.0,2021-12-20,CHI,,MIN,"L, 9-17",*,26,39,66.7,285,1,0,7.3,7.82,96.6,3,30,7,35,0,5.0,2,1,0,1,0,0,73,100.0,0,0.0,0,0.0
14,12.0,,15.0,16.0,2021-12-26,CHI,@,SEA,"W, 25-24",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,12.0,,16.0,17.0,2022-01-02,CHI,,NYG,"W, 29-3",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,12.0,,17.0,18.0,2022-01-09,CHI,@,MIN,"L, 17-31",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,,,,,,,,,3-9,,159,270,58.9,1870,7,10,6.9,5.78,73.2,36,264,72,420,2,5.8,12,5,0,4,-11,0,635,84.2,0,0.0,0,0.0
