,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Ret,Yds.2,KRTD,Y/Ret,Ret.1,Yds.3,PRTD,Y/Ret.1,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2022-09-11,DAL,,TAM,"L, 3-19",,0,0,0,,0,0,0,,0,,,4,77,0,19.3,1,3,0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.9,0,0.0,10,41.7
1,2.0,2.0,2.0,2.0,2022-09-18,DAL,,CIN,"W, 20-17",,1,3,0,3.0,0,0,0,,0,,,0,0,0,,2,34,0,17.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,8.2,0,0.0,10,38.5
2,3.0,3.0,3.0,3.0,2022-09-26,DAL,@,NYG,"W, 23-16",,0,0,0,,0,0,0,,0,,,1,24,0,24.0,1,28,0,28.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,8,12.5,0,0.0,8,27.6
3,4.0,4.0,4.0,4.0,2022-10-02,DAL,,WAS,"W, 25-10",,0,0,0,,0,0,0,,0,,,0,0,0,,1,-3,0,-3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,8.2,0,0.0,9,30.0
4,5.0,5.0,5.0,5.0,2022-10-09,DAL,@,LAR,"W, 22-10",,0,0,0,,0,0,0,,0,,,0,0,0,,1,12,0,12.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,5.5,0,0.0,10,33.3
5,6.0,6.0,6.0,6.0,2022-10-16,DAL,@,PHI,"L, 17-26",,0,0,0,,1,0,0,,0,0.0,0.0,3,96,0,32.0,3,36,0,12.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.0,0,0.0,10,41.7
6,7.0,7.0,7.0,7.0,2022-10-23,DAL,,DET,"W, 24-6",,1,3,0,3.0,0,0,0,,0,,,0,0,0,,2,66,0,33.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,9.5,0,0.0,6,27.3
7,8.0,8.0,8.0,8.0,2022-10-30,DAL,,CHI,"W, 49-29",,1,11,0,11.0,0,0,0,,0,,,1,21,0,21.0,2,15,0,7.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,10.3,0,0.0,9,31.0
8,9.0,9.0,9.0,10.0,2022-11-13,DAL,@,GNB,"L, 28-31 (OT)",,0,0,0,,1,1,9,9.0,0,100.0,9.0,2,47,0,23.5,2,11,0,5.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.4,0,0.0,10,33.3
9,10.0,10.0,10.0,11.0,2022-11-20,DAL,@,MIN,"W, 40-3",,0,0,0,,0,0,0,,0,,,0,0,0,,4,34,0,8.5,0.0,0,0,0,0,0,0,1,0,0,0,0,0,6,8.3,0,0.0,9,32.1
10,11.0,11.0,11.0,12.0,2022-11-24,DAL,,NYG,"W, 28-20",,0,0,0,,0,0,0,,0,,,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.7,0,0.0,8,34.8
11,12.0,12.0,12.0,13.0,2022-12-04,DAL,,IND,"W, 54-19",,0,0,0,,0,0,0,,0,,,3,64,0,21.3,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,7.4,0,0.0,8,25.8
12,13.0,13.0,13.0,14.0,2022-12-11,DAL,,HOU,"W, 27-23",,0,0,0,,0,0,0,,0,,,1,27,0,27.0,2,9,0,4.5,0.0,0,0,0,0,0,0,1,1,0,0,0,0,1,1.4,0,0.0,9,32.1
13,14.0,14.0,14.0,15.0,2022-12-18,DAL,@,JAX,"L, 34-40 (OT)",,0,0,0,,0,0,0,,0,,,3,70,0,23.3,1,16,0,16.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.7,0,0.0,9,27.3
14,15.0,15.0,15.0,16.0,2022-12-24,DAL,,PHI,"W, 40-34",,0,0,0,,0,0,0,,0,,,1,31,0,31.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,6.8,0,0.0,7,22.6
15,16.0,16.0,16.0,17.0,2022-12-29,DAL,@,TEN,"W, 27-13",,0,0,0,,0,0,0,,0,,,0,0,0,,3,29,0,9.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.5,0,0.0,8,32.0
16,17.0,17.0,17.0,18.0,2023-01-08,DAL,@,WAS,"L, 6-26",,0,0,0,,0,0,0,,0,,,2,51,0,25.5,4,13,0,3.3,0.0,1,1,0,0,0,0,1,1,0,0,0,0,0,0.0,0,0.0,13,38.2
17,,,,,,,,,12-5,,3,17,0,5.7,2,1,9,9.0,0,50.0,4.5,21,508,0,24.2,29,303,0,10.4,0.0,1,1,0,0,0,0,3,2,0,0,0,0,62,5.3,0,0.0,153,32.1
