,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Y/Ret,Ret.1,Yds.3,PRTD,Y/Ret.1,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,18.0,1.0,1.0,2023-09-10,DAL,@,NYG,"W, 40-0",,3,2,11,5.5,0,66.7,3.7,3,14,1,4.7,0,0,0,,2,17,0,8.5,0,0,0,0,0,0,11,19.0,0,0.0,4,16.7
1,2.0,19.0,2.0,2.0,2023-09-17,DAL,,NYJ,"W, 30-10",,1,1,9,9.0,0,100.0,9.0,2,6,0,3.0,0,0,0,,0,0,0,,0,0,0,0,0,0,16,18.4,0,0.0,9,32.1
2,3.0,20.0,3.0,3.0,2023-09-24,DAL,@,ARI,"L, 16-28",,0,0,0,,0,,,0,0,0,,0,0,0,,1,0,0,0.0,0,0,0,0,0,0,2,2.5,0,0.0,8,32.0
3,4.0,21.0,4.0,4.0,2023-10-01,DAL,,NWE,"W, 38-3",,1,1,5,5.0,0,100.0,5.0,1,46,0,46.0,0,0,0,,2,13,0,6.5,1,0,0,0,0,0,21,30.0,0,0.0,9,34.6
4,5.0,22.0,5.0,5.0,2023-10-08,DAL,@,SFO,"L, 10-42",,1,1,26,26.0,1,100.0,26.0,0,0,0,,2,33,0,16.5,0,0,0,,0,0,0,0,0,0,2,4.1,0,0.0,5,18.5
5,6.0,23.0,6.0,6.0,2023-10-16,DAL,@,LAC,"W, 20-17",,0,0,0,,0,,,0,0,0,,1,21,0,21.0,1,15,0,15.0,0,0,0,0,0,0,2,3.1,0,0.0,9,36.0
6,7.0,24.0,7.0,8.0,2023-10-29,DAL,,LAR,"W, 43-20",,2,1,13,13.0,0,50.0,6.5,0,0,0,,2,88,0,44.0,2,0,0,0.0,0,0,0,0,0,0,11,16.9,0,0.0,11,36.7
7,8.0,25.0,8.0,9.0,2023-11-05,DAL,@,PHI,"L, 23-28",,1,1,5,5.0,1,100.0,5.0,1,0,0,0.0,1,48,0,48.0,2,23,0,11.5,0,0,0,0,0,0,13,17.3,0,0.0,9,37.5
8,8.0,,9.0,10.0,2023-11-12,DAL,,NYG,"W, 49-17",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,9.0,26.0,10.0,11.0,2023-11-19,DAL,@,CAR,"W, 33-10",,3,2,10,5.0,0,66.7,3.3,1,13,0,13.0,0,0,0,,0,0,0,,0,0,0,0,0,0,12,16.7,0,0.0,9,33.3
10,10.0,27.0,11.0,12.0,2023-11-23,DAL,,WAS,"W, 45-10",,1,1,34,34.0,1,100.0,34.0,0,0,0,,0,0,0,,1,5,0,5.0,0,0,0,0,0,0,5,9.3,0,0.0,6,24.0
11,11.0,28.0,12.0,13.0,2023-11-30,DAL,,SEA,"W, 41-35",,3,1,10,10.0,0,33.3,3.3,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,13,14.6,0,0.0,6,21.4
12,12.0,29.0,13.0,14.0,2023-12-10,DAL,,PHI,"W, 33-13",,1,0,0,,0,0.0,0.0,1,22,0,22.0,1,30,0,30.0,0,0,0,,0,0,0,0,0,0,11,13.4,0,0.0,6,24.0
13,13.0,30.0,14.0,15.0,2023-12-17,DAL,@,BUF,"L, 10-31",,0,0,0,,0,,,0,0,0,,2,43,0,21.5,0,0,0,,0,0,0,0,0,0,1,1.8,0,0.0,9,37.5
14,14.0,31.0,15.0,16.0,2023-12-24,DAL,@,MIA,"L, 20-22",,1,1,4,4.0,0,100.0,4.0,1,4,0,4.0,0,0,0,,1,2,0,2.0,0,0,0,0,0,0,9,13.6,0,0.0,8,30.8
15,15.0,32.0,16.0,17.0,2023-12-30,DAL,,DET,"W, 20-19",,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,1,1.5,0,0.0,10,38.5
16,16.0,33.0,17.0,18.0,2024-01-07,DAL,@,WAS,"W, 38-10",,0,0,0,,0,,,1,5,0,5.0,1,29,0,29.0,1,4,0,4.0,0,0,0,0,0,0,10,13.9,0,0.0,5,22.7
17,,,,,,,,,11-5,,18,12,127,10.6,3,66.7,7.1,11,110,1,10.0,10,292,0,29.2,13,79,0,6.1,1,0,0,0,0,0,140,12.7,0,0.0,123,29.9
