,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,3.0,3.0,2024-09-22,KAN,@,ATL,"W, 22-17",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
1,1.0,92.0,4.0,4.0,2024-09-29,KAN,@,LAC,"W, 17-10",,14,69,0,4.9,3,2,16,8.0,0,66.7,5.3,28,45.2,0,0.0,0,0.0
2,2.0,93.0,5.0,5.0,2024-10-07,KAN,,NOR,"W, 26-13",*,27,102,1,3.8,1,1,15,15.0,0,100.0,15.0,53,63.1,0,0.0,0,0.0
3,3.0,94.0,6.0,7.0,2024-10-20,KAN,@,SFO,"W, 28-18",*,22,78,2,3.5,2,2,5,2.5,0,100.0,2.5,45,64.3,0,0.0,0,0.0
4,4.0,95.0,7.0,8.0,2024-10-27,KAN,@,LVR,"W, 27-20",*,21,59,1,2.8,1,1,4,4.0,0,100.0,4.0,42,58.3,0,0.0,0,0.0
5,5.0,96.0,8.0,9.0,2024-11-04,KAN,,TAM,"W, 30-24 (OT)",*,27,106,1,3.9,1,1,11,11.0,0,100.0,11.0,49,57.6,0,0.0,0,0.0
6,6.0,97.0,9.0,10.0,2024-11-10,KAN,,DEN,"W, 16-14",*,14,35,0,2.5,10,7,65,9.3,0,70.0,6.5,44,64.7,0,0.0,0,0.0
7,7.0,98.0,10.0,11.0,2024-11-17,KAN,@,BUF,"L, 21-30",*,14,60,0,4.3,0,0,0,,0,,,38,69.1,0,0.0,0,0.0
8,8.0,99.0,11.0,12.0,2024-11-24,KAN,@,CAR,"W, 30-27",*,16,68,0,4.3,4,3,19,6.3,0,75.0,4.8,41,55.4,0,0.0,0,0.0
9,9.0,100.0,12.0,13.0,2024-11-29,KAN,,LVR,"W, 19-17",*,7,15,0,2.1,4,2,0,0.0,0,50.0,0.0,27,38.0,0,0.0,0,0.0
10,10.0,101.0,13.0,14.0,2024-12-08,KAN,,LAC,"W, 19-17",,5,16,0,3.2,1,1,13,13.0,0,100.0,13.0,20,29.0,0,0.0,0,0.0
11,11.0,102.0,14.0,15.0,2024-12-15,KAN,@,CLE,"W, 21-7",,13,45,0,3.5,2,1,4,4.0,0,50.0,2.0,28,37.3,0,0.0,0,0.0
12,12.0,103.0,15.0,16.0,2024-12-21,KAN,,HOU,"W, 27-19",,11,55,1,5.0,3,2,24,12.0,0,66.7,8.0,32,43.2,0,0.0,0,0.0
13,13.0,104.0,16.0,17.0,2024-12-25,KAN,@,PIT,"W, 29-10",,9,20,1,2.2,0,0,0,,0,,,30,48.4,0,0.0,0,0.0
14,13.0,,17.0,18.0,2025-01-05,KAN,@,DEN,"L, 0-38",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,,,,,,,,,12-1,,200,728,7,3.6,32,23,176,7.7,0,71.9,5.5,477,51.8,0,0.0,0,0.0
