,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2021,22,PHI,NFL,RB,16.0,1.0,68.0,291.0,5.0,19.0,50.0,18.0,4.3,18.2,4.3,50.0,33.0,253.0,7.7,1.0,14.0,44.0,19.0,2.1,15.8,66.0,5.1,101.0,5.4,544.0,6.0,2.0,5.0,
1,2022,23,PHI,NFL,RB,17.0,0.0,53.0,240.0,4.0,17.0,62.3,13.0,4.5,14.1,3.1,29.0,23.0,169.0,7.3,0.0,7.0,41.4,20.0,1.4,9.9,79.3,5.8,76.0,5.4,409.0,4.0,0.0,4.0,
2,2023,24,PHI,NFL,RB,16.0,2.0,84.0,364.0,2.0,19.0,39.3,32.0,4.3,22.8,5.3,37.0,30.0,183.0,6.1,0.0,11.0,48.6,19.0,1.9,11.4,81.1,4.9,114.0,4.8,547.0,2.0,3.0,5.0,
3,2024,25,PHI,NFL,RB,17.0,1.0,75.0,290.0,1.0,12.0,24.0,20.0,3.9,17.1,4.4,22.0,16.0,116.0,7.3,0.0,5.0,40.9,16.0,0.9,6.8,72.7,5.3,91.0,4.5,406.0,1.0,0.0,3.0,
4,2025,26,PIT,NFL,RB,3.0,0.0,16.0,55.0,1.0,4.0,43.8,13.0,3.4,18.3,5.3,10.0,7.0,30.0,4.3,0.0,1.0,30.0,10.0,2.3,10.0,70.0,3.0,23.0,3.7,85.0,1.0,1.0,,
5,5 Yrs,5 Yrs,5 Yrs,5 Yrs,,69.0,4.0,296.0,1240.0,13.0,71.0,42.2,32.0,4.2,18.0,4.3,148.0,109.0,751.0,6.9,1.0,38.0,43.2,20.0,1.6,10.9,73.6,5.1,405.0,4.9,1991.0,14.0,6.0,17.0,
6,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,1.0,73.0,306.0,3.0,17.0,42.2,32.0,4.2,18.0,4.3,36.0,27.0,185.0,6.9,0.0,9.0,43.2,20.0,1.6,10.9,73.6,5.1,100.0,4.9,491.0,3.0,1.0,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PHI (4 Yrs),PHI (4 Yrs),PHI (4 Yrs),PHI (4 Yrs),,66.0,4.0,280.0,1185.0,12.0,67.0,42.1,32.0,4.2,18.0,4.2,138.0,102.0,721.0,7.1,1.0,37.0,44.2,20.0,1.5,10.9,73.9,5.2,382.0,5.0,1906.0,13.0,5.0,17.0,
9,PIT (1 Yr),PIT (1 Yr),PIT (1 Yr),PIT (1 Yr),,3.0,0.0,16.0,55.0,1.0,4.0,43.8,13.0,3.4,18.3,5.3,10.0,7.0,30.0,4.3,0.0,1.0,30.0,10.0,2.3,10.0,70.0,3.0,23.0,3.7,85.0,1.0,1.0,,
