,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Ret,Yds.2,KRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2016-09-11,MIA,@,SEA,"L, 10-12",,0,0,0,,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,1,1.9,0,0.0,13,52.0
1,2.0,2.0,2.0,2.0,2016-09-18,MIA,@,NWE,"L, 24-31",,2,12,1,6.0,2,2,6,3.0,0,100.0,3.0,1,15,0,15.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,18,28.1,0,0.0,17,60.7
2,3.0,3.0,3.0,3.0,2016-09-25,MIA,,CLE,"W, 30-24 (OT)",*,9,37,0,4.1,2,2,11,5.5,0,100.0,5.5,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,27,40.3,0,0.0,21,61.8
3,4.0,4.0,4.0,4.0,2016-09-29,MIA,@,CIN,"L, 7-22",,2,15,0,7.5,0,0,0,,0,,,1,17,0,17.0,0.0,1,1,0,0,0.0,0,0,0,0,0,0,0,7,15.6,0,0.0,21,75.0
4,5.0,5.0,5.0,5.0,2016-10-09,MIA,,TEN,"L, 17-30",,2,4,0,2.0,3,2,16,8.0,0,66.7,5.3,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,7,15.9,0,0.0,19,65.5
5,6.0,6.0,6.0,6.0,2016-10-16,MIA,,PIT,"W, 30-15",,0,0,0,,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,1,1.4,0,0.0,13,50.0
6,7.0,7.0,7.0,7.0,2016-10-23,MIA,,BUF,"W, 28-25",,0,0,0,,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,2,2.7,0,0.0,23,71.9
7,8.0,8.0,8.0,9.0,2016-11-06,MIA,,NYJ,"W, 27-23",,0,0,0,,1,1,6,6.0,0,100.0,6.0,2,123,1,61.5,0.0,1,0,1,0,0.0,0,0,0,0,0,0,0,3,4.8,0,0.0,18,56.3
8,9.0,9.0,9.0,10.0,2016-11-13,MIA,@,SDG,"W, 31-24",,1,9,0,9.0,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,2,3.9,0,0.0,14,48.3
9,10.0,10.0,10.0,11.0,2016-11-20,MIA,@,LAR,"W, 14-10",,1,2,0,2.0,0,0,0,,0,,,1,18,0,18.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,2,3.3,0,0.0,7,24.1
10,11.0,11.0,11.0,12.0,2016-11-27,MIA,,SFO,"W, 31-24",,1,9,0,9.0,0,0,0,,0,,,3,99,0,33.0,0.0,1,0,1,0,0.0,0,1,0,0,0,0,0,3,5.1,0,0.0,15,51.7
11,12.0,12.0,12.0,13.0,2016-12-04,MIA,@,BAL,"L, 6-38",,1,1,0,1.0,1,1,4,4.0,0,100.0,4.0,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,10,16.1,0,0.0,9,37.5
12,13.0,13.0,13.0,14.0,2016-12-11,MIA,,ARI,"W, 26-23",,1,8,0,8.0,1,1,3,3.0,0,100.0,3.0,2,44,0,22.0,0.0,1,1,0,0,0.0,0,0,0,0,0,0,0,2,3.3,0,0.0,13,43.3
13,14.0,14.0,14.0,15.0,2016-12-17,MIA,@,NYJ,"W, 34-13",,5,16,0,3.2,0,0,0,,0,,,1,21,0,21.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,5,10.4,0,0.0,13,46.4
14,15.0,15.0,15.0,16.0,2016-12-24,MIA,@,BUF,"W, 34-31 (OT)",,4,56,1,14.0,0,0,0,,0,,,1,39,0,39.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,7,10.1,0,0.0,16,44.4
15,16.0,16.0,16.0,17.0,2017-01-01,MIA,,NWE,"L, 14-35",,4,10,0,2.5,0,0,0,,0,,,1,21,0,21.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,12,20.3,0,0.0,13,50.0
16,,,,,,,,,10-6,,33,179,2,5.4,10,9,46,5.1,0,90.0,4.6,13,397,1,30.5,0.0,4,2,2,0,0.0,0,1,0,0,0,0,0,109,11.5,0,0.0,245,52.7
