,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Ret,Yds.2,KRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,18.0,1.0,1.0,2022-09-11,CHI,,SFO,"W, 19-10",,9,45,1,5.0,1,1,-2,-2.0,0,100.0,-2.0,0,0,0,,0.0,1,1,0,0,0,0,17,29.3,0,0.0,15,62.5
1,2.0,19.0,2.0,2.0,2022-09-18,CHI,@,GNB,"L, 10-27",,4,38,0,9.5,1,1,3,3.0,0,100.0,3.0,0,0,0,,0.0,1,1,0,0,0,0,8,19.5,0,0.0,13,59.1
2,3.0,20.0,3.0,3.0,2022-09-25,CHI,,HOU,"W, 23-20",,20,157,2,7.9,2,2,12,6.0,0,100.0,6.0,0,0,0,,0.0,1,1,0,0,0,0,38,60.3,0,0.0,5,17.2
3,4.0,21.0,4.0,4.0,2022-10-02,CHI,@,NYG,"L, 12-20",*,19,77,0,4.1,1,1,24,24.0,0,100.0,24.0,0,0,0,,0.0,0,0,0,0,0,0,48,77.4,0,0.0,0,0.0
4,5.0,22.0,5.0,5.0,2022-10-09,CHI,@,MIN,"L, 22-29",,4,11,0,2.8,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,14,28.0,0,0.0,8,34.8
5,6.0,23.0,6.0,6.0,2022-10-13,CHI,,WAS,"L, 7-12",,7,74,0,10.6,0,0,0,,0,,,0,0,0,,0.0,1,1,0,0,0,0,16,22.2,0,0.0,6,30.0
6,7.0,24.0,7.0,7.0,2022-10-24,CHI,@,NWE,"W, 33-14",,12,62,0,5.2,2,1,25,25.0,1,50.0,12.5,2,49,0,24.5,0.0,0,0,0,0,0,0,29,40.8,0,0.0,4,16.0
7,8.0,25.0,8.0,8.0,2022-10-30,CHI,@,DAL,"L, 29-49",,16,99,1,6.2,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,22,27.8,0,0.0,4,13.8
8,9.0,26.0,9.0,9.0,2022-11-06,CHI,,MIA,"L, 32-35",,7,23,0,3.3,0,0,0,,0,,,1,30,0,30.0,0.0,0,0,0,0,0,0,21,28.4,0,0.0,8,30.8
9,10.0,27.0,10.0,10.0,2022-11-13,CHI,,DET,"L, 30-31",,10,57,0,5.7,0,0,0,,0,,,2,67,0,33.5,0.0,0,0,0,0,0,0,23,37.7,0,0.0,6,20.7
10,10.0,,11.0,11.0,2022-11-20,CHI,@,ATL,"L, 24-27",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,10.0,,12.0,12.0,2022-11-27,CHI,@,NYJ,"L, 10-31",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,10.0,,13.0,13.0,2022-12-04,CHI,,GNB,"L, 19-28",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,10.0,,14.0,15.0,2022-12-18,CHI,,PHI,"L, 20-25",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,11.0,28.0,15.0,16.0,2022-12-24,CHI,,BUF,"L, 13-35",,6,7,0,1.2,3,2,-4,-2.0,0,66.7,-1.3,0,0,0,,0.0,0,0,0,0,0,0,26,41.3,0,0.0,0,0.0
15,12.0,29.0,16.0,17.0,2023-01-01,CHI,@,DET,"L, 10-41",,5,31,0,6.2,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,20,38.5,0,0.0,0,0.0
16,13.0,30.0,17.0,18.0,2023-01-08,CHI,,MIN,"L, 13-29",,10,50,0,5.0,2,1,-1,-1.0,0,50.0,-0.5,0,0,0,,0.0,0,0,0,0,0,0,19,37.3,0,0.0,0,0.0
17,,,,,,,,,3-10,,129,731,4,5.7,12,9,57,6.3,1,75.0,4.8,5,146,0,29.2,0.0,4,4,0,0,0,0,301,37.8,0,0.0,69,20.6
