,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Ret,Yds.2,KRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,43.0,1.0,1,2024-09-08,CHI,,TEN,"W, 24-17",,2,4,0,2.0,0,0,0,,0,,,0,0,0,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,6,10.7,0,0.0,10,34.5
1,2.0,44.0,2.0,2,2024-09-15,CHI,@,HOU,"L, 13-19",,2,3,1,1.5,2,2,4,2.0,0,100.0,2.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,8.6,0,0.0,13,43.3
2,3.0,45.0,3.0,3,2024-09-22,CHI,@,IND,"L, 16-21",,4,9,0,2.3,0,0,0,,0,,,0,0,0,,0.0,1,1,0,0,0,0,0,0,0,0,0,0,9,10.0,0,0.0,13,56.5
3,4.0,46.0,4.0,4,2024-09-29,CHI,,LAR,"W, 24-18",,0,0,0,,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,12,46.2
4,5.0,47.0,5.0,5,2024-10-06,CHI,,CAR,"W, 36-10",,0,0,0,,0,0,0,,0,,,1,28,0,28.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.0,0,0.0,10,38.5
5,6.0,48.0,6.0,6,2024-10-13,CHI,,JAX,"W, 35-16",,0,0,0,,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.5,0,0.0,6,25.0
6,6.0,,7.0,8,2024-10-27,CHI,@,WAS,"L, 15-18",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,6.0,,8.0,9,2024-11-03,CHI,@,ARI,"L, 9-29",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,,,,Player went from Chicago Bears to Cincinnati Bengals,Player went from Chicago Bears to Cincinnati Bengals,Player went from Chicago Bears to Cincinnati Bengals,Player went from Chicago Bears to Cincinnati Bengals,Player went from Chicago Bears to Cincinnati Bengals,Player went from Chicago Bears to Cincinnati Bengals,Player went from Chicago Bears to Cincinnati Bengals,Player went from Chicago Bears to Cincinnati Bengals,Player went from Chicago Bears to Cincinnati Bengals,Player went from Chicago Bears to Cincinnati Bengals,Player went from Chicago Bears to Cincinnati Bengals,Player went from Chicago Bears to Cincinnati Bengals,Player went from Chicago Bears to Cincinnati Bengals,Player went from Chicago Bears to Cincinnati Bengals,Player went from Chicago Bears to Cincinnati Bengals,Player went from Chicago Bears to Cincinnati Bengals,Player went from Chicago Bears to Cincinnati Bengals,Player went from Chicago Bears to Cincinnati Bengals,Player went from Chicago Bears to Cincinnati Bengals,Player went from Chicago Bears to Cincinnati Bengals,Player went from Chicago Bears to Cincinnati Bengals,Player went from Chicago Bears to Cincinnati Bengals,Player went from Chicago Bears to Cincinnati Bengals,Player went from Chicago Bears to Cincinnati Bengals,Player went from Chicago Bears to Cincinnati Bengals,Player went from Chicago Bears to Cincinnati Bengals,Player went from Chicago Bears to Cincinnati Bengals,Player went from Chicago Bears to Cincinnati Bengals,Player went from Chicago Bears to Cincinnati Bengals,Player went from Chicago Bears to Cincinnati Bengals,Player went from Chicago Bears to Cincinnati Bengals,Player went from Chicago Bears to Cincinnati Bengals,Player went from Chicago Bears to Cincinnati Bengals,Player went from Chicago Bears to Cincinnati Bengals,Player went from Chicago Bears to Cincinnati Bengals,Player went from Chicago Bears to Cincinnati Bengals,Player went from Chicago Bears to Cincinnati Bengals,Player went from Chicago Bears to Cincinnati Bengals,Player went from Chicago Bears to Cincinnati Bengals,Player went from Chicago Bears to Cincinnati Bengals,Player went from Chicago Bears to Cincinnati Bengals
9,7.0,49.0,10.0,10,2024-11-07,CIN,@,BAL,"L, 34-35",,0,0,0,,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,2,2.4,0,0.0,0,0.0
10,8.0,50.0,11.0,11,2024-11-17,CIN,@,LAC,"L, 27-34",,0,0,0,,0,0,0,,0,,,1,29,0,29.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.9,0,0.0,12,32.4
