,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,KRTD,Y/Ret,Ret.1,Yds.2,PRTD,Y/Ret.1,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1.0,2022-09-08,BUF,@,LAR,"W, 31-10",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
1,1.0,1.0,2.0,2.0,2022-09-19,BUF,,TEN,"W, 41-7",,2,0,0,,0,0.0,0.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,24,35.3,0,0.0,0,0.0
2,1.0,,3.0,3.0,2022-09-25,BUF,@,MIA,"L, 19-21",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2.0,2.0,4.0,4.0,2022-10-02,BUF,@,BAL,"W, 23-20",,2,2,23,11.5,0,100.0,11.5,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,16,25.0,0,0.0,1,4.0
4,3.0,3.0,5.0,5.0,2022-10-09,BUF,,PIT,"W, 38-3",*,5,3,75,25.0,1,60.0,15.0,1,34,0,34.0,0,0,0,,0.0,0,0,0,0,0,0,39,69.6,0,0.0,5,20.0
5,4.0,4.0,6.0,6.0,2022-10-16,BUF,@,KAN,"W, 24-20",,2,1,14,14.0,0,50.0,7.0,0,0,0,,2,6,0,3.0,0.0,0,0,0,0,0,0,15,20.5,0,0.0,3,13.0
6,5.0,5.0,7.0,8.0,2022-10-30,BUF,,GNB,"W, 27-17",,2,0,0,,0,0.0,0.0,0,0,0,,1,17,0,17.0,0.0,0,0,0,0,0,0,17,28.8,0,0.0,2,9.1
7,6.0,6.0,8.0,9.0,2022-11-06,BUF,@,NYJ,"L, 17-20",,0,0,0,,0,,,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,9,14.5,0,0.0,0,0.0
8,7.0,7.0,9.0,10.0,2022-11-13,BUF,,MIN,"L, 30-33 (OT)",,2,1,6,6.0,0,50.0,3.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,15,20.0,0,0.0,4,12.1
9,8.0,8.0,10.0,11.0,2022-11-20,BUF,,CLE,"W, 31-23",,0,0,0,,0,,,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,16,24.6,0,0.0,0,0.0
10,9.0,9.0,11.0,12.0,2022-11-24,BUF,@,DET,"W, 28-25",,0,0,0,,0,,,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,34,44.2,0,0.0,1,3.8
11,10.0,10.0,12.0,13.0,2022-12-01,BUF,@,NWE,"W, 24-10",,1,1,10,10.0,0,100.0,10.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,16,21.3,0,0.0,2,8.3
12,11.0,11.0,13.0,14.0,2022-12-11,BUF,,NYJ,"W, 20-12",*,1,0,0,,0,0.0,0.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,12,20.3,0,0.0,0,0.0
13,12.0,12.0,14.0,15.0,2022-12-17,BUF,,MIA,"W, 32-29",,0,0,0,,0,,,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,22,28.2,0,0.0,0,0.0
14,13.0,13.0,15.0,16.0,2022-12-24,BUF,@,CHI,"W, 35-13",,1,1,5,5.0,0,100.0,5.0,0,0,0,,0,0,0,,0.0,1,1,0,0,0,0,25,39.1,0,0.0,0,0.0
15,14.0,14.0,16.0,18.0,2023-01-08,BUF,,NWE,"W, 35-23",,2,1,28,28.0,0,50.0,14.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,15,25.4,0,0.0,0,0.0
16,,,,,,,,,12-2,,20,10,161,16.1,1,50.0,8.1,1,34,0,34.0,3,23,0,7.7,0.0,1,1,0,0,0,0,275,29.4,0,0.0,18,4.9
