,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,15.0,1.0,1.0,2015-09-13,WAS,,MIA,"L, 10-17",*,21,31,67.7,196,1,2,6.3,4.06,68.7,1,8,2,-1,0,-0.5,1,0,0,0,-3,0,76,100.0,0,0.0,0,0.0
1,2.0,16.0,2.0,2.0,2015-09-20,WAS,,STL,"W, 24-10",*,23,27,85.2,203,1,0,7.5,8.26,110.3,2,12,0,0,0,,0,0,0,0,0,0,72,100.0,0,0.0,0,0.0
2,3.0,17.0,3.0,3.0,2015-09-24,WAS,@,NYG,"L, 21-32",*,30,49,61.2,316,1,2,6.4,5.02,69.8,1,11,0,0,0,,0,0,0,0,0,0,76,100.0,0,0.0,0,0.0
3,4.0,18.0,4.0,4.0,2015-10-04,WAS,,PHI,"W, 23-20",*,31,46,67.4,290,1,0,6.3,6.74,91.8,1,0,1,1,1,1.0,1,0,0,1,0,0,85,100.0,0,0.0,0,0.0
4,5.0,19.0,5.0,5.0,2015-10-11,WAS,@,ATL,"L, 19-25 (OT)",*,21,32,65.6,219,1,2,6.8,4.66,69.7,1,0,1,1,0,1.0,0,0,0,0,0,0,61,100.0,0,0.0,0,0.0
5,6.0,20.0,6.0,6.0,2015-10-18,WAS,@,NYJ,"L, 20-34",*,25,43,58.1,196,1,2,4.6,2.93,57.9,1,5,1,1,0,1.0,0,0,0,0,0,0,63,100.0,0,0.0,0,0.0
6,7.0,21.0,7.0,7.0,2015-10-25,WAS,,TAM,"W, 31-30",*,33,40,82.5,317,3,0,7.9,9.43,124.7,1,12,3,15,1,5.0,1,1,0,0,0,0,64,100.0,0,0.0,0,0.0
7,8.0,22.0,8.0,9.0,2015-11-08,WAS,@,NWE,"L, 10-27",*,22,40,55.0,217,1,1,5.4,4.8,68.4,1,4,0,0,0,,0,0,0,0,0,0,58,100.0,0,0.0,0,0.0
8,9.0,23.0,9.0,10.0,2015-11-15,WAS,,NOR,"W, 47-14",*,20,25,80.0,324,4,0,13.0,16.16,158.3,3,23,0,0,0,,1,0,0,1,0,0,59,95.2,0,0.0,0,0.0
9,10.0,24.0,10.0,11.0,2015-11-22,WAS,@,CAR,"L, 16-44",*,22,30,73.3,207,1,1,6.9,6.07,89.2,5,35,1,4,0,4.0,2,2,0,0,0,0,48,100.0,0,0.0,0,0.0
10,11.0,25.0,11.0,12.0,2015-11-29,WAS,,NYG,"W, 20-14",*,20,29,69.0,302,1,0,10.4,11.1,114.4,0,0,4,1,1,0.3,1,0,0,1,-2,0,71,100.0,0,0.0,0,0.0
11,12.0,26.0,12.0,13.0,2015-12-07,WAS,,DAL,"L, 16-19",*,22,31,71.0,219,1,0,7.1,7.71,101.4,3,26,1,6,0,6.0,1,0,0,1,0,0,65,100.0,0,0.0,0,0.0
12,13.0,27.0,13.0,14.0,2015-12-13,WAS,@,CHI,"W, 24-21",*,24,31,77.4,300,1,1,9.7,8.87,104.2,3,25,4,13,1,3.3,0,0,0,0,0,0,70,100.0,0,0.0,0,0.0
13,14.0,28.0,14.0,15.0,2015-12-20,WAS,,BUF,"W, 35-25",*,22,28,78.6,319,4,0,11.4,14.25,153.7,1,11,3,11,1,3.7,0,0,0,0,0,0,57,100.0,0,0.0,0,0.0
14,15.0,29.0,15.0,16.0,2015-12-26,WAS,@,PHI,"W, 38-24",*,31,46,67.4,365,4,0,7.9,9.67,120.3,2,14,5,-4,0,-0.8,1,0,0,1,-3,0,76,100.0,0,0.0,0,0.0
15,16.0,30.0,16.0,17.0,2016-01-03,WAS,@,DAL,"W, 34-23",*,12,15,80.0,176,3,0,11.7,15.73,155.1,0,0,0,0,0,,0,0,0,0,0,0,24,36.9,0,0.0,0,0.0
16,,,,,,,,,9-7,,379,543,69.8,4166,29,11,7.7,7.83,101.6,26,186,26,48,5,1.8,9,3,0,5,-8,0,1025,95.9,0,0.0,0,0.0
