,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Tgt,Rec,Yds.3,TD.2,Sk.1,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,126.0,1.0,1.0,2022-09-11,MIN,,GNB,"W, 23-7",*,23,32,71.9,277,2,0,8.7,9.91,118.9,1,8,0,0,0,,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,62,100.0,0,0.0,0,0.0
1,2.0,127.0,2.0,2.0,2022-09-19,MIN,@,PHI,"L, 7-24",*,27,46,58.7,221,1,3,4.8,2.3,51.1,2,19,2,20,0,10.0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,61,100.0,0,0.0,0,0.0
2,3.0,128.0,3.0,3.0,2022-09-25,MIN,,DET,"W, 28-24",*,24,41,58.5,260,2,0,6.3,7.32,93.5,1,10,1,-1,0,-1.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,72,100.0,0,0.0,0,0.0
3,4.0,129.0,4.0,4.0,2022-10-02,MIN,@,NOR,"W, 28-25",*,25,38,65.8,273,1,1,7.2,6.53,84.6,3,23,0,0,0,,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,72,100.0,0,0.0,0,0.0
4,5.0,130.0,5.0,5.0,2022-10-09,MIN,,CHI,"W, 29-22",*,32,41,78.0,296,1,1,7.2,6.61,94.7,1,7,4,4,1,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,79,100.0,0,0.0,0,0.0
5,6.0,131.0,6.0,6.0,2022-10-16,MIN,@,MIA,"W, 24-16",*,20,30,66.7,175,2,0,5.8,7.17,104.2,3,19,2,-5,0,-2.5,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,52,100.0,0,0.0,0,0.0
6,7.0,132.0,7.0,8.0,2022-10-30,MIN,,ARI,"W, 34-26",*,24,36,66.7,232,2,0,6.4,7.56,103.0,3,24,4,22,1,5.5,0,0,0,0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,71,100.0,0,0.0,0,0.0
7,8.0,133.0,8.0,9.0,2022-11-06,MIN,@,WAS,"W, 20-17",*,22,40,55.0,265,2,1,6.6,6.5,81.8,2,17,2,-2,0,-1.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,65,98.5,0,0.0,0,0.0
8,9.0,134.0,9.0,10.0,2022-11-13,MIN,@,BUF,"W, 33-30 (OT)",*,30,50,60.0,357,1,2,7.1,5.74,71.8,4,23,6,12,0,2.0,0,0,0,0,0.0,0,0,0,0,0,0,2,0,0,0,-5,0,83,100.0,0,0.0,0,0.0
9,10.0,135.0,10.0,11.0,2022-11-20,MIN,,DAL,"L, 3-40",*,12,23,52.2,105,0,0,4.6,4.57,64.6,7,49,0,0,0,,0,0,0,0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,45,78.9,0,0.0,0,0.0
10,11.0,136.0,11.0,12.0,2022-11-24,MIN,,NWE,"W, 33-26",*,30,37,81.1,299,3,1,8.1,8.49,116.1,1,9,1,-1,0,-1.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,69,100.0,0,0.0,0,0.0
11,12.0,137.0,12.0,13.0,2022-12-04,MIN,,NYJ,"W, 27-22",*,21,35,60.0,173,1,0,4.9,5.51,82.2,2,14,3,9,0,3.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,68,100.0,0,0.0,0,0.0
12,13.0,138.0,13.0,14.0,2022-12-11,MIN,@,DET,"L, 23-34",*,31,41,75.6,425,2,0,10.4,11.34,124.5,3,26,0,0,0,,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,65,100.0,0,0.0,0,0.0
13,14.0,139.0,14.0,15.0,2022-12-17,MIN,,IND,"W, 39-36 (OT)",*,34,54,63.0,460,4,2,8.5,8.33,99.3,7,34,2,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,90,100.0,0,0.0,0,0.0
14,15.0,140.0,15.0,16.0,2022-12-24,MIN,,NYG,"W, 27-24",*,34,48,70.8,299,3,0,6.2,7.48,107.9,4,29,1,2,0,2.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,72,100.0,0,0.0,0,0.0
15,16.0,141.0,16.0,17.0,2023-01-01,MIN,@,GNB,"L, 17-41",*,18,31,58.1,205,1,3,6.6,2.9,49.2,2,18,3,37,0,12.3,0,0,0,0,0.0,0,0,0,0,0,0,2,1,0,0,0,0,50,86.2,0,0.0,0,0.0
16,17.0,142.0,17.0,18.0,2023-01-08,MIN,@,CHI,"W, 29-13",*,17,20,85.0,225,1,0,11.3,12.25,130.2,0,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,38,53.5,0,0.0,0,0.0
17,,,,,,,,,13-4,,424,643,65.9,4547,29,14,7.1,6.99,92.5,46,329,31,97,2,3.1,0,0,0,0,0.0,1,0,1,0,0,0,7,3,0,0,-5,0,1114,95.4,0,0.0,0,0.0
