,Season,Age,Team,Lg,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
0,2012,24,WAS,NFL,QB,3.0,1.0,1-0-0,33.0,48.0,68.8,466.0,4.0,8.3,3.0,6.3,20.0,47.1,77.0,9.7,8.56,14.1,155.3,101.6,77.7,3.0,27.0,5.88,8.61,7.53,1.0,1.0,2.0,
1,2013,25,WAS,NFL,QB,5.0,3.0,0-3-0,81.0,155.0,52.3,854.0,4.0,2.6,7.0,4.5,42.0,38.1,62.0,5.5,3.99,10.5,170.8,58.4,36.5,5.0,32.0,3.13,5.14,3.67,0.0,0.0,-2.0,
2,2014,26,WAS,NFL,QB,6.0,5.0,1-4-0,126.0,204.0,61.8,1710.0,10.0,4.9,9.0,4.4,75.0,48.1,81.0,8.4,7.38,13.6,285.0,86.4,52.3,8.0,70.0,3.77,7.74,6.77,0.0,0.0,4.0,
3,2015,27,WAS,NFL,QB,16.0,16.0,9-7-0,379.0,543.0,69.8,4166.0,29.0,5.3,11.0,2.0,205.0,51.1,78.0,7.7,7.83,11.0,260.4,101.6,67.8,26.0,186.0,4.57,6.99,7.14,2.0,3.0,12.0,
4,2016,28,WAS,NFL,QB,16.0,16.0,8-7-1,406.0,606.0,67.0,4917.0,25.0,4.1,12.0,2.0,227.0,51.2,80.0,8.1,8.05,12.1,307.3,97.2,66.5,23.0,190.0,3.66,7.52,7.45,4.0,4.0,15.0,PB
5,2017,29,WAS,NFL,QB,16.0,16.0,7-9-0,347.0,540.0,64.3,4093.0,27.0,5.0,13.0,2.4,194.0,45.6,74.0,7.6,7.5,11.8,255.8,93.9,56.2,41.0,342.0,7.06,6.46,6.38,1.0,4.0,12.0,
6,2018,30,MIN,NFL,QB,16.0,16.0,8-7-1,425.0,606.0,70.1,4298.0,30.0,5.0,10.0,1.7,218.0,49.4,75.0,7.1,7.34,10.1,268.6,99.7,59.5,40.0,262.0,6.19,6.25,6.48,1.0,0.0,12.0,
7,2019,31,MIN,NFL,QB,15.0,15.0,10-5-0,307.0,444.0,69.1,3603.0,26.0,5.9,6.0,1.4,165.0,50.4,66.0,8.1,8.68,11.7,240.2,107.4,60.4,28.0,206.0,5.93,7.2,7.73,1.0,1.0,14.0,PB
8,2020,32,MIN,NFL,QB,16.0,16.0,7-9-0,349.0,516.0,67.6,4265.0,35.0,6.8,13.0,2.5,212.0,51.2,71.0,8.3,8.49,12.2,266.6,105.0,55.8,39.0,256.0,7.03,7.22,7.43,1.0,3.0,14.0,
9,2021,33,MIN,NFL,QB,16.0,16.0,8-8-0,372.0,561.0,66.3,4221.0,33.0,5.9,7.0,1.2,192.0,46.2,64.0,7.5,8.14,11.3,263.8,103.1,58.3,28.0,197.0,4.75,6.83,7.42,3.0,4.0,13.0,PB
10,2022,34,MIN,NFL,QB,17.0,17.0,13-4-0,424.0,643.0,65.9,4547.0,29.0,4.5,14.0,2.2,230.0,46.3,66.0,7.1,6.99,10.7,267.5,92.5,52.3,46.0,329.0,6.68,6.12,6.05,8.0,8.0,13.0,PB
11,2023,35,MIN,NFL,QB,8.0,8.0,4-4-0,216.0,311.0,69.5,2331.0,18.0,5.8,5.0,1.6,112.0,46.6,62.0,7.5,7.93,10.8,291.4,103.8,63.2,17.0,110.0,5.18,6.77,7.18,0.0,0.0,7.0,
12,2024,36,ATL,NFL,QB,14.0,14.0,7-7-0,303.0,453.0,66.9,3508.0,18.0,4.0,16.0,3.5,163.0,46.4,60.0,7.7,6.95,11.6,250.6,88.6,50.4,28.0,201.0,5.82,6.88,6.13,3.0,3.0,10.0,AP CPoY-13
13,13 Yrs,13 Yrs,13 Yrs,13 Yrs,,164.0,159.0,83-74-2,3768.0,5630.0,66.9,42979.0,288.0,5.1,126.0,2.2,2055.0,48.2,81.0,7.6,7.65,11.4,262.1,97.4,,332.0,2408.0,5.57,6.8,6.82,25.0,31.0,126.0,
14,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,16.0,83-74-2,391.0,584.0,66.9,4455.0,30.0,5.1,13.0,2.2,213.0,48.2,81.0,7.6,7.65,11.4,262.1,97.4,,34.0,250.0,5.57,6.8,6.82,3.0,3.0,13.0,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,MIN (6 Yrs),MIN (6 Yrs),MIN (6 Yrs),MIN (6 Yrs),,88.0,88.0,50-37-1,2093.0,3081.0,67.9,23265.0,171.0,5.6,55.0,1.8,1129.0,48.3,75.0,7.6,7.86,11.1,264.4,101.2,,198.0,1360.0,6.04,6.68,6.97,14.0,16.0,73.0,
17,WAS (6 Yrs),WAS (6 Yrs),WAS (6 Yrs),WAS (6 Yrs),,62.0,57.0,26-30-1,1372.0,2096.0,65.5,16206.0,99.0,4.7,55.0,2.6,763.0,48.4,81.0,7.7,7.5,11.8,261.4,93.7,,106.0,847.0,4.81,6.98,6.75,8.0,12.0,43.0,
18,ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),,14.0,14.0,7-7-0,303.0,453.0,66.9,3508.0,18.0,4.0,16.0,3.5,163.0,46.4,60.0,7.7,6.95,11.6,250.6,88.6,,28.0,201.0,5.82,6.88,6.13,3.0,3.0,10.0,
