,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,45.0,1.0,1.0,2024-09-08,ATL,,PIT,"L, 10-18",*,3,3,26,8.7,1,100.0,8.7,54,96.4,0,0.0,0,0.0
1,2.0,46.0,2.0,2.0,2024-09-16,ATL,@,PHI,"W, 22-21",*,4,3,20,6.7,0,75.0,5.0,45,73.8,0,0.0,0,0.0
2,3.0,47.0,3.0,3.0,2024-09-22,ATL,,KAN,"L, 17-22",*,5,2,59,29.5,0,40.0,11.8,42,68.9,0,0.0,0,0.0
3,4.0,48.0,4.0,4.0,2024-09-29,ATL,,NOR,"W, 26-24",*,3,0,0,,0,0.0,0.0,38,67.9,0,0.0,0,0.0
4,5.0,49.0,5.0,5.0,2024-10-03,ATL,,TAM,"W, 36-30 (OT)",*,8,7,88,12.6,0,87.5,11.0,74,85.1,0,0.0,0,0.0
5,6.0,50.0,6.0,6.0,2024-10-13,ATL,@,CAR,"W, 38-20",*,5,3,70,23.3,0,60.0,14.0,45,64.3,0,0.0,0,0.0
6,7.0,51.0,7.0,7.0,2024-10-20,ATL,,SEA,"L, 14-34",*,9,7,65,9.3,0,77.8,7.2,55,75.3,0,0.0,0,0.0
7,8.0,52.0,8.0,8.0,2024-10-27,ATL,@,TAM,"W, 31-26",*,5,4,91,22.8,2,80.0,18.2,30,48.4,0,0.0,0,0.0
8,9.0,53.0,9.0,9.0,2024-11-03,ATL,,DAL,"W, 27-21",*,1,1,11,11.0,0,100.0,11.0,31,54.4,0,0.0,1,3.8
9,10.0,54.0,10.0,10.0,2024-11-10,ATL,@,NOR,"L, 17-20",*,6,4,55,13.8,0,66.7,9.2,40,51.3,0,0.0,0,0.0
10,11.0,55.0,11.0,11.0,2024-11-17,ATL,@,DEN,"L, 6-38",*,3,1,9,9.0,0,33.3,3.0,44,74.6,0,0.0,0,0.0
11,12.0,56.0,12.0,13.0,2024-12-01,ATL,,LAC,"L, 13-17",*,2,0,0,,0,0.0,0.0,33,40.7,0,0.0,0,0.0
12,13.0,57.0,13.0,14.0,2024-12-08,ATL,@,MIN,"L, 21-42",*,6,1,14,14.0,0,16.7,2.3,58,78.4,0,0.0,0,0.0
13,14.0,58.0,14.0,15.0,2024-12-16,ATL,@,LVR,"W, 15-9",*,4,4,28,7.0,0,100.0,7.0,23,39.7,0,0.0,0,0.0
14,15.0,59.0,15.0,16.0,2024-12-22,ATL,,NYG,"W, 34-7",,2,1,7,7.0,0,50.0,3.5,30,44.8,0,0.0,0,0.0
15,16.0,60.0,16.0,17.0,2024-12-29,ATL,@,WAS,"L, 24-30 (OT)",*,5,4,44,11.0,1,80.0,8.8,30,46.9,0,0.0,0,0.0
16,17.0,61.0,17.0,18.0,2025-01-05,ATL,,CAR,"L, 38-44 (OT)",,3,2,15,7.5,0,66.7,5.0,35,44.3,0,0.0,0,0.0
17,,,,,,,,,8-9,,74,47,602,12.8,4,63.5,8.1,707,61.9,0,0.0,1,0.2
