,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,17.0,1.0,1.0,2020-09-13,ARI,@,SFO,"W, 24-20",*,26,40,65.0,230,1,1,5.8,5.13,78.1,2,6,13,91,1,7.0,0,0,0,0,0,0,82,100.0,0,0.0,0,0.0
1,2.0,18.0,2.0,2.0,2020-09-20,ARI,,WAS,"W, 30-15",*,26,38,68.4,286,1,1,7.5,6.87,88.3,3,8,8,67,2,8.4,0,0,0,0,0,0,77,100.0,0,0.0,0,0.0
2,3.0,19.0,3.0,3.0,2020-09-27,ARI,,DET,"L, 23-26",*,23,35,65.7,270,2,3,7.7,5.0,72.3,1,2,5,29,1,5.8,0,0,0,0,0,0,65,100.0,0,0.0,0,0.0
3,4.0,20.0,4.0,4.0,2020-10-04,ARI,@,CAR,"L, 21-31",*,24,31,77.4,133,3,0,4.3,6.23,116.7,1,0,6,78,0,13.0,1,1,0,0,0,0,57,100.0,0,0.0,0,0.0
4,5.0,21.0,5.0,5.0,2020-10-11,ARI,@,NYJ,"W, 30-10",*,27,37,73.0,380,1,1,10.3,9.59,103.4,1,11,9,31,1,3.4,0,0,0,0,0,0,75,98.7,0,0.0,0,0.0
5,6.0,22.0,6.0,6.0,2020-10-19,ARI,@,DAL,"W, 38-10",*,9,24,37.5,188,2,0,7.8,9.5,93.7,1,11,10,74,1,7.4,0,0,0,0,0,0,62,100.0,0,0.0,0,0.0
6,7.0,23.0,7.0,7.0,2020-10-25,ARI,,SEA,"W, 37-34 (OT)",*,34,48,70.8,360,3,1,7.5,7.81,104.5,0,0,14,67,1,4.8,2,0,0,1,-2,0,84,100.0,0,0.0,0,0.0
7,8.0,24.0,8.0,9.0,2020-11-08,ARI,,MIA,"L, 31-34",*,21,26,80.8,283,3,0,10.9,13.19,150.5,1,19,11,106,1,9.6,1,1,0,0,0,0,69,100.0,0,0.0,0,0.0
8,9.0,25.0,9.0,10.0,2020-11-15,ARI,,BUF,"W, 32-30",*,22,32,68.8,245,1,1,7.7,6.88,88.7,3,9,11,61,2,5.5,0,0,0,0,0,0,73,100.0,0,0.0,0,0.0
9,10.0,26.0,10.0,11.0,2020-11-19,ARI,@,SEA,"L, 21-28",*,29,42,69.0,269,2,0,6.4,7.36,102.2,3,12,5,15,0,3.0,0,0,0,0,0,0,67,100.0,0,0.0,0,0.0
10,11.0,27.0,11.0,12.0,2020-11-29,ARI,@,NWE,"L, 17-20",*,23,34,67.6,170,0,1,5.0,3.68,67.0,2,10,5,31,0,6.2,0,0,0,0,0,0,73,98.6,0,0.0,0,0.0
11,12.0,28.0,12.0,13.0,2020-12-06,ARI,,LAR,"L, 28-38",*,21,39,53.8,173,3,1,4.4,4.82,80.4,2,33,5,15,0,3.0,2,1,0,0,-1,0,64,100.0,0,0.0,0,0.0
12,13.0,29.0,13.0,14.0,2020-12-13,ARI,@,NYG,"W, 26-7",*,24,35,68.6,244,1,0,7.0,7.54,97.8,1,13,13,47,0,3.6,1,0,0,1,0,0,79,100.0,0,0.0,0,0.0
13,14.0,30.0,14.0,15.0,2020-12-20,ARI,,PHI,"W, 33-26",*,27,36,75.0,406,3,1,11.3,11.69,127.8,1,9,8,29,1,3.6,2,1,0,0,0,0,68,100.0,0,0.0,0,0.0
14,15.0,31.0,15.0,16.0,2020-12-26,ARI,,SFO,"L, 12-20",*,31,50,62.0,247,0,1,4.9,4.04,66.0,3,17,8,75,0,9.4,0,0,0,0,0,0,82,100.0,0,0.0,0,0.0
15,16.0,32.0,16.0,17.0,2021-01-03,ARI,@,LAR,"L, 7-18",*,8,11,72.7,87,0,0,7.9,7.91,95.6,2,16,2,3,0,1.5,0,0,0,0,0,0,25,47.2,0,0.0,0,0.0
16,,,,,,,,,8-8,,375,558,67.2,3971,26,12,7.1,7.08,94.3,27,176,133,819,11,6.2,9,4,0,2,-3,0,1102,97.3,0,0.0,0,0.0
