,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Tgt,Rec,Yds.3,TD.2,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,33.0,1.0,1.0,2021-09-12,ARI,@,TEN,"W, 38-13",*,21,32,65.6,289,4,1,9.0,10.13,121.0,2,9,5,20,1,4.0,0,0,0,0,0,0,0,1,0,0,69,100.0,0,0.0,0,0.0
1,2.0,34.0,2.0,2.0,2021-09-19,ARI,,MIN,"W, 34-33",*,29,36,80.6,400,3,2,11.1,10.28,117.6,3,29,5,31,1,6.2,0,0,0,0,0,0,0,0,0,0,61,100.0,0,0.0,0,0.0
2,3.0,35.0,3.0,3.0,2021-09-26,ARI,@,JAX,"W, 31-19",*,28,34,82.4,316,0,1,9.3,7.97,93.1,0,0,7,19,1,2.7,0,0,0,0,0,0,0,0,0,0,67,100.0,0,0.0,0,0.0
3,4.0,36.0,4.0,4.0,2021-10-03,ARI,@,LAR,"W, 37-20",*,24,32,75.0,268,2,0,8.4,9.63,120.3,3,19,6,39,0,6.5,0,0,0,0,0,0,0,0,0,0,76,97.4,0,0.0,0,0.0
4,5.0,37.0,5.0,5.0,2021-10-10,ARI,,SFO,"W, 17-10",*,22,31,71.0,239,1,0,7.7,8.35,104.1,2,29,7,1,0,0.1,0,0,0,0,2,0,0,1,26,0,61,100.0,0,0.0,0,0.0
5,6.0,38.0,6.0,6.0,2021-10-17,ARI,@,CLE,"W, 37-14",*,20,30,66.7,229,4,0,7.6,10.30,129.0,2,21,7,6,0,0.9,0,0,0,0,4,0,0,4,-18,0,68,90.7,0,0.0,0,0.0
6,7.0,39.0,7.0,7.0,2021-10-24,ARI,,HOU,"W, 31-5",*,20,28,71.4,261,3,1,9.3,9.86,121.3,4,36,6,10,0,1.7,0,0,0,0,0,0,0,1,0,0,66,93.0,0,0.0,0,0.0
7,8.0,40.0,8.0,8.0,2021-10-28,ARI,,GNB,"L, 21-24",*,22,33,66.7,274,0,2,8.3,5.58,67.0,2,14,6,21,0,3.5,0,0,0,0,1,0,0,1,-8,0,59,100.0,0,0.0,0,0.0
8,8.0,,9.0,9.0,2021-11-07,ARI,@,SFO,"W, 31-17",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,8.0,,10.0,10.0,2021-11-14,ARI,,CAR,"L, 10-34",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,8.0,,11.0,11.0,2021-11-21,ARI,@,SEA,"W, 23-13",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,9.0,41.0,12.0,13.0,2021-12-05,ARI,@,CHI,"W, 33-22",*,11,15,73.3,123,2,0,8.2,10.87,136.9,1,3,10,59,2,5.9,0,0,0,0,2,0,0,2,4,0,53,100.0,0,0.0,0,0.0
12,10.0,42.0,13.0,14.0,2021-12-13,ARI,,LAR,"L, 23-30",*,32,49,65.3,383,0,2,7.8,5.98,72.1,4,39,7,61,0,8.7,0,0,0,0,1,0,0,0,-1,0,78,100.0,0,0.0,0,0.0
13,11.0,43.0,14.0,15.0,2021-12-19,ARI,@,DET,"L, 12-30",*,23,41,56.1,257,1,1,6.3,5.66,72.9,2,20,4,3,0,0.8,0,0,0,0,1,0,0,1,-4,0,64,85.3,0,0.0,0,0.0
14,12.0,44.0,15.0,16.0,2021-12-25,ARI,,IND,"L, 16-22",*,27,43,62.8,245,1,0,5.7,6.16,85.9,0,0,4,74,0,18.5,0,0,7,0,2,0,0,2,0,0,65,100.0,0,0.0,0,0.0
15,13.0,45.0,16.0,17.0,2022-01-02,ARI,@,DAL,"W, 25-22",*,26,38,68.4,263,2,0,6.9,7.97,105.5,1,14,9,44,0,4.9,0,0,0,0,0,0,0,0,0,0,77,100.0,0,0.0,0,0.0
16,14.0,46.0,17.0,18.0,2022-01-09,ARI,,SEA,"L, 30-38",*,28,39,71.8,240,1,0,6.2,6.67,96.1,5,53,5,35,0,7.0,0,0,0,0,0,0,0,0,0,0,76,100.0,0,0.0,0,0.0
17,,,,,,,,,9-5,,333,481,69.2,3787,24,10,7.9,7.94,100.6,31,286,88,423,5,4.8,0,0,7,0,13,0,0,13,-1,0,940,97.4,0,0.0,0,0.0
