,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,PRTD,Y/Ret,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2024-09-08,LAC,,LVR,"W, 22-10",*,7,5,39,7.8,1,71.4,5.6,0,0,0,,0,0,0,0,0,0,38,66.7,0,0.0,0,0.0
1,2.0,2.0,2.0,2.0,2024-09-15,LAC,@,CAR,"W, 26-3",,4,2,26,13.0,0,50.0,6.5,0,0,0,,0,0,0,0,0,0,34,49.3,0,0.0,0,0.0
2,3.0,3.0,3.0,3.0,2024-09-22,LAC,@,PIT,"L, 10-20",*,6,3,44,14.7,0,50.0,7.3,0,0,0,,0,0,0,0,0,0,33,71.7,0,0.0,0,0.0
3,4.0,4.0,4.0,4.0,2024-09-29,LAC,,KAN,"L, 10-17",*,7,5,67,13.4,1,71.4,9.6,0,0,0,,0,0,0,0,0,0,43,76.8,0,0.0,0,0.0
4,5.0,5.0,5.0,6.0,2024-10-13,LAC,@,DEN,"W, 23-16",*,8,4,43,10.8,0,50.0,5.4,0,0,0,,0,0,0,0,0,0,49,62.8,0,0.0,2,7.4
5,6.0,6.0,6.0,7.0,2024-10-21,LAC,@,ARI,"L, 15-17",*,7,5,46,9.2,0,71.4,6.6,0,0,0,,1,0,0,0,0,0,57,86.4,0,0.0,3,13.6
6,7.0,7.0,7.0,8.0,2024-10-27,LAC,,NOR,"W, 26-8",*,6,6,111,18.5,2,100.0,18.5,3,28,0,9.3,0,0,0,0,0,0,41,62.1,0,0.0,9,26.5
7,8.0,8.0,8.0,9.0,2024-11-03,LAC,@,CLE,"W, 27-10",*,7,5,64,12.8,0,71.4,9.1,0,0,0,,0,0,0,0,0,0,48,84.2,0,0.0,2,6.9
8,9.0,9.0,9.0,10.0,2024-11-10,LAC,,TEN,"W, 27-17",*,2,2,52,26.0,0,100.0,26.0,0,0,0,,0,0,0,0,0,0,46,78.0,0,0.0,1,3.8
9,10.0,10.0,10.0,11.0,2024-11-17,LAC,,CIN,"W, 34-27",*,9,6,123,20.5,0,66.7,13.7,0,0,0,,0,0,0,0,0,0,49,73.1,0,0.0,0,0.0
10,11.0,11.0,11.0,12.0,2024-11-25,LAC,,BAL,"L, 23-30",,6,6,83,13.8,0,100.0,13.8,0,0,0,,0,0,0,0,0,0,59,85.5,0,0.0,0,0.0
11,12.0,12.0,12.0,13.0,2024-12-01,LAC,@,ATL,"W, 17-13",*,12,9,117,13.0,0,75.0,9.8,0,0,0,,1,0,0,0,0,0,29,63.0,0,0.0,0,0.0
12,12.0,,13.0,14.0,2024-12-08,LAC,@,KAN,"L, 17-19",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,13.0,13.0,14.0,15.0,2024-12-15,LAC,,TAM,"L, 17-40",*,7,5,58,11.6,1,71.4,8.3,0,0,0,,0,0,0,0,0,0,46,88.5,0,0.0,0,0.0
14,14.0,14.0,15.0,16.0,2024-12-19,LAC,,DEN,"W, 34-27",*,6,6,87,14.5,0,100.0,14.5,0,0,0,,0,0,0,0,0,0,51,78.5,0,0.0,1,3.4
15,15.0,15.0,16.0,17.0,2024-12-28,LAC,@,NWE,"W, 40-7",*,10,8,94,11.8,2,80.0,9.4,0,0,0,,0,0,0,0,0,0,61,77.2,0,0.0,0,0.0
16,16.0,16.0,17.0,18.0,2025-01-05,LAC,@,LVR,"W, 34-20",*,8,5,95,19.0,0,62.5,11.9,0,0,0,,0,0,0,0,0,0,51,68.0,0,0.0,1,3.4
17,,,,,,,,,11-5,,112,82,1149,14.0,7,73.2,10.3,3,28,0,9.3,2,0,0,0,0,0,735,73.0,0,0.0,19,4.3
