,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,78.0,1.0,1.0,2019-09-09,NOR,,HOU,"W, 30-28",,6,43,1,7.2,3,2,4,2.0,0,66.7,1.3,18,27.3,0,0.0,0,0.0
1,2.0,79.0,2.0,2.0,2019-09-15,NOR,@,LAR,"L, 9-27",,5,7,0,1.4,1,1,16,16.0,0,100.0,16.0,22,34.9,0,0.0,0,0.0
2,3.0,80.0,3.0,3.0,2019-09-22,NOR,@,SEA,"W, 33-27",,2,2,0,1.0,0,0,0,,0,,,12,21.4,0,0.0,0,0.0
3,4.0,81.0,4.0,4.0,2019-09-29,NOR,,DAL,"W, 12-10",*,4,14,0,3.5,1,1,6,6.0,0,100.0,6.0,17,24.3,0,0.0,0,0.0
4,5.0,82.0,5.0,5.0,2019-10-06,NOR,,TAM,"W, 31-24",,7,28,0,4.0,2,2,6,3.0,0,100.0,3.0,23,33.3,0,0.0,0,0.0
5,6.0,83.0,6.0,6.0,2019-10-13,NOR,@,JAX,"W, 13-6",,8,44,0,5.5,3,3,35,11.7,0,100.0,11.7,28,42.4,0,0.0,0,0.0
6,7.0,84.0,7.0,7.0,2019-10-20,NOR,@,CHI,"W, 36-25",*,27,119,2,4.4,6,5,31,6.2,0,83.3,5.2,64,84.2,0,0.0,0,0.0
7,8.0,85.0,8.0,8.0,2019-10-27,NOR,,ARI,"W, 31-9",*,21,102,1,4.9,12,9,55,6.1,1,75.0,4.6,61,82.4,0,0.0,0,0.0
8,9.0,86.0,9.0,10.0,2019-11-10,NOR,,ATL,"L, 9-26",*,5,12,0,2.4,2,2,7,3.5,0,100.0,3.5,16,24.2,0,0.0,0,0.0
9,10.0,87.0,10.0,11.0,2019-11-17,NOR,@,TAM,"W, 34-17",*,10,27,0,2.7,3,2,5,2.5,0,66.7,1.7,27,40.3,0,0.0,0,0.0
10,11.0,88.0,11.0,12.0,2019-11-24,NOR,,CAR,"W, 34-31",*,7,64,1,9.1,0,0,0,,0,,,25,39.1,0,0.0,0,0.0
11,12.0,89.0,12.0,13.0,2019-11-28,NOR,@,ATL,"W, 26-18",,4,2,0,0.5,0,0,0,,0,,,13,26.5,0,0.0,0,0.0
12,13.0,90.0,13.0,14.0,2019-12-08,NOR,,SFO,"L, 46-48",,7,69,0,9.9,3,2,25,12.5,0,66.7,8.3,24,33.3,0,0.0,0,0.0
13,14.0,91.0,14.0,15.0,2019-12-16,NOR,,IND,"W, 34-7",*,9,29,0,3.2,3,2,20,10.0,0,66.7,6.7,22,32.8,0,0.0,0,0.0
14,15.0,92.0,15.0,16.0,2019-12-22,NOR,@,TEN,"W, 38-28",,7,14,0,2.0,3,2,11,5.5,0,66.7,3.7,25,35.7,0,0.0,0,0.0
15,16.0,93.0,16.0,17.0,2019-12-29,NOR,@,CAR,"W, 42-10",*,17,61,0,3.6,1,1,14,14.0,0,100.0,14.0,37,53.6,0,0.0,0,0.0
16,,,,,,,,,13-3,,146,637,5,4.4,43,34,235,6.9,1,79.1,5.5,434,40.8,0,0.0,0,0.0
