,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,94.0,1.0,1.0,2020-09-13,NOR,,TAM,"W, 34-23",,15,48,0,3.2,1,0,0,,0,0.0,0.0,0,0,0,0,0,0,23,33.8,0,0.0,0,0.0
1,2.0,95.0,2.0,2.0,2020-09-21,NOR,@,LVR,"L, 24-34",,3,14,0,4.7,2,2,19,9.5,0,100.0,9.5,0,0,0,0,0,0,16,26.7,0,0.0,0,0.0
2,3.0,96.0,3.0,3.0,2020-09-27,NOR,,GNB,"L, 30-37",*,12,58,0,4.8,1,1,7,7.0,0,100.0,7.0,0,0,0,0,0,0,21,34.4,0,0.0,0,0.0
3,4.0,97.0,4.0,4.0,2020-10-04,NOR,@,DET,"W, 35-29",,14,64,2,4.6,2,1,19,19.0,0,50.0,9.5,0,0,0,0,0,0,29,41.4,0,0.0,0,0.0
4,5.0,98.0,5.0,5.0,2020-10-12,NOR,,LAC,"W, 30-27 (OT)",*,8,34,0,4.3,2,2,23,11.5,0,100.0,11.5,0,0,0,0,0,0,21,27.6,0,0.0,0,0.0
5,6.0,99.0,6.0,7.0,2020-10-25,NOR,,CAR,"W, 27-24",,11,47,0,4.3,1,1,9,9.0,0,100.0,9.0,0,0,0,0,0,0,23,32.9,0,0.0,0,0.0
6,7.0,100.0,7.0,8.0,2020-11-01,NOR,@,CHI,"W, 26-23 (OT)",*,8,17,0,2.1,3,3,14,4.7,0,100.0,4.7,0,0,0,0,0,0,18,24.3,0,0.0,0,0.0
7,8.0,101.0,8.0,9.0,2020-11-08,NOR,@,TAM,"W, 38-3",,10,39,0,3.9,2,2,3,1.5,0,100.0,1.5,0,0,0,0,0,0,29,39.7,0,0.0,0,0.0
8,9.0,102.0,9.0,10.0,2020-11-15,NOR,,SFO,"W, 27-13",*,9,57,0,6.3,0,0,0,,0,,,0,0,0,0,0,0,24,40.7,0,0.0,0,0.0
9,10.0,103.0,10.0,11.0,2020-11-22,NOR,,ATL,"W, 24-9",*,12,49,0,4.1,2,2,36,18.0,0,100.0,18.0,0,0,0,0,0,0,33,49.3,0,0.0,0,0.0
10,11.0,104.0,11.0,12.0,2020-11-29,NOR,@,DEN,"W, 31-3",*,19,124,2,6.5,1,1,2,2.0,0,100.0,2.0,1,0,0,0,0,0,30,46.9,0,0.0,0,0.0
11,12.0,105.0,12.0,13.0,2020-12-06,NOR,@,ATL,"W, 21-16",,5,17,0,3.4,2,2,0,0.0,0,100.0,0.0,0,0,0,0,0,0,32,41.0,0,0.0,0,0.0
12,13.0,106.0,13.0,14.0,2020-12-13,NOR,@,PHI,"L, 21-24",*,4,13,0,3.3,1,1,-6,-6.0,0,100.0,-6.0,0,0,0,0,0,0,20,31.7,0,0.0,0,0.0
13,14.0,107.0,14.0,15.0,2020-12-20,NOR,,KAN,"L, 29-32",,4,3,0,0.8,3,2,26,13.0,1,66.7,8.7,0,0,0,0,0,0,16,29.1,0,0.0,0,0.0
14,15.0,108.0,15.0,16.0,2020-12-25,NOR,,MIN,"W, 52-33",,12,72,0,6.0,3,3,24,8.0,0,100.0,8.0,0,0,0,0,0,0,29,38.7,0,0.0,0,0.0
15,15.0,,16.0,17.0,2021-01-03,NOR,@,CAR,"W, 33-7",COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List
16,,,,,,,,,11-4,,146,656,4,4.5,26,23,176,7.7,1,88.5,6.8,1,0,0,0,0,0,364,35.9,0,0.0,0,0.0
