,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Ret,Yds.2,KRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,44.0,1.0,1.0,2023-09-10,CAR,@,ATL,"L, 10-24",,2,5,0,2.5,2,2,16,8.0,0,100.0,8.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,25,32.5,0,0.0,18,69.2
1,2.0,45.0,2.0,2.0,2023-09-18,CAR,,NOR,"L, 17-20",,1,7,0,7.0,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,10,16.7,0,0.0,14,51.9
2,3.0,46.0,3.0,3.0,2023-09-24,CAR,@,SEA,"L, 27-37",,2,7,0,3.5,1,1,0,0.0,0,100.0,0.0,1,37,0,37.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,11,13.9,0,0.0,17,48.6
3,4.0,47.0,4.0,4.0,2023-10-01,CAR,,MIN,"L, 13-21",,1,7,0,7.0,1,1,12,12.0,0,100.0,12.0,1,24,0,24.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,13,18.1,0,0.0,15,68.2
4,5.0,48.0,5.0,5.0,2023-10-08,CAR,@,DET,"L, 24-42",,5,27,0,5.4,0,0,0,,0,,,3,75,0,25.0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,17,23.9,0,0.0,12,44.4
5,6.0,49.0,6.0,6.0,2023-10-15,CAR,@,MIA,"L, 21-42",,1,2,0,2.0,3,3,15,5.0,0,100.0,5.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,11,15.9,0,0.0,9,30.0
6,6.0,,7.0,8.0,2023-10-29,CAR,,HOU,"W, 15-13",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,6.0,,8.0,9.0,2023-11-05,CAR,,IND,"L, 13-27",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,6.0,,9.0,10.0,2023-11-09,CAR,@,CHI,"L, 13-16",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,7.0,50.0,10.0,11.0,2023-11-19,CAR,,DAL,"L, 10-33",,0,0,0,,2,2,9,4.5,0,100.0,4.5,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,5.1,0,0.0,12,44.4
10,8.0,51.0,11.0,12.0,2023-11-26,CAR,@,TEN,"L, 10-17",,0,0,0,,1,1,8,8.0,0,100.0,8.0,1,31,0,31.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.7,0,0.0,5,20.8
11,8.0,,12.0,13.0,2023-12-03,CAR,@,TAM,"L, 18-21",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
