,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
0,2017,22,JAX,NFL,RB,3.0,3.0,70.0,242.0,4.0,15.0,38.6,18.0,3.5,80.7,23.3,12.0,7.0,44.0,6.3,0.0,3.0,41.7,12.0,2.3,14.7,58.3,3.7,77.0,3.7,286.0,4.0,0.0,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2020,25,TAM,NFL,RB,4.0,4.0,64.0,300.0,3.0,14.0,48.4,27.0,4.7,75.0,16.0,21.0,18.0,148.0,8.2,1.0,10.0,66.7,22.0,4.5,37.0,85.7,7.0,82.0,5.5,448.0,4.0,0.0,
3,2021,26,TAM,NFL,RB,1.0,1.0,13.0,51.0,2.0,5.0,53.8,11.0,3.9,51.0,13.0,9.0,9.0,56.0,6.2,0.0,2.0,55.6,19.0,9.0,56.0,100.0,6.2,22.0,4.9,107.0,2.0,0.0,
4,2022,27,TAM,NFL,RB,1.0,0.0,5.0,11.0,0.0,1.0,40.0,6.0,2.2,11.0,5.0,1.0,1.0,6.0,6.0,0.0,1.0,100.0,6.0,1.0,6.0,100.0,6.0,6.0,2.8,17.0,0.0,0.0,
5,4 Yrs,4 Yrs,4 Yrs,4 Yrs,,9.0,8.0,152.0,604.0,9.0,35.0,44.1,27.0,4.0,67.1,16.9,43.0,35.0,254.0,7.3,1.0,16.0,58.1,22.0,3.9,28.2,81.4,5.9,187.0,4.6,858.0,10.0,0.0,
6,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,15.0,287.0,1141.0,17.0,66.0,44.1,27.0,4.0,67.1,16.9,81.0,66.0,480.0,7.3,2.0,30.0,58.1,22.0,3.9,28.2,81.4,5.9,353.0,4.6,1621.0,19.0,0.0,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,TAM (3 Yrs),TAM (3 Yrs),TAM (3 Yrs),TAM (3 Yrs),,6.0,5.0,82.0,362.0,5.0,20.0,48.8,27.0,4.4,60.3,13.7,31.0,28.0,210.0,7.5,1.0,13.0,64.5,22.0,4.7,35.0,90.3,6.8,110.0,5.2,572.0,6.0,0.0,
9,JAX (1 Yr),JAX (1 Yr),JAX (1 Yr),JAX (1 Yr),,3.0,3.0,70.0,242.0,4.0,15.0,38.6,18.0,3.5,80.7,23.3,12.0,7.0,44.0,6.3,0.0,3.0,41.7,12.0,2.3,14.7,58.3,3.7,77.0,3.7,286.0,4.0,0.0,
